Date,PM10,Policy,Total Confirmed,New Cases,New Deaths,Recovered Population,Accumulative Deaths,Measured Current Infected,Population,CurrentInfected_pc,New_Cases_pc,Active_Cases_pc,retail_and_recreation_mob,grocery_and_pharmacy_mob,parks_percent_mob,transit_stations_mob,workplaces_mob,residential_mob,avg_mob,Nightlights_City,NightLights_Cidade de Deus,Nightlights_Pedra de Guaratiba,Nightlights_Copacabana,Night_lightsIpanema,Nightlights_Centro,Nightlights_Cidade Nova,Nightlights_Barra da Tijuca,Nightlights_Campo Grande
120,,4.8,60033,212,29,51938,6869,1226,6718903,0.031552769849483,0.031552769849483,0.18247026337484,-48,-1,-52,-41,-7,9,-23.3333333333333,,,,,,,,,
121,,4.8,60233,321,26,52043,6898,1292,6718903,0.047775656234359,0.047775656234359,0.192293295497792,-37,2,-48,-40,-30,12,-23.5,,,,,,,,,
122,,4.8,60596,438,131,52498,6924,1174,6718903,0.065189213179592,0.065189213179592,0.174730904732514,-38,2,-48,-40,-33,14,-23.8333333333333,,,,,,,,,
123,,4.8,61658,557,46,53348,7055,1255,6718903,0.082900437764915,0.082900437764915,0.186786444156137,-38,3,-48,-41,-32,13,-23.8333333333333,,,,,,,,,
124,,5,62463,462,77,53903,7101,1459,6718903,0.068761224860666,0.068761224860666,0.217148543445262,-42,0,-54,-43,-31,15,-25.8333333333333,,,,,,,,,
125,,5,63396,307,76,54768,7178,1450,6718903,0.045691982753732,0.045691982753732,0.215809039064859,-35,7,-45,-38,-29,13,-21.1666666666667,,,,,,,,,
126,,5,64027,572,48,55407,7254,1366,6718903,0.085132945065586,0.085132945065586,0.203306998181102,-38,4,-49,-32,-9,9,-19.1666666666667,,,,,,,,,
127,,5,64102,538,8,55519,7302,1281,6718903,0.080072595184065,0.080072595184065,0.1906561234773,-47,-6,-48,-40,-7,8,-23.3333333333333,,,,,,,,,
128,,5,64110,640,45,55671,7310,1129,6718903,0.095253644828628,0.095253644828628,0.168033382830501,-38,-4,-46,-40,-29,12,-24.1666666666667,,,,,,,,,
129,,5,64635,393,77,56139,7355,1141,6718903,0.058491691277579,0.058491691277579,0.169819388671038,-46,-14,-65,-46,-35,16,-31.6666666666667,,,,,,,,,
130,,5,65121,382,68,56525,7432,1164,6718903,0.056854519257087,0.056854519257087,0.173242566532066,-43,-4,-66,-47,-33,16,-29.5,,,,,,,,,
131,,5.5,65489,882,50,56671,7500,1318,6718903,0.131271429279452,0.131271429279452,0.196162974818955,-40,-2,-58,-43,-31,16,-26.3333333333333,,,,,,,,,
132,,5.5,65571,439,71,57006,7550,1015,6718903,0.065338046999637,0.065338046999637,0.151066327345401,-33,4,-40,-37,-27,14,-19.8333333333333,,,,,,,,,
133,,5.5,65696,897,69,57217,7621,858,6718903,0.133503936580123,0.133503936580123,0.127699417598379,-36,3,-49,-32,-9,10,-18.8333333333333,,,,,,,,,
134,,5.5,66829,386,13,58039,7690,1100,6718903,0.057449854537266,0.057449854537266,0.163717202049204,-43,-7,-41,-39,-6,9,-21.1666666666667,,,,,,,,,
135,,5.5,66909,215,30,58122,7703,1084,6718903,0.031999271309617,0.031999271309617,0.161335860928488,-35,-1,-44,-39,-26,12,-22.1666666666667,,,,,,,,,
136,,5.5,67036,574,63,58346,7733,957,6718903,0.085430612705675,0.085430612705675,0.142433965782807,-38,-7,-43,-41,-29,15,-23.8333333333333,,,,,,,,,
137,,5.5,67121,593,91,58504,7796,821,6718903,0.088258455286525,0.088258455286525,0.122192566256724,-37,-2,-43,-40,-29,14,-22.8333333333333,,,,,,,,,
138,,5.5,68334,312,26,59347,7887,1100,6718903,0.046436151853956,0.046436151853956,0.163717202049204,-38,-3,-39,-40,-28,15,-22.1666666666667,,,,,,,,,
139,,5.5,68510,615,28,59470,7913,1127,6718903,0.091532799327509,0.091532799327509,0.167735715190411,-33,4,-26,-35,-25,13,-17,,,,,,,,,
140,,5.5,69456,359,63,60124,7941,1391,6718903,0.053431341396058,0.053431341396058,0.20702784368222,-35,3,-34,-30,-8,9,-15.8333333333333,,,,,,,,,
141,,5.5,69546,535,19,60363,8004,1179,6718903,0.079626093723931,0.079626093723931,0.175475073832737,-43,-4,-40,-36,-6,8,-20.1666666666667,,,,,,,,,
142,,5.5,69570,428,30,60420,8023,1127,6718903,0.063700874979145,0.063700874979145,0.167735715190411,-35,-2,-40,-38,-27,12,-21.6666666666667,,,,,,,,,
143,,5.5,70370,438,71,60893,8053,1424,6718903,0.065189213179592,0.065189213179592,0.211939359743696,-38,-6,-35,-39,-30,14,-22.3333333333333,,,,,,,,,
144,,5.5,70459,605,96,60744,8124,1591,6718903,0.090044461127062,0.090044461127062,0.236794607691166,-40,-3,-57,-41,-31,14,-26.3333333333333,,,,,,,,,
145,,5.5,70692,490,50,60990,8220,1482,6718903,0.072928571821918,0.072928571821918,0.220571721306291,-48,-12,-66,-47,-33,17,-31.5,,,,,,,,,
146,,5.5,70989,499,40,61011,8270,1708,6718903,0.074268076202321,0.074268076202321,0.2542081646364,-32,10,-47,-36,-27,14,-19.6666666666667,,,,,,,,,
147,,5.7,71322,401,34,61464,8310,1548,6718903,0.059682361837937,0.059682361837937,0.230394753429243,-31,10,-48,-30,-8,9,-16.3333333333333,,,,,,,,,
148,,5.7,71792,812,14,61937,8344,1511,6718903,0.120853061876321,0.120853061876321,0.224887902087588,-38,2,-36,-35,-6,8,-17.5,,,,,,,,,
149,,5.7,71802,253,13,61967,8358,1477,6718903,0.037654956471317,0.037654956471317,0.219827552206067,-30,6,-40,-34,-26,11,-18.8333333333333,,,,,,,,,
150,,5.7,72079,482,48,62392,8371,1316,6718903,0.07173790126156,0.07173790126156,0.195865307178865,-32,2,-38,-35,-29,13,-19.8333333333333,,,,,,,,,
151,,5.7,72722,421,80,62700,8419,1603,6718903,0.062659038238832,0.062659038238832,0.238580613531703,-29,8,-37,-35,-27,12,-18,,,,,,,,,
152,,5.7,73396,487,41,63238,8499,1659,6718903,0.072482070361784,0.072482070361784,0.246915307454208,-30,10,-33,-34,-26,13,-16.6666666666667,,,,,,,,,
153,,5.7,73517,596,56,63321,8540,1656,6718903,0.088704956746659,0.088704956746659,0.246468805994074,-21,19,-19,-27,-23,11,-10,,,,,,,,,
154,,5.7,73855,620,10,63712,8596,1547,6718903,0.092276968427733,0.092276968427733,0.230245919609198,-21,22,-29,-19,-5,6,-7.66666666666667,,,,,,,,,
155,,5.7,74403,477,6,64065,8606,1732,6718903,0.070993732161337,0.070993732161337,0.257780176317473,-40,8,-43,-27,4,4,-15.6666666666667,,,,,,,,,
156,,5.7,74421,415,10,64198,8612,1611,6718903,0.061766035318563,0.061766035318563,0.239771284092061,-29,3,-35,-33,-26,10,-18.3333333333333,,,,,,,,,
157,,5.7,74674,44,43,64536,8622,1516,6718903,0.006548688081968,0.006548688081968,0.225632071187811,-32,-2,-30,-35,-28,13,-19,,,,,,,,,
158,,5.7,76102,412,45,65514,8665,1923,6718903,0.061319533858429,0.061319533858429,0.286207435946017,-31,2,-33,-36,-27,12,-18.8333333333333,,,,,,,,,
159,,5.7,77627,376,56,66661,8710,2256,6718903,0.055961516336819,0.055961516336819,0.335769098020912,-33,1,-28,-35,-26,13,-18,,,,,,,,,
160,,5.7,78500,449,33,66957,8766,2777,6718903,0.066826385200084,0.066826385200084,0.413311518264217,-25,9,-15,-29,-24,11,-12.1666666666667,,,,,,,,,
161,,5.7,79865,473,14,68489,8799,2577,6718903,0.070398396881158,0.070398396881158,0.38354475425527,-29,6,-26,-25,-8,7,-12.5,,,,,,,,,
162,,5.7,80565,420,13,69361,8813,2391,6718903,0.062510204418787,0.062510204418787,0.355861663726951,-41,-2,-55,-36,-9,8,-22.5,,,,,,,,,
163,,5.7,80762,310,4,70409,8826,1527,6718903,0.046138484213867,0.046138484213867,0.227269243208303,-31,3,-43,-34,-25,11,-19.8333333333333,,,,,,,,,
164,,5.7,80899,525,101,70726,8830,1343,6718903,0.078137755523484,0.078137755523484,0.199883820320073,-34,-2,-39,-36,-26,13,-20.6666666666667,,,,,,,,,
165,,5.7,82188,513,117,71685,8931,1572,6718903,0.076351749682947,0.076351749682947,0.233966765110316,-33,2,-38,-35,-25,12,-19.5,,,,,,,,,
166,,5.7,83735,395,79,73325,9048,1362,6718903,0.058789358917669,0.058789358917669,0.202711662900923,-38,-1,-54,-38,-26,14,-23.8333333333333,,,,,,,,,
167,,5.7,84488,555,48,73906,9127,1455,6718903,0.082602770124826,0.082602770124826,0.216553208165083,-39,-1,-54,-38,-27,14,-24.1666666666667,,,,,,,,,
168,,5.7,85488,432,31,74771,9175,1542,6718903,0.064296210259324,0.064296210259324,0.229501750508974,-43,-3,-73,-42,-15,13,-27.1666666666667,,,,,,,,,
169,,5.7,86419,312,25,75331,9206,1882,6718903,0.046436151853956,0.046436151853956,0.280105249324183,-42,-2,-57,-39,-8,10,-23,,,,,,,,,
170,,5.7,86767,343,85,75882,9231,1654,6718903,0.051050000275343,0.051050000275343,0.246171138353984,-33,2,-46,-35,-23,11,-20.6666666666667,,,,,,,,,
171,,5.7,87164,519,88,76608,9316,1240,6718903,0.077244752603215,0.077244752603215,0.184553936855466,-34,0,-43,-36,-26,13,-21,,,,,,,,,
172,,5.7,87748,547,64,77000,9404,1344,6718903,0.081412099564468,0.081412099564468,0.200032654140118,-33,3,-44,-36,-24,12,-20.3333333333333,,,,,,,,,
173,,5.7,88699,517,98,77680,9468,1551,6718903,0.076947084963126,0.076947084963126,0.230841254889377,-34,3,-35,-34,-23,12,-18.5,,,,,,,,,
174,,5.7,89434,441,32,78164,9566,1704,6718903,0.065635714639726,0.065635714639726,0.253612829356221,-25,10,-17,-29,-20,10,-11.8333333333333,,,,,,,,,
175,,5.7,90130,499,30,78757,9598,1775,6718903,0.074268076202321,0.074268076202321,0.264180030579397,-27,7,-23,-23,-4,6,-10.6666666666667,,,,,,,,,
176,,5.7,90263,344,6,78855,9628,1780,6718903,0.051198834095387,0.051198834095387,0.26492419967962,-34,2,-11,-27,-4,5,-11.5,,,,,,,,,
177,,5.7,90345,382,29,79067,9634,1644,6718903,0.056854519257087,0.056854519257087,0.244682800153537,-31,6,-40,-33,-22,10,-18.3333333333333,,,,,,,,,
178,,6.2,90466,579,74,79446,9663,1357,6718903,0.086174781805899,0.086174781805899,0.201967493800699,-32,5,-41,-34,-25,12,-19.1666666666667,,,,,,,,,
179,,6.2,91688,957,41,80175,9737,1776,6718903,0.142433965782807,0.142433965782807,0.264328864399441,-30,10,-39,-33,-24,11,-17.5,,,,,,,,,
180,,6.2,91888,683,35,80442,9778,1668,6718903,0.101653499090551,0.101653499090551,0.24825481183461,-30,9,-27,-31,-22,11,-15,,,,,,,,,
181,,6.2,92366,567,40,80741,9813,1812,6718903,0.084388775965362,0.084388775965362,0.269686881921052,-22,16,-8,-23,-21,9,-8.16666666666667,,,,,,,,,
182,,6.2,93012,464,27,81395,9853,1764,6718903,0.069058892500755,0.069058892500755,0.262542858558905,-24,14,-25,-18,-6,5,-9,,,,,,,,,
183,,6.2,93238,526,22,81374,9880,1984,6718903,0.078286589343528,0.078286589343528,0.295286298968745,-30,9,-2,-23,-5,4,-7.83333333333333,,,,,,,,,
184,,6.2,93480,297,22,81470,9902,2108,6718903,0.044203644553285,0.044203644553285,0.313741692654292,-47,-20,24,-57,-64,13,-25.1666666666667,,,,,,,,,
185,,6.2,93652,530,33,81945,9924,1783,6718903,0.078881924623707,0.078881924623707,0.265370701139754,-31,6,-34,-28,-25,9,-17.1666666666667,,,,,,,,,
186,,6.2,93899,643,70,82126,9957,1816,6718903,0.095700146288762,0.095700146288762,0.270282217201231,-29,10,-36,-32,-23,10,-16.6666666666667,,,,,,,,,
187,,6.2,94212,668,47,82473,10027,1712,6718903,0.09942099178988,0.09942099178988,0.254803499916579,-29,9,-25,-30,-22,11,-14.3333333333333,,,,,,,,,
188,,6.2,94896,716,-21,82983,10074,1839,6718903,0.106565015152027,0.106565015152027,0.273705395062259,-23,13,-11,-25,-20,10,-9.33333333333333,,,,,,,,,
189,,6.2,95008,494,60,83053,10053,1902,6718903,0.073523907102097,0.073523907102097,0.283081925725077,-24,9,-17,-19,-4,6,-8.16666666666667,,,,,,,,,
190,,6.2,95190,366,3,82902,10113,2175,6718903,0.054473178136371,0.054473178136371,0.323713558597289,-33,3,-9,-24,-4,5,-10.3333333333333,,,,,,,,,
191,,6.2,95337,318,3,83107,10116,2114,6718903,0.047329154774224,0.047329154774224,0.31463469557456,-29,5,-18,-29,-20,9,-13.6666666666667,,,,,,,,,
192,,6.2,95444,569,114,83677,10119,1648,6718903,0.084686443605452,0.084686443605452,0.245278135433716,-34,1,-45,-33,-24,13,-20.3333333333333,,,,,,,,,
193,,6.2,96051,622,97,84090,10233,1728,6718903,0.092574636067822,0.092574636067822,0.257184841037294,-30,5,-31,-32,-22,11,-16.5,,,,,,,,,
194,,6.2,96818,495,61,84700,10330,1788,6718903,0.073672740922142,0.073672740922142,0.266114870239978,-31,3,-23,-32,-21,12,-15.3333333333333,,,,,,,,,
195,,6.2,97399,484,58,85197,10391,1811,6718903,0.07203556890165,0.07203556890165,0.269538048101007,-25,9,-10,-28,-19,10,-10.5,,,,,,,,,
196,,6.2,97612,530,21,85236,10449,1927,6718903,0.078881924623707,0.078881924623707,0.286802771226196,-27,7,-29,-23,-4,7,-11.5,,,,,,,,,
197,,6.2,97824,309,25,85221,10470,2133,6718903,0.045989650393822,0.045989650393822,0.31746253815541,-45,-7,-65,-39,-10,9,-26.1666666666667,,,,,,,,,
198,,6.2,98162,373,10,85595,10495,2072,6718903,0.055515014876685,0.055515014876685,0.308383675132682,-34,1,-47,-34,-23,11,-21,,,,,,,,,
199,,6.2,98545,488,71,85808,10576,2161,6718903,0.072630904181829,0.072630904181829,0.321629885116663,-55,-25,-69,-47,-33,18,-35.1666666666667,,,,,,,,,
200,,6.2,98545,484,84,86091,10576,1878,6718903,0.07203556890165,0.07203556890165,0.279509914044004,-36,9,-51,-36,-23,13,-20.6666666666667,,,,,,,,,
201,,6.2,99573,400,70,83077,10660,5836,6718903,0.059533528017892,0.059533528017892,0.868594173781047,-34,6,-37,-32,-20,12,-17.5,,,,,,,,,
202,,6.2,99882,471,63,87309,10730,1843,6718903,0.070100729241068,0.070100729241068,0.274300730342438,-27,14,-17,-27,-18,10,-10.8333333333333,,,,,,,,,
203,,6.2,100045,505,41,84542,10793,4710,6718903,0.075161079122589,0.075161079122589,0.701007292410681,-30,8,-29,-22,-2,7,-11.3333333333333,,,,,,,,,
204,,6.2,100132,309,15,87943,10834,1355,6718903,0.045989650393822,0.045989650393822,0.20166982616061,-37,2,-16,-23,-2,5,-11.8333333333333,,,,,,,,,
205,,6.2,102246,234,7,89173,10849,2224,6718903,0.034827113890467,0.034827113890467,0.331006415779481,-36,4,-28,-32,-20,10,-17,,,,,,,,,
206,,6.2,102326,485,70,89422,10856,2048,6718903,0.072184402721694,0.072184402721694,0.304811663451608,-37,3,-42,-33,-22,12,-19.8333333333333,,,,,,,,,
207,,6.2,102509,536,43,89779,10926,1804,6718903,0.079774927543976,0.079774927543976,0.268496211360694,-32,12,-31,-31,-21,10,-15.5,,,,,,,,,
208,,6.3,102716,436,55,90229,10969,1518,6718903,0.064891545539503,0.064891545539503,0.225929738827901,-33,12,-25,-30,-18,10,-14,,,,,,,,,
209,,6.3,102901,629,53,90552,11024,1325,6718903,0.093616472808136,0.093616472808136,0.197204811559268,-25,15,4,-20,-17,8,-5.83333333333333,,,,,,,,,
210,,6.3,106078,482,24,93210,11077,1791,6718903,0.07173790126156,0.07173790126156,0.266561371700112,-27,14,-31,-14,-2,6,-9,,,,,,,,,
211,,6.3,106138,1084,6,93393,11101,1644,6718903,0.161335860928488,0.161335860928488,0.244682800153537,-40,6,-60,-24,-6,8,-19.3333333333333,,,,,,,,,
212,,6.3,106170,302,11,93567,11107,1496,6718903,0.044947813653509,0.044947813653509,0.222655394786917,-29,13,-33,-23,-18,9,-13.5,,,,,,,,,
213,,6.3,107643,505,79,94879,11118,1646,6718903,0.075161079122589,0.075161079122589,0.244980467793626,-31,9,-29,-24,-21,10,-14.3333333333333,,,,,,,,,
214,,6.3,108704,440,43,95874,11197,1633,6718903,0.065486880819682,0.065486880819682,0.243045628133045,-28,16,-37,-24,-19,9,-13.8333333333333,,,,,,,,,
215,,6.3,109547,369,73,96619,11240,1688,6718903,0.054919679596506,0.054919679596506,0.251231488235505,-31,12,-43,-25,-19,11,-15.8333333333333,,,,,,,,,
216,,6.3,110202,413,65,97238,11313,1651,6718903,0.061468367678474,0.061468367678474,0.24572463689385,-25,16,-33,-21,-17,9,-11.8333333333333,,,,,,,,,
217,,6.3,111006,396,23,97767,11378,1861,6718903,0.058938192737713,0.058938192737713,0.276979739103243,-23,18,-45,-11,0,6,-9.16666666666667,,,,,,,,,
218,,6.3,111218,478,5,98238,11401,1579,6718903,0.071142565981381,0.071142565981381,0.235008601850629,-26,16,-29,-16,3,6,-7.66666666666667,,,,,,,,,
219,,6.3,111255,266,0,98427,11406,1422,6718903,0.039589796131898,0.039589796131898,0.211641692103607,-34,-11,17,-51,-60,12,-21.1666666666667,,,,,,,,,
220,,6.3,111255,306,20,98531,11406,1318,6718903,0.045543148933688,0.045543148933688,0.196162974818955,-32,6,-35,-22,-20,9,-15.6666666666667,,,,,,,,,
221,,6.3,111282,419,61,99094,11426,762,6718903,0.062361370598742,0.062361370598742,0.113411370874085,-31,10,-38,-25,-19,10,-15.5,,,,,,,,,
222,,6.3,111378,427,50,99115,11487,776,6718903,0.0635520411591,0.0635520411591,0.115495044354711,-31,11,-39,-25,-19,11,-15.3333333333333,,,,,,,,,
223,,6.3,111469,505,45,99505,11537,427,6718903,0.075161079122589,0.075161079122589,0.0635520411591,-28,14,-34,-20,-17,11,-12.3333333333333,,,,,,,,,
224,,6.3,113512,459,28,100918,11582,1012,6718903,0.068314723400531,0.068314723400531,0.150619825885267,-24,16,-35,-11,1,7,-7.66666666666667,,,,,,,,,
225,,6.3,113608,406,23,100962,11610,1036,6718903,0.060426530938161,0.060426530938161,0.154191837566341,-31,14,-28,-15,1,6,-8.83333333333333,,,,,,,,,
226,,6.3,113699,320,4,100718,11633,1348,6718903,0.047626822414314,0.047626822414314,0.200627989420297,-51,-42,-18,-39,-38,14,-29,,,,,,,,,
227,,6.3,114097,510,35,100847,11637,1613,6718903,0.075905248222813,0.075905248222813,0.24006895173215,-28,20,-30,-21,-19,9,-11.5,,,,,,,,,
228,,6.3,114274,684,62,101245,11672,1357,6718903,0.101802332910596,0.101802332910596,0.201967493800699,-29,15,-33,-23,-17,10,-12.8333333333333,,,,,,,,,
229,,6.3,114761,457,43,101586,11734,1441,6718903,0.068017055760442,0.068017055760442,0.214469534684457,-30,12,-30,-23,-16,11,-12.6666666666667,,,,,,,,,
230,,6.3,115213,446,57,101984,11777,1452,6718903,0.06637988373995,0.06637988373995,0.216106706704949,-23,17,-5,-18,-14,9,-5.66666666666667,,,,,,,,,
231,,6.3,115635,503,36,102284,11834,1517,6718903,0.0748634114825,0.0748634114825,0.225780905007856,-27,11,-36,-13,0,7,-9.66666666666667,,,,,,,,,
232,,6.3,116199,355,23,102637,11870,1692,6718903,0.052836006115879,0.052836006115879,0.251826823515684,-33,9,-35,-19,0,7,-11.8333333333333,,,,,,,,,
233,,6.3,116419,431,6,102851,11893,1675,6718903,0.064147376439279,0.064147376439279,0.249296648574924,-30,11,-32,-23,-16,9,-13.5,,,,,,,,,
234,,6.3,116591,544,53,103055,11899,1637,6718903,0.080965598104333,0.080965598104333,0.243640963413224,-32,6,-24,-22,-18,10,-13.3333333333333,,,,,,,,,
235,,6.3,117379,530,57,103803,11952,1624,6718903,0.078881924623707,0.078881924623707,0.241706123752642,-30,9,-25,-24,-17,9,-13,,,,,,,,,
236,,6.3,117956,570,55,104227,12009,1720,6718903,0.084835277425496,0.084835277425496,0.255994170476936,-32,7,-27,-23,-15,10,-13.3333333333333,,,,,,,,,
237,,6.3,118433,561,55,104646,12064,1723,6718903,0.083495773045094,0.083495773045094,0.256440671937071,-34,7,-47,-24,-20,12,-17.6666666666667,,,,,,,,,
238,,6.3,118635,577,6,104835,12119,1681,6718903,0.08587711416581,0.08587711416581,0.250189651495192,-31,15,-59,-19,-2,8,-14.6666666666667,,,,,,,,,
239,,6.3,119201,465,4,105167,12125,1909,6718903,0.0692077263208,0.0692077263208,0.284123762465391,-36,10,-57,-26,-3,9,-17.1666666666667,,,,,,,,,
240,,6.3,119501,717,11,105720,12129,1652,6718903,0.106713848972072,0.106713848972072,0.245873470713895,-47,-16,-12,-57,-61,16,-29.5,,,,,,,,,
241,,7.3,119593,571,8,105742,12140,1711,6718903,0.084984111245541,0.084984111245541,0.254654666096534,-33,6,-40,-21,-18,9,-16.1666666666667,,,,,,,,,
242,,7.3,119826,631,71,106433,12148,1245,6718903,0.093914140448225,0.093914140448225,0.185298105955689,-29,16,-40,-24,-16,10,-13.8333333333333,,,,,,,,,
243,,7.3,120432,644,49,106919,12219,1294,6718903,0.095848980108807,0.095848980108807,0.192590963137881,-32,11,-43,-25,-16,11,-15.6666666666667,,,,,,,,,
244,,7.3,120802,743,0,107262,12268,1272,6718903,0.110583528293235,0.110583528293235,0.189316619096897,-20,24,-21,-18,-12,9,-6.33333333333333,,,,,,,,,
245,,7.3,121698,771,44,107622,12268,1808,6718903,0.114750875254487,0.114750875254487,0.269091546640873,-18,18,-30,-8,3,5,-5,,,,,,,,,
246,,7.3,122157,653,0,108045,12312,1800,6718903,0.097188484489209,0.097188484489209,0.267900876080515,-29,10,-37,-15,2,6,-10.5,,,,,,,,,
247,,7.3,122295,646,0,108394,12312,1589,6718903,0.096146647748896,0.096146647748896,0.236496940051077,-26,15,-36,-21,-14,8,-12.3333333333333,,,,,,,,,
248,,7.3,122527,877,0,108490,12312,1725,6718903,0.130527260179229,0.130527260179229,0.25673833957716,-29,11,-39,-23,-18,10,-14.6666666666667,,,,,,,,,
249,,7.3,123281,977,10,109396,12312,1573,6718903,0.145410642183702,0.145410642183702,0.234115598930361,-28,13,-39,-24,-16,10,-14,,,,,,,,,
250,,7.3,123874,904,97,109953,12322,1599,6718903,0.134545773320436,0.134545773320436,0.237985278251524,-30,8,-37,-24,-15,11,-14.5,,,,,,,,,
251,,7.3,124912,803,0,110746,12419,1747,6718903,0.119513557495919,0.119513557495919,0.260012683618144,-20,19,-19,-19,-13,9,-7.16666666666667,,,,,,,,,
252,,7.3,125463,901,87,111224,12419,1820,6718903,0.134099271860302,0.134099271860302,0.27087755248141,-19,15,-29,-9,3,5,-5.66666666666667,,,,,,,,,
253,,7.3,126423,783,4,111539,12506,2378,6718903,0.116536881095024,0.116536881095024,0.353926824066369,-16,39,-17,16,12,2,6,,,,,,,,,
254,,7.3,126691,1018,2,112365,12510,1816,6718903,0.151512828805536,0.151512828805536,0.270282217201231,-29,8,-24,-23,-16,9,-12.5,,,,,,,,,
255,,7.3,126824,1123,141,112365,12512,1947,6718903,0.167140379910232,0.167140379910232,0.28977944762709,-32,4,-39,-24,-18,11,-16.3333333333333,,,,,,,,,
256,,7.3,127921,982,140,112820,12653,2448,6718903,0.146154811283925,0.146154811283925,0.3643451914695,-33,6,-53,-28,-18,11,-19.1666666666667,,,,,,,,,
257,,7.3,128834,1061,51,113805,12793,2236,6718903,0.157912683067459,0.157912683067459,0.332792421620017,-30,10,-47,-23,-16,10,-16,,,,,,,,,
258,,7.3,129631,998,79,114499,12844,2288,6718903,0.148536152404641,0.148536152404641,0.340531780262343,-45,-6,-46,-53,-55,20,-30.8333333333333,,,,,,,,,
259,,7.3,130635,1288,12,114822,12923,2890,6718903,0.191697960217613,0.191697960217613,0.430129739929271,-24,12,-35,-16,-2,7,-9.66666666666667,,,,,,,,,
260,,7.3,130948,909,0,115320,12935,2693,6718903,0.13528994242066,0.13528994242066,0.400809477380459,-34,4,-42,-20,-2,7,-14.5,,,,,,,,,
261,,7.3,131241,969,44,116056,12935,2250,6718903,0.144219971623344,0.144219971623344,0.334876095100644,-28,11,-37,-22,-15,9,-13.6666666666667,,,,,,,,,
262,,7.3,131433,1305,85,116100,12979,2354,6718903,0.194228135158373,0.194228135158373,0.350354812385296,-29,7,-33,-24,-17,10,-14.3333333333333,,,,,,,,,
263,,7.3,132349,979,51,117230,13064,2055,6718903,0.145708309823791,0.145708309823791,0.305853500191921,-27,13,-32,-24,-16,9,-12.8333333333333,,,,,,,,,
264,,7.3,133836,1358,77,118299,13115,2422,6718903,0.202116327620744,0.202116327620744,0.360475512148337,-27,11,-23,-23,-14,10,-11,,,,,,,,,
265,,7.3,134674,1156,34,119000,13192,2482,6718903,0.172051895971708,0.172051895971708,0.369405541351021,-15,24,-5,-16,-13,8,-2.83333333333333,,,,,,,,,
266,,7.3,135093,1022,35,119658,13226,2209,6718903,0.152108164085715,0.152108164085715,0.32877390847881,-19,17,-19,-8,3,5,-3.5,,,,,,,,,
267,,7.3,137193,879,6,120549,13261,3383,6718903,0.130824927819318,0.130824927819318,0.503504813211323,-13,49,-3,16,9,2,10,,,,,,,,,
268,,7.3,137643,1344,28,121532,13267,2844,6718903,0.200032654140118,0.200032654140118,0.423283384207214,-23,17,-17,-20,-15,8,-8.33333333333333,,,,,,,,,
269,,7.3,137860,1500,63,121634,13295,2931,6718903,0.223250730067096,0.223250730067096,0.436231926551105,-26,13,-32,-23,-18,10,-12.6666666666667,,,,,,,,,
270,,7.3,139497,1179,47,123394,13358,2745,6718903,0.175475073832737,0.175475073832737,0.408548836022785,-23,20,-36,-22,-15,9,-11.1666666666667,,,,,,,,,
271,,7.3,140864,1154,60,124439,13405,3020,6718903,0.171754228331619,0.171754228331619,0.449478136535086,-24,16,-25,-21,-14,10,-9.66666666666667,,,,,,,,,
272,,7.3,142231,1027,67,125503,13465,3263,6718903,0.152852333185938,0.152852333185938,0.485644754805956,-17,23,-9,-17,-12,8,-4,,,,,,,,,
273,,7.3,143192,1103,38,125833,13532,3827,6718903,0.164163703509338,0.164163703509338,0.569587029311184,-19,18,-42,-9,3,6,-7.16666666666667,,,,,,,,,
274,,7.3,144199,965,11,127065,13570,3564,6718903,0.143624636343165,0.143624636343165,0.53044373463942,-30,13,-60,-21,-1,7,-15.3333333333333,,,,,,,,,
275,,7.3,144493,1170,13,128052,13581,2860,6718903,0.174135569452335,0.174135569452335,0.425664725327929,-27,11,-52,-26,-18,10,-17,,,,,,,,,
276,,7.3,144641,1015,82,128775,13594,2272,6718903,0.151066327345401,0.151066327345401,0.338150439141628,-23,16,-38,-22,-16,10,-12.1666666666667,,,,,,,,,
277,,7.3,145763,911,96,129616,13676,2471,6718903,0.13558761006075,0.13558761006075,0.367768369330529,-25,14,-40,-24,-16,10,-13.5,,,,,,,,,
278,,7.3,147217,1152,72,130263,13772,3182,6718903,0.17145656069153,0.17145656069153,0.473589215382332,-27,13,-39,-23,-15,11,-13.3333333333333,,,,,,,,,
279,,7.3,148684,1011,38,132136,13844,2704,6718903,0.150470992065223,0.150470992065223,0.402446649400951,-20,18,-20,-17,-13,9,-7.16666666666667,,,,,,,,,
280,,7.3,150072,943,36,132759,13882,3431,6718903,0.140350292302181,0.140350292302181,0.51064883657347,-19,16,-32,-8,4,6,-5.5,,,,,,,,,
281,,7.3,151210,755,4,133911,13918,3381,6718903,0.112369534133772,0.112369534133772,0.503207145571234,-29,10,-42,-18,1,7,-11.8333333333333,,,,,,,,,
282,,7.3,151341,858,1,134383,13922,3036,6718903,0.127699417598379,0.127699417598379,0.451859477655802,-22,15,-25,-20,-14,8,-9.66666666666667,,,,,,,,,
283,,7.3,151531,873,92,128675,13923,8933,6718903,0.12993192489905,0.12993192489905,1.32953251445958,-23,13,-23,-20,-17,9,-10.1666666666667,,,,,,,,,
