Date,PM10,Policy,Total Confirmed,New Cases,New Deaths,Recovered Population,Accumulative Deaths,Measured Current Infected,Population,New_Cases_pc,Active_Cases_pc,retail_and_recreation_mob,grocery_and_pharmacy_mob,parks_percent_mob,transit_stations_mob,workplaces_mob,residential_mob,avg_mob
197,,6.2,97824,212,25,85221,10470,2133,6718903,0.031552769849483,0.31746253815541,-45,-7,-65,-39,-10,9,-26.1666666666667
198,,6.2,98162,338,10,85595,10495,2072,6718903,0.050305831175119,0.308383675132682,-34,1,-47,-34,-23,11,-21
199,,6.2,98545,383,71,85808,10576,2161,6718903,0.057003353077132,0.321629885116663,-55,-25,-69,-47,-33,18,-35.1666666666667
200,,6.2,98545,0,84,86091,10576,1878,6718903,0,0.279509914044004,-36,9,-51,-36,-23,13,-20.6666666666667
201,,6.2,99573,1028,70,83077,10660,5836,6718903,0.153001167005983,0.868594173781047,-34,6,-37,-32,-20,12,-17.5
202,,6.2,99882,309,63,87309,10730,1843,6718903,0.045989650393822,0.274300730342438,-27,14,-17,-27,-18,10,-10.8333333333333
203,,6.2,100045,163,41,84542,10793,4710,6718903,0.024259912667291,0.701007292410681,-30,8,-29,-22,-2,7,-11.3333333333333
204,,6.2,100132,87,15,87943,10834,1355,6718903,0.012948542343892,0.20166982616061,-37,2,-16,-23,-2,5,-11.8333333333333
205,,6.2,102246,2114,7,89173,10849,2224,6718903,0.31463469557456,0.331006415779481,-36,4,-28,-32,-20,10,-17
206,,6.2,102326,80,70,89422,10856,2048,6718903,0.011906705603579,0.304811663451608,-37,3,-42,-33,-22,12,-19.8333333333333
207,,6.2,102509,183,43,89779,10926,1804,6718903,0.027236589068186,0.268496211360694,-32,12,-31,-31,-21,10,-15.5
208,,6.3,102716,207,55,90229,10969,1518,6718903,0.030808600749259,0.225929738827901,-33,12,-25,-30,-18,10,-14
209,,6.3,102901,185,53,90552,11024,1325,6718903,0.027534256708275,0.197204811559268,-25,15,4,-20,-17,8,-5.83333333333333
210,,6.3,106078,3177,24,93210,11077,1791,6718903,0.472845046282109,0.266561371700112,-27,14,-31,-14,-2,6,-9
211,,6.3,106138,60,6,93393,11101,1644,6718903,0.008930029202684,0.244682800153537,-40,6,-60,-24,-6,8,-19.3333333333333
212,,6.3,106170,32,11,93567,11107,1496,6718903,0.004762682241431,0.222655394786917,-29,13,-33,-23,-18,9,-13.5
213,,6.3,107643,1473,79,94879,11118,1646,6718903,0.219232216925888,0.244980467793626,-31,9,-29,-24,-21,10,-14.3333333333333
214,,6.3,108704,1061,43,95874,11197,1633,6718903,0.157912683067459,0.243045628133045,-28,16,-37,-24,-19,9,-13.8333333333333
215,,6.3,109547,843,73,96619,11240,1688,6718903,0.125466910297708,0.251231488235505,-31,12,-43,-25,-19,11,-15.8333333333333
216,,6.3,110202,655,65,97238,11313,1651,6718903,0.097486152129299,0.24572463689385,-25,16,-33,-21,-17,9,-11.8333333333333
217,,6.3,111006,804,23,97767,11378,1861,6718903,0.119662391315963,0.276979739103243,-23,18,-45,-11,0,6,-9.16666666666667
218,,6.3,111218,212,5,98238,11401,1579,6718903,0.031552769849483,0.235008601850629,-26,16,-29,-16,3,6,-7.66666666666667
219,,6.3,111255,37,0,98427,11406,1422,6718903,0.005506851341655,0.211641692103607,-34,-11,17,-51,-60,12,-21.1666666666667
220,,6.3,111255,0,20,98531,11406,1318,6718903,0,0.196162974818955,-32,6,-35,-22,-20,9,-15.6666666666667
221,,6.3,111282,27,61,99094,11426,762,6718903,0.004018513141208,0.113411370874085,-31,10,-38,-25,-19,10,-15.5
222,,6.3,111378,96,50,99115,11487,776,6718903,0.014288046724294,0.115495044354711,-31,11,-39,-25,-19,11,-15.3333333333333
223,,6.3,111469,91,45,99505,11537,427,6718903,0.013543877624071,0.0635520411591,-28,14,-34,-20,-17,11,-12.3333333333333
224,,6.3,113512,2043,28,100918,11582,1012,6718903,0.304067494351384,0.150619825885267,-24,16,-35,-11,1,7,-7.66666666666667
225,,6.3,113608,96,23,100962,11610,1036,6718903,0.014288046724294,0.154191837566341,-31,14,-28,-15,1,6,-8.83333333333333
226,,6.3,113699,91,4,100718,11633,1348,6718903,0.013543877624071,0.200627989420297,-51,-42,-18,-39,-38,14,-29
227,,6.3,114097,398,35,100847,11637,1613,6718903,0.059235860377803,0.24006895173215,-28,20,-30,-21,-19,9,-11.5
228,,6.3,114274,177,62,101245,11672,1357,6718903,0.026343586147917,0.201967493800699,-29,15,-33,-23,-17,10,-12.8333333333333
229,,6.3,114761,487,43,101586,11734,1441,6718903,0.072482070361784,0.214469534684457,-30,12,-30,-23,-16,11,-12.6666666666667
230,,6.3,115213,452,57,101984,11777,1452,6718903,0.067272886660218,0.216106706704949,-23,17,-5,-18,-14,9,-5.66666666666667
231,,6.3,115635,422,36,102284,11834,1517,6718903,0.062807872058876,0.225780905007856,-27,11,-36,-13,0,7,-9.66666666666667
232,,6.3,116199,564,23,102637,11870,1692,6718903,0.083942274505228,0.251826823515684,-33,9,-35,-19,0,7,-11.8333333333333
233,,6.3,116419,220,6,102851,11893,1675,6718903,0.032743440409841,0.249296648574924,-30,11,-32,-23,-16,9,-13.5
234,,6.3,116591,172,53,103055,11899,1637,6718903,0.025599417047694,0.243640963413224,-32,6,-24,-22,-18,10,-13.3333333333333
235,,6.3,117379,788,57,103803,11952,1624,6718903,0.117281050195248,0.241706123752642,-30,9,-25,-24,-17,9,-13
236,,6.3,117956,577,55,104227,12009,1720,6718903,0.08587711416581,0.255994170476936,-32,7,-27,-23,-15,10,-13.3333333333333
237,,6.3,118433,477,55,104646,12064,1723,6718903,0.070993732161337,0.256440671937071,-34,7,-47,-24,-20,12,-17.6666666666667
238,,6.3,118635,202,6,104835,12119,1681,6718903,0.030064431649036,0.250189651495192,-31,15,-59,-19,-2,8,-14.6666666666667
239,,6.3,119201,566,4,105167,12125,1909,6718903,0.084239942145318,0.284123762465391,-36,10,-57,-26,-3,9,-17.1666666666667
240,,6.3,119501,300,11,105720,12129,1652,6718903,0.044650146013419,0.245873470713895,-47,-16,-12,-57,-61,16,-29.5
241,,7.3,119593,92,8,105742,12140,1711,6718903,0.013692711444115,0.254654666096534,-33,6,-40,-21,-18,9,-16.1666666666667
242,,7.3,119826,233,71,106433,12148,1245,6718903,0.034678280070422,0.185298105955689,-29,16,-40,-24,-16,10,-13.8333333333333
243,,7.3,120432,606,49,106919,12219,1294,6718903,0.090193294947107,0.192590963137881,-32,11,-43,-25,-16,11,-15.6666666666667
244,,7.3,120802,370,0,107262,12268,1272,6718903,0.05506851341655,0.189316619096897,-20,24,-21,-18,-12,9,-6.33333333333333
245,,7.3,121698,896,44,107622,12268,1808,6718903,0.133355102760079,0.269091546640873,-18,18,-30,-8,3,5,-5
246,,7.3,122157,459,0,108045,12312,1800,6718903,0.068314723400531,0.267900876080515,-29,10,-37,-15,2,6,-10.5
247,,7.3,122295,138,0,108394,12312,1589,6718903,0.020539067166173,0.236496940051077,-26,15,-36,-21,-14,8,-12.3333333333333
248,,7.3,122527,232,0,108490,12312,1725,6718903,0.034529446250378,0.25673833957716,-29,11,-39,-23,-18,10,-14.6666666666667
249,,7.3,123281,754,10,109396,12312,1573,6718903,0.112220700313727,0.234115598930361,-28,13,-39,-24,-16,10,-14
250,,7.3,123874,593,97,109953,12322,1599,6718903,0.088258455286525,0.237985278251524,-30,8,-37,-24,-15,11,-14.5
251,,7.3,124912,1038,0,110746,12419,1747,6718903,0.15448950520643,0.260012683618144,-20,19,-19,-19,-13,9,-7.16666666666667
252,,7.3,125463,551,87,111224,12419,1820,6718903,0.082007434844647,0.27087755248141,-19,15,-29,-9,3,5,-5.66666666666667
253,,7.3,126423,960,4,111539,12506,2378,6718903,0.142880467242941,0.353926824066369,-16,39,-17,16,12,2,6
254,,7.3,126691,268,2,112365,12510,1816,6718903,0.039887463771988,0.270282217201231,-29,8,-24,-23,-16,9,-12.5
255,,7.3,126824,133,141,112365,12512,1947,6718903,0.019794898065949,0.28977944762709,-32,4,-39,-24,-18,11,-16.3333333333333
256,,7.3,127921,1097,140,112820,12653,2448,6718903,0.163270700589069,0.3643451914695,-33,6,-53,-28,-18,11,-19.1666666666667
257,,7.3,128834,913,51,113805,12793,2236,6718903,0.135885277700839,0.332792421620017,-30,10,-47,-23,-16,10,-16
258,,7.3,129631,797,79,114499,12844,2288,6718903,0.11862055457565,0.340531780262343,-45,-6,-46,-53,-55,20,-30.8333333333333
259,,7.3,130635,1004,12,114822,12923,2890,6718903,0.149429155324909,0.430129739929271,-24,12,-35,-16,-2,7,-9.66666666666667
260,,7.3,130948,313,0,115320,12935,2693,6718903,0.046584985674001,0.400809477380459,-34,4,-42,-20,-2,7,-14.5
261,,7.3,131241,293,44,116056,12935,2250,6718903,0.043608309273106,0.334876095100644,-28,11,-37,-22,-15,9,-13.6666666666667
262,,7.3,131433,192,85,116100,12979,2354,6718903,0.028576093448588,0.350354812385296,-29,7,-33,-24,-17,10,-14.3333333333333
263,,7.3,132349,916,51,117230,13064,2055,6718903,0.136331779160973,0.305853500191921,-27,13,-32,-24,-16,9,-12.8333333333333
264,,7.3,133836,1487,77,118299,13115,2422,6718903,0.221315890406514,0.360475512148337,-27,11,-23,-23,-14,10,-11
265,,7.3,134674,838,34,119000,13192,2482,6718903,0.124722741197484,0.369405541351021,-15,24,-5,-16,-13,8,-2.83333333333333
266,,7.3,135093,419,35,119658,13226,2209,6718903,0.062361370598742,0.32877390847881,-19,17,-19,-8,3,5,-3.5
267,,7.3,137193,2100,6,120549,13261,3383,6718903,0.312551022093934,0.503504813211323,-13,49,-3,16,9,2,10
268,,7.3,137643,450,28,121532,13267,2844,6718903,0.066975219020129,0.423283384207214,-23,17,-17,-20,-15,8,-8.33333333333333
269,,7.3,137860,217,63,121634,13295,2931,6718903,0.032296938949707,0.436231926551105,-26,13,-32,-23,-18,10,-12.6666666666667
270,,7.3,139497,1637,47,123394,13358,2745,6718903,0.243640963413224,0.408548836022785,-23,20,-36,-22,-15,9,-11.1666666666667
271,,7.3,140864,1367,60,124439,13405,3020,6718903,0.203455832001147,0.449478136535086,-24,16,-25,-21,-14,10,-9.66666666666667
272,,7.3,142231,1367,67,125503,13465,3263,6718903,0.203455832001147,0.485644754805956,-17,23,-9,-17,-12,8,-4
273,,7.3,143192,961,38,125833,13532,3827,6718903,0.143029301062986,0.569587029311184,-19,18,-42,-9,3,6,-7.16666666666667
274,,7.3,144199,1007,11,127065,13570,3564,6718903,0.149875656785044,0.53044373463942,-30,13,-60,-21,-1,7,-15.3333333333333
275,,7.3,144493,294,13,128052,13581,2860,6718903,0.043757143093151,0.425664725327929,-27,11,-52,-26,-18,10,-17
276,,7.3,144641,148,82,128775,13594,2272,6718903,0.02202740536662,0.338150439141628,-23,16,-38,-22,-16,10,-12.1666666666667
277,,7.3,145763,1122,96,129616,13676,2471,6718903,0.166991546090188,0.367768369330529,-25,14,-40,-24,-16,10,-13.5
278,,7.3,147217,1454,72,130263,13772,3182,6718903,0.216404374345038,0.473589215382332,-27,13,-39,-23,-15,11,-13.3333333333333
279,,7.3,148684,1467,38,132136,13844,2704,6718903,0.21833921400562,0.402446649400951,-20,18,-20,-17,-13,9,-7.16666666666667
280,,7.3,150072,1388,36,132759,13882,3431,6718903,0.206581342222086,0.51064883657347,-19,16,-32,-8,4,6,-5.5
281,,7.3,151210,1138,4,133911,13918,3381,6718903,0.169372887210903,0.503207145571234,-29,10,-42,-18,1,7,-11.8333333333333
282,,7.3,151341,131,1,134383,13922,3036,6718903,0.01949723042586,0.451859477655802,-22,15,-25,-20,-14,8,-9.66666666666667
283,,7.3,151531,190,92,128675,13923,8933,6718903,0.028278425808499,1.32953251445958,-23,13,-23,-20,-17,9,-10.1666666666667
284,,7.3,151893,362,136,129218,14015,8660,6718903,0.053877842856193,1.28890088158737,-21,17,-26,-21,-15,8,-9.66666666666667
285,,7.3,153027,1134,26,130013,14151,8863,6718903,0.168777551930724,1.31911414705645,-21,18,-26,-20,-14,9,-9
286,,7.3,154183,1156,60,131008,14177,8998,6718903,0.172051895971708,1.33920671276249,-13,24,-8,-13,-12,7,-2.5
287,,7.3,155434,1251,56,131994,14237,9203,6718903,0.186191108875958,1.36971764587166,-14,22,-22,-1,7,4,-0.666666666666667
288,,7.3,156389,955,0,132801,14293,9295,6718903,0.142136298142718,1.38341035731577,-19,25,-15,-4,11,5,0.5
289,,7.3,156583,194,3,133145,14293,9145,6718903,0.028873761088678,1.36108528430906,-10,30,-16,-15,-14,6,-3.16666666666667
290,,7.3,156818,235,84,133678,14296,8844,6718903,0.034975947710512,1.3162863044756,-20,22,-43,-20,-20,9,-12
291,,7.3,157693,875,17,134410,14380,8903,6718903,0.130229592539139,1.32506749985824,-10,54,-39,-16,-18,6,-3.83333333333333
292,,7.3,158481,788,84,135134,14397,8950,6718903,0.117281050195248,1.33206268940034,-43,26,-54,-43,-44,14,-24
293,,7.3,159865,1384,42,136242,14481,9142,6718903,0.205986006941907,1.36063878284893,-84,-77,-63,-74,-74,19,-58.8333333333333
294,,7.3,160369,504,3,136782,14523,9064,6718903,0.075012245302544,1.34902974488544,-36,-3,-36,-28,-11,10,-17.3333333333333
295,,7.3,160540,171,6,137142,14526,8872,6718903,0.025450583227649,1.32045365143685,-45,-9,-66,-33,-6,11,-24.6666666666667
296,,7.3,161003,463,16,137649,14532,8822,6718903,0.06891005868071,1.31301196043461,-23,18,-32,-27,-20,10,-12.3333333333333
297,,7.3,161191,188,85,137987,14548,8656,6718903,0.027980758168409,1.28830554630719,-25,17,-28,-28,-24,11,-12.8333333333333
298,,7.3,162772,1581,110,139233,14633,8906,6718903,0.235306269490719,1.32551400131837,-19,43,-20,-26,-22,8,-6
299,,7.3,164782,2010,117,140601,14743,9438,6718903,0.299155978289908,1.40469359358217,-49,25,-21,-46,-46,13,-20.6666666666667
300,,7.3,165079,297,45,140828,14860,9391,6718903,0.044203644553285,1.39769840404006,-79,-74,-25,-73,-74,18,-51.1666666666667
301,,7.3,165158,79,1,141064,14905,9189,6718903,0.011757871783534,1.36763397239103,-56,-22,-63,-44,-27,14,-33
302,,7.3,165163,5,7,141241,14906,9016,6718903,0.000744169100224,1.34188572152329,-43,-3,-47,-28,-5,9,-19.5
303,,7.3,165189,26,2,141452,14913,8824,6718903,0.003869679321163,1.3133096280747,-31,13,-23,-27,-19,9,-13
304,,7.3,167858,2669,162,143422,14915,9521,6718903,0.397237465699386,1.41704680064588,-32,9,-18,-27,-21,11,-13
305,,7.3,169372,1514,103,144534,15077,9761,6718903,0.225334403547722,1.45276691745661,-31,10,-22,-28,-19,10,-13.3333333333333
306,,7.3,170636,1264,132,145477,15180,9979,6718903,0.188125948536539,1.48521269022637,-31,9,-11,-27,-18,11,-11.1666666666667
307,,7.3,171843,1207,111,146353,15312,10178,6718903,0.17964242079399,1.51483062041527,-24,16,1,-23,-16,9,-6.16666666666667
308,,7.3,172999,1156,104,147263,15423,10313,6718903,0.172051895971708,1.53492318612131,-27,11,-23,-18,1,7,-8.16666666666667
309,,7.3,173291,292,5,147781,15527,9983,6718903,0.043459475453061,1.48580802550654,-34,6,-20,-21,1,6,-10.3333333333333
310,,7.3,174154,863,1,148493,15532,10129,6718903,0.128443586698602,1.50753776323308,-27,12,-20,-26,-16,8,-11.5
311,,7.3,174347,193,131,148968,15533,9846,6718903,0.028724927268633,1.46541779216042,-32,2,-14,-28,-20,10,-13.6666666666667
312,,7.3,175452,1105,130,149673,15664,10115,6718903,0.164461371149427,1.50545408975245,-32,4,-20,-31,-21,8,-15.3333333333333
313,,7.3,176421,969,156,150343,15794,10284,6718903,0.144219971623344,1.53060700534001,-35,-2,-16,-33,-21,8,-16.5
314,,7.3,177569,1148,67,150942,15950,10677,6718903,0.170861225411351,1.58909869661759,-30,1,1,-30,-21,7,-12
315,,7.3,178464,895,84,151639,16017,10808,6718903,0.133206268940034,1.60859592704345,-33,-3,-11,-24,-7,4,-12.3333333333333
316,,7.3,179478,1014,18,152329,16101,11048,6718903,0.150917493525357,1.64431604385418,-36,-4,0,-22,-6,3,-10.8333333333333
317,,7.3,179788,310,8,152838,16119,10831,6718903,0.046138484213867,1.61201910490448,-34,-2,-11,-31,-21,6,-15.5
318,,7.3,179955,167,193,153321,16127,10507,6718903,0.02485524794747,1.56379694720998,-32,0,-10,-30,-22,7,-14.5
