Region,Codigo region,Comuna,Codigo comuna,Superficie_km2,Poblacion
Maule,7,Curicó,7301,1334.33,163626.0
Maule,7,Hualañé,7302,629.36,10222.0
Maule,7,Licantén,7303,273.01,6989.0
Maule,7,Molina,7304,1516.82,49800.0
Maule,7,Rauco,7305,306.73,11248.0
Maule,7,Romeral,7306,1602.87,16170.0
Maule,7,Sagrada Familia,7307,554.88,19469.0
Maule,7,Teno,7308,618.52,30850.0
Maule,7,Vichuquén,7309,452.0,4381.0
Maule,7,Linares,7401,1466.62,101073.0
Maule,7,Colbún,7402,2926.88,22565.0
Maule,7,Longaví,7403,1453.37,32810.0
Maule,7,Parral,7404,1638.81,44544.0
Maule,7,Retiro,7405,827.42,21071.0
Maule,7,San Javier,7406,1312.57,49451.0
Maule,7,Villa Alegre,7407,188.67,17512.0
Maule,7,Yerbas Buenas,7408,259.03,19200.0
Biobío,8,Coronel,8102,281.27,125829.0
Biobío,8,Florida,8104,605.89,11841.0
Biobío,8,Lota,8106,114.69,45750.0
Biobío,8,Santa Juana,8109,777.43,14779.0
Biobío,8,Talcahuano,8110,92.55,158345.0
Biobío,8,Lebu,8201,564.34,27100.0
Biobío,8,Arauco,8202,959.62,38679.0
Biobío,8,Cañete,8203,1088.57,37003.0
Biobío,8,Contulmo,8204,638.95,6330.0
Biobío,8,Curanilahue,8205,1002.76,33892.0
Biobío,8,Los Alamos,8206,600.38,22524.0
Biobío,8,Tirúa,8207,626.54,11019.0
Biobío,8,Los Angeles,8301,1749.02,218515.0
Biobío,8,Antuco,8302,1957.43,4306.0
Biobío,8,Cabrero,8303,657.03,30725.0
Biobío,8,Laja,8304,345.18,23873.0
Biobío,8,Mulchén,8305,1922.24,31041.0
Biobío,8,Nacimiento,8306,904.52,27944.0
Biobío,8,Negrete,8307,155.33,10429.0
Biobío,8,Quilaco,8308,1124.64,4179.0
Biobío,8,Quilleco,8309,1118.68,10032.0
Biobío,8,San Rosendo,8310,94.45,3611.0
Biobío,8,Santa Bárbara,8311,1251.76,14592.0
Biobío,8,Tucapel,8312,914.28,15205.0
Biobío,8,Yumbel,8313,727.1,22132.0
Biobío,8,Alto Biobío,8314,2124.77,6775.0
La Araucanía,9,Temuco,9101,466.89,302931.0
La Araucanía,9,Carahue,9102,1336.81,25486.0
La Araucanía,9,Cunco,9103,1890.34,18055.0
La Araucanía,9,Curarrehue,9104,1167.15,7802.0
La Araucanía,9,Freire,9105,870.08,25446.0
La Araucanía,9,Galvarino,9106,567.86,12633.0
La Araucanía,9,Gorbea,9107,690.43,15148.0
La Araucanía,9,Lautaro,9108,906.29,40746.0
La Araucanía,9,Loncoche,9109,971.27,24739.0
La Araucanía,9,Melipeuco,9110,1107.69,6265.0
La Araucanía,9,Nueva Imperial,9111,730.73,33777.0
La Araucanía,9,Padre Las Casas,9112,463.83,82110.0
La Araucanía,9,Perquenco,9113,331.03,7223.0
La Araucanía,9,Pitrufquén,9114,583.25,26096.0
La Araucanía,9,Pucón,9115,1248.06,29782.0
La Araucanía,9,Saavedra,9116,398.35,12793.0
La Araucanía,9,Teodoro Schmidt,9117,656.17,15786.0
La Araucanía,9,Toltén,9118,851.8,10055.0
La Araucanía,9,Vilcún,9119,1416.48,30766.0
La Araucanía,9,Villarrica,9120,1292.66,59103.0
La Araucanía,9,Cholchol,9121,427.14,12341.0
La Araucanía,9,Angol,9201,1197.32,56058.0
La Araucanía,9,Collipulli,9202,1306.73,26148.0
La Araucanía,9,Curacautín,9203,1658.66,18178.0
La Araucanía,9,Ercilla,9204,498.91,8458.0
La Araucanía,9,Lonquimay,9205,3928.81,11049.0
La Araucanía,9,Los Sauces,9206,848.07,7517.0
La Araucanía,9,Lumaco,9207,1109.98,10050.0
La Araucanía,9,Purén,9208,463.96,12188.0
La Araucanía,9,Renaico,9209,265.49,10833.0
La Araucanía,9,Traiguén,9210,897.07,19314.0
La Araucanía,9,Victoria,9211,1262.59,35467.0
Los Lagos,10,Puerto Montt,10101,1670.35,269398.0
Los Lagos,10,Calbuco,10102,587.38,36744.0
Los Lagos,10,Cochamó,10103,3981.1,4006.0
Los Lagos,10,Fresia,10104,1275.62,12656.0
Los Lagos,10,Frutillar,10105,828.25,20223.0
Los Lagos,10,Los Muermos,10106,1229.62,17817.0
Los Lagos,10,Llanquihue,10107,433.02,18621.0
Los Lagos,10,Maullín,10108,822.95,14894.0
Los Lagos,10,Puerto Varas,10109,4028.8,48620.0
Los Lagos,10,Castro,10201,471.38,47607.0
Los Lagos,10,Ancud,10202,1754.07,42458.0
Los Lagos,10,Chonchi,10203,1361.08,16013.0
Los Lagos,10,Curaco de Vélez,10204,79.85,4066.0
Los Lagos,10,Dalcahue,10205,1229.21,15069.0
Los Lagos,10,Puqueldón,10206,96.58,4201.0
Los Lagos,10,Queilén,10207,330.88,5543.0
Los Lagos,10,Quellón,10208,3360.3,29309.0
Los Lagos,10,Quemchi,10209,438.3,8783.0
Los Lagos,10,Quinchao,10210,158.73,8298.0
Los Lagos,10,Osorno,10301,954.57,173410.0
Los Lagos,10,Puerto Octay,10302,1793.82,9192.0
Los Lagos,10,Purranque,10303,1451.58,21080.0
Los Lagos,10,Puyehue,10304,1635.28,11787.0
Los Lagos,10,Río Negro,10305,1281.02,14275.0
Los Lagos,10,San Juan de la Costa,10306,1506.02,7639.0
Los Lagos,10,San Pablo,10307,629.94,10553.0
Los Lagos,10,Chaitén,10401,8256.01,5020.0
Los Lagos,10,Futaleufú,10402,1236.22,2806.0
Los Lagos,10,Hualaihué,10403,2834.53,9525.0
Los Lagos,10,Palena,10404,2656.01,1827.0
Aysén del General Carlos Ibáñez del Campo,11,Coihaique,11101,7280.46,61210.0
Aysén del General Carlos Ibáñez del Campo,11,Lago Verde,11102,5440.42,920.0
Aysén del General Carlos Ibáñez del Campo,11,Aysen,11201,29879.3,25002.0
Aysén del General Carlos Ibáñez del Campo,11,Cisnes,11202,15418.3,5828.0
Aysén del General Carlos Ibáñez del Campo,11,Guaitecas,11203,631.38,1599.0
Aysén del General Carlos Ibáñez del Campo,11,Cochrane,11301,8629.21,3685.0
Aysén del General Carlos Ibáñez del Campo,11,O'Higgins,11302,7781.76,661.0
Aysén del General Carlos Ibáñez del Campo,11,Tortel,11303,19977.3,572.0
Aysén del General Carlos Ibáñez del Campo,11,Chile Chico,11401,5739.01,5121.0
Aysén del General Carlos Ibáñez del Campo,11,Río Ibáñez,11402,6019.41,2699.0
Magallanes y de la Antártica Chilena,12,Punta Arenas,12101,17771.4,141984.0
Magallanes y de la Antártica Chilena,12,Laguna Blanca,12102,3567.32,264.0
Magallanes y de la Antártica Chilena,12,San Gregorio,12104,6706.74,681.0
Magallanes y de la Antártica Chilena,12,Cabo de Hornos,12201,15720.3,1983.0
Magallanes y de la Antártica Chilena,12,Antártica,12202,1250257.6,137.0
Magallanes y de la Antártica Chilena,12,Porvenir,12301,7457.05,7323.0
Magallanes y de la Antártica Chilena,12,Primavera,12302,3946.46,694.0
Magallanes y de la Antártica Chilena,12,Timaukel,12303,11011.8,282.0
Magallanes y de la Antártica Chilena,12,Natales,12401,48938.2,23782.0
Magallanes y de la Antártica Chilena,12,Torres del Paine,12402,6215.16,1021.0
Metropolitana de Santiago,13,Lo Barnechea,13115,1023.61,124076.0
Metropolitana de Santiago,13,Pirque,13202,444.71,30433.0
Metropolitana de Santiago,13,San José de Maipo,13203,4982.37,18644.0
Metropolitana de Santiago,13,Paine,13404,677.52,82766.0
Metropolitana de Santiago,13,Melipilla,13501,1352.65,141612.0
Metropolitana de Santiago,13,Alhué,13502,844.43,7405.0
Metropolitana de Santiago,13,Curacaví,13503,694.1,36430.0
Metropolitana de Santiago,13,María Pinto,13504,394.3,14926.0
Metropolitana de Santiago,13,San Pedro,13505,793.11,11953.0
Metropolitana de Santiago,13,Isla de Maipo,13603,189.62,40171.0
Los Ríos,14,Valdivia,14101,1018.32,176774.0
Los Ríos,14,Corral,14102,729.42,5447.0
Los Ríos,14,Lanco,14103,533.04,17652.0
Los Ríos,14,Los Lagos,14104,1788.82,20518.0
Los Ríos,14,Máfil,14105,579.15,7389.0
Los Ríos,14,Mariquina,14106,1319.22,23250.0
Los Ríos,14,Paillaco,14107,901.57,20798.0
Los Ríos,14,Panguipulli,14108,3297.47,35991.0
Los Ríos,14,La Unión,14201,2131.24,39538.0
Los Ríos,14,Futrono,14202,2090.51,15261.0
Los Ríos,14,Lago Ranco,14203,1763.14,10292.0
Los Ríos,14,Río Bueno,14204,2172.28,32925.0
Arica y Parinacota,15,Arica,15101,4799.66,247552.0
Arica y Parinacota,15,Camarones,15102,3922.22,1233.0
Arica y Parinacota,15,Putre,15201,5885.18,2515.0
Arica y Parinacota,15,General Lagos,15202,2257.22,810.0
Ñuble,16,Chillán,16101,477.58,198624.0
