"fecha";"region";"r.estimado";"r.liminf";"r.lisup"
"2020-08-08";7;1.07164074193638;0.933615867530356;1.20966561634241
"2020-08-09";7;1.02373741835436;0.898675868606105;1.14879896810262
"2020-08-10";7;1.01091705428182;0.887955154043706;1.13387895451993
"2020-08-11";7;1.03219976004217;0.894563610363579;1.16983590972076
"2020-08-12";7;1.03384395900625;0.886852929632775;1.18083498837972
"2020-08-13";7;1.00998595601056;0.863049992212712;1.15692191980841
"2020-08-14";7;0.962499300558976;0.81140668068213;1.11359192043582
"2020-08-15";7;0.96253855898521;0.813063772807024;1.1120133451634
"2020-08-16";7;0.983039418067002;0.844525892238698;1.12155294389531
"2020-08-17";7;0.988772816097031;0.851200022259063;1.126345609935
"2020-08-18";7;0.985155190404233;0.829768345931324;1.14054203487714
"2020-08-19";7;1.01202064258273;0.844001917819683;1.18003936734578
"2020-08-20";7;1.03686817527178;0.863149788783004;1.21058656176055
"2020-08-21";7;1.08431357206324;0.902337262427823;1.26628988169866
"2020-08-22";7;1.0910615785343;0.917255715236573;1.26486744183204
"2020-08-23";7;1.0862202441246;0.919857155814042;1.25258333243516
"2020-08-24";7;1.08778063910992;0.896746318637703;1.27881495958215
"2020-08-25";7;1.13120686850338;0.884523815883072;1.37788992112369
"2020-08-26";7;1.1598149207285;0.830312235097903;1.48931760635909
"2020-03-08";16;3.28858346352071;0;3.99
"2020-03-09";16;2.95771686153329;0;3.99
"2020-03-10";16;2.76041390286058;0;3.99
"2020-03-11";16;2.79819541124416;0;3.99
"2020-03-12";16;3.16960994049445;0;3.99
"2020-03-13";16;3.41188154557321;0.160477138925188;3.99
"2020-03-14";16;3.52502032015174;0.383511700956381;3.99
"2020-03-15";16;3.49023116056089;0.600169804094254;3.99
"2020-03-16";16;3.40269423877946;0.75059792178973;3.99
"2020-03-17";16;3.28579142807851;0.822731845801457;3.99
"2020-03-18";16;2.80117954221285;0.830368725246653;3.99
"2020-03-19";16;2.43588025979703;0.908346300943608;3.96341421865046
"2020-03-20";16;2.20693372037738;1.01461604421262;3.39925139654214
"2020-03-21";16;1.9344454505108;1.02196976675273;2.84692113426887
"2020-03-22";16;1.74038339211004;1.02536663537867;2.45540014884142
"2020-03-23";16;1.65107826527955;1.05549870745949;2.24665782309961
"2020-03-24";16;1.51976247652674;1.00093114153173;2.03859381152175
"2020-03-25";16;1.44949010177533;1.00399027477613;1.89498992877454
"2020-03-26";16;1.38437295938498;1.00185770458868;1.76688821418128
"2020-03-27";16;1.29589997134387;0.967986838659825;1.62381310402791
"2020-03-28";16;1.2190086569339;0.938957263301758;1.49906005056604
"2020-03-29";16;1.17098462847694;0.917442848765274;1.42452640818861
"2020-03-30";16;1.08105367513456;0.851399868077285;1.31070748219183
"2020-03-31";16;0.987366532067545;0.779403836579774;1.19532922755532
"2020-04-01";16;0.947325009710876;0.741525197426845;1.15312482199491
"2020-04-02";16;0.906606841472178;0.700053719963193;1.11315996298116
"2020-04-03";16;0.887246857300428;0.669738435810093;1.10475527879076
"2020-04-04";16;0.871423563484664;0.656990072300185;1.08585705466914
"2020-04-05";16;0.829076230267243;0.619925105500771;1.03822735503371
"2020-04-06";16;0.777094421578791;0.565621832942657;0.988567010214925
"2020-04-07";16;0.752972868931365;0.536602887322928;0.969342850539801
"2020-04-08";16;0.718687208337659;0.501613897450324;0.935760519224994
"2020-04-09";16;0.673259669484634;0.450330899351567;0.896188439617701
"2020-04-10";16;0.619833150353942;0.396788546474256;0.842877754233627
"2020-04-11";16;0.603547164424258;0.37297483824215;0.834119490606366
"2020-04-12";16;0.597316718519876;0.354630436355432;0.840003000684321
"2020-04-13";16;0.624450028041492;0.361355288951321;0.887544767131663
"2020-04-14";16;0.685448781788413;0.392965945286767;0.977931618290059
"2020-04-15";16;0.756440947047895;0.455687644077144;1.05719425001865
"2020-04-16";16;0.795844781993253;0.482921868474462;1.10876769551204
"2020-04-17";16;0.813864891513724;0.506001421333392;1.12172836169406
"2020-04-18";16;0.827089648505646;0.523117030438137;1.13106226657316
"2020-04-19";16;0.856264939121558;0.548910736220713;1.1636191420224
"2020-04-20";16;0.861994917919274;0.553924514936819;1.17006532090173
"2020-04-21";16;0.841615185978818;0.527847703060803;1.15538266889683
"2020-04-22";16;0.761690675941254;0.454552543660061;1.06882880822245
"2020-04-23";16;0.759681737418456;0.43918014001881;1.0801833348181
"2020-04-24";16;0.784958841022306;0.454471855726909;1.1154458263177
"2020-04-25";16;0.812590451276657;0.471144406288737;1.15403649626458
"2020-04-26";16;0.793401073381634;0.454697712288515;1.13210443447475
"2020-04-27";16;0.787540738028683;0.449077883532937;1.12600359252443
"2020-04-28";16;0.787446524008064;0.446117324145081;1.12877572387105
"2020-04-29";16;0.808479558128719;0.446480932064;1.17047818419344
"2020-04-30";16;0.848648825861865;0.455231946132175;1.24206570559156
"2020-05-01";16;0.883925095490831;0.482221683542469;1.28562850743919
"2020-05-02";16;0.943415445208238;0.522339698147807;1.36449119226867
"2020-05-03";16;0.987803214971064;0.550307364596633;1.4252990653455
"2020-05-04";16;1.04782337928782;0.603523644928312;1.49212311364732
"2020-05-05";16;1.16900620759384;0.695310689604658;1.64270172558302
"2020-05-06";16;1.30330457038714;0.783723643967764;1.82288549680652
"2020-05-07";16;1.40114594023542;0.845802298736676;1.95648958173417
"2020-05-08";16;1.45594131899314;0.885956450628947;2.02592618735733
"2020-05-09";16;1.45748119727304;0.91135937528698;2.0036030192591
"2020-05-10";16;1.54098856334119;0.994188965576759;2.08778816110563
"2020-05-11";16;1.60705660575486;1.05605389424722;2.1580593172625
"2020-05-12";16;1.70475444209437;1.12115224660626;2.28835663758247
"2020-05-13";16;1.63968333338641;1.05671141209643;2.22265525467639
"2020-05-14";16;1.6073626149069;1.05277107135793;2.16195415845586
"2020-05-15";16;1.59345772761512;1.06760036792614;2.1193150873041
"2020-05-16";16;1.53129290863378;1.05253782201861;2.01004799524895
"2020-05-17";16;1.43965529868797;1.01330758274408;1.86600301463186
"2020-05-18";16;1.3499793961643;0.971958315015163;1.72800047731343
"2020-05-19";16;1.22503679195099;0.892200624696431;1.55787295920554
"2020-05-20";16;1.20959948039219;0.910705560132059;1.50849340065232
"2020-05-21";16;1.13176968832739;0.862995395572324;1.40054398108246
"2020-05-22";16;1.03735150765349;0.786943466865663;1.28775954844133
"2020-05-23";16;1.024114301229;0.782945482970453;1.26528311948754
"2020-05-24";16;1.05299437101716;0.810748879100778;1.29523986293355
"2020-05-25";16;1.11271622378383;0.869769696811026;1.35566275075662
"2020-05-26";16;1.1541387111944;0.905516472993826;1.40276094939497
