Fecha,Servicio salud,Codigo region,Region,Camas ocupadas intensivo,Camas totales intensivo,Camas ocupadas intermedio,Camas totales intermedio,Vmi covid19 confirmados,Vmi covid19 sospechosos,Vmi ocupados,Vmi totales
2020-04-18,SS COQUIMBO,4,Coquimbo,22,36,15.0,29,0,0,18,43
2020-04-18,SS DEL MAULE,7,Maule,27,51,21.0,48,10,2,15,58
2020-04-18,SS DEL RELONCAVÍ,10,Los Lagos,26,29,48.0,55,9,0,20,31
2020-04-18,SS IQUIQUE,1,Tarapacá,5,14,6.0,12,1,0,4,11
2020-04-18,SS LIBERTADOR B. O'HIGGINS,6,O’Higgins,29,67,47.0,76,4,2,35,77
2020-04-18,SS MAGALLANES,12,Magallanes,32,39,6.0,6,19,2,20,31
2020-04-18,SS METROPOLITANO CENTRAL,13,Metropolitana,114,145,101.0,156,43,4,80,197
2020-04-18,SS METROPOLITANO NORTE,13,Metropolitana,80,154,127.0,183,24,1,62,162
2020-04-18,SS METROPOLITANO OCCIDENTE,13,Metropolitana,50,64,64.0,70,20,1,43,78
2020-04-18,SS METROPOLITANO ORIENTE,13,Metropolitana,98,217,201.0,335,48,1,63,260
2020-04-18,SS METROPOLITANO SUR,13,Metropolitana,45,61,88.0,109,20,3,44,66
2020-04-18,SS METROPOLITANO SUR ORIENTE,13,Metropolitana,82,88,66.0,78,32,5,62,49
2020-04-18,SS ÑUBLE,16,Ñuble,14,27,7.0,11,12,0,14,43
2020-04-18,SS OSORNO,10,Los Lagos,24,30,2.0,7,18,0,22,29
2020-04-18,SS TALCAHUANO,8,Bíobío,21,34,21.0,42,6,1,15,33
2020-04-18,SS VALDIVIA,14,Los Ríos,16,23,9.0,14,5,0,13,17
2020-04-18,SS VALPARAISO SAN ANTONIO,5,Valparaíso,29,33,32.0,41,4,1,19,34
2020-04-18,SS VIÑA DEL MAR QUILLOTA,5,Valparaíso,72,110,52.0,61,10,1,33,108
2020-04-19,SS ACONGAGUA,5,Valparaíso,7,16,4.0,17,0,0,4,16
2020-04-19,SS AISÉN,11,Aysén,1,8,0.0,6,0,0,1,17
2020-04-19,SS ANTOFAGASTA,2,Antofagasta,36,47,34.0,46,7,0,32,53
2020-04-19,SS ARAUCANÍA NORTE,9,Araucanía,5,7,0.0,6,3,1,5,14
2020-04-19,SS ARAUCANÍA SUR,9,Araucanía,54,79,21.0,33,35,0,42,78
2020-04-19,SS ARAUCO,8,Bíobío,0,0,4.0,4,0,0,0,0
2020-04-19,SS ARICA,15,Arica y Parinacota,10,17,9.0,12,4,2,10,15
2020-04-19,SS ATACAMA,3,Atacama,6,14,8.0,18,1,0,5,25
2020-04-19,SS BÍO BÍO,8,Bíobío,17,28,13.0,42,2,1,13,54
2020-04-19,SS CHILOÉ,10,Los Lagos,7,8,0.0,0,1,0,7,8
2020-04-19,SS CONCEPCIÓN,8,Bíobío,29,62,15.0,37,10,1,21,65
2020-04-19,SS COQUIMBO,4,Coquimbo,22,36,20.0,29,0,0,15,38
2020-04-19,SS DEL MAULE,7,Maule,30,51,18.0,48,9,1,21,58
2020-04-19,SS DEL RELONCAVÍ,10,Los Lagos,22,29,44.0,61,9,0,16,31
2020-04-19,SS IQUIQUE,1,Tarapacá,4,14,6.0,12,1,0,2,11
2020-04-19,SS LIBERTADOR B. O'HIGGINS,6,O’Higgins,41,67,52.0,76,4,3,30,77
2020-04-19,SS MAGALLANES,12,Magallanes,34,39,6.0,6,19,2,23,31
2020-04-19,SS METROPOLITANO CENTRAL,13,Metropolitana,112,145,91.0,156,45,6,83,197
2020-04-19,SS METROPOLITANO NORTE,13,Metropolitana,83,154,131.0,183,23,2,59,162
