Nombre de estacion,Independencia,La_Florida,Las_Condes,Santiago,Pudahuel,Cerrillos,El_Bosque,Cerro_Navia,Puente_Alto,Talagante,Quilicura,Talca_La_Florida,Padre_Las_Casas_II,Coyhaique_II,Valdivia
Region,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Maule,Araucanía,Aysén,Los Ríos
Codigo region,13,13,13,13,13,13,13,13,13,13,13,7,9,11,14
Comuna,Independencia,La Florida,Las Condes,Santiago,Pudahuel,Cerrillos,El Bosque,Cerro Navia,Puente Alto,Talagante,Quilicura,Talca,Padre las Casas,Coyhaique,Valdivia
Codigo comuna,13108,13110,13114,13101,13124,13102,13105,13103,13201,13601,13125,7101,9112,11101,14101
2016-12-12 21:00:00,24.2966995239258,22.6732997894287,17.8474998474121,13.8199996948242,25.6392002105713,13.4350004196167,16.5566997528076,16.7600002288818,10.2807998657227,1.16166996955872,,6.44048976898193,4.32541990280151,4.92425012588501,7.36157989501953
2016-12-12 22:00:00,24.5632991790771,23.5067005157471,16.8575000762939,16.5632991790771,25.5550003051758,15.0600004196167,21.2234001159668,16.6774997711182,20.073299407959,2.94000005722046,,1.91812002658844,5.07275009155273,2.51108002662659,12.7871999740601
2016-12-12 23:00:00,22.2532997131348,22.5067005157471,17.7649993896484,20.823299407959,28.9216995239258,16.1849994659424,24.4734001159668,18.5750007629395,24.3682994842529,2.14832997322083,,1,4.80999994277954,2.56699991226196,8.87508010864258
2016-12-13 00:00:00,20.625,20.0067005157471,14.7950000762939,22.4066009521484,26.7332992553711,15.2683000564575,21.5566997528076,17.6474990844727,20.6807994842529,1.99000000953674,,1,2.9522500038147,1,7.04917001724243
2016-12-13 01:00:00,19.6424999237061,16.4232997894287,13.5574998855591,21.9899997711182,17.8117008209229,11.0600004196167,20.4734001159668,9.0024995803833,17.1117000579834,6.58166980743408,,1,3.62107992172241,1,3.92350006103516
2016-12-13 02:00:00,18.3311004638672,14.4511003494263,12.210000038147,21.823299407959,17.0821990966797,10.6155996322632,8.67333984375,8.0600004196167,11.7449998855591,9.17500019073486,,1,4.0860800743103,1,2.27332997322083
2016-12-13 03:00:00,16.2999992370605,13.8956003189087,10.2299995422363,18.0454998016357,11.9200000762939,16.3377990722656,7.74000978469849,6.07999992370605,12.2491998672485,8.36666965484619,,1,4.0863299369812,1,2.37350010871887
2016-12-13 04:00:00,16.698299407959,13.9232997894287,9.92751026153564,17.9066009521484,15.8758001327515,18.1016998291016,15.1066999435425,5.0625,12.2150001525879,8.94250011444092,,1,3.49217009544373,1.33724999427795,1.70667004585266
2016-12-13 05:00:00,20.7849998474121,15.8400001525879,12.5675001144409,21.7399997711182,28.5007991790771,22.3099994659424,21.0566997528076,16.0674991607666,14.3424997329712,8.48917007446289,,2.28628993034363,4.52042007446289,5.50675010681152,2.72967004776001
2016-12-13 06:00:00,27.0249996185303,25.0067005157471,15.3725004196167,26.7399997711182,32.9617004394531,23.2266998291016,21.3899993896484,21.8549995422363,20.0816993713379,10.1517000198364,,2.25863003730774,8.08082962036133,3.16942000389099,4.81333017349243
