Nombre de estacion,Independencia,La_Florida,Las_Condes,Santiago,Pudahuel,Cerrillos,El_Bosque,Cerro_Navia,Puente_Alto,Talagante,Quilicura,San_Fernando,Talca_La_Florida,Los_Andes,Coyhaique_II
Region,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,O’Higgins,Maule,Valparaíso,Aysén
Codigo region,13,13,13,13,13,13,13,13,13,13,13,6,7,5,11
Comuna,Independencia,La Florida,Las Condes,Santiago,Pudahuel,Cerrillos,El Bosque,Cerro Navia,Puente Alto,Talagante,Quilicura,San Fernando,Talca,Los Andes,Coyhaique
Codigo comuna,13108,13110,13114,13101,13124,13102,13105,13103,13201,13601,13125,6301,7101,5301,11101
2019-05-25 01:00:00,1.0441700220108,9.29833984375,1.18833005428314,2.81750011444092,9.47999954223633,,,1.01750004291534,3.32500004768372,1,,1.21432995796204,1,3.06308007240295,17.7621994018555
2019-05-25 02:00:00,1,9.135009765625,1,2.55999994277954,9.39748954772949,,,1.05250000953674,2.64499998092651,1,,1.14064002037048,1,3.49467992782593,20.2068996429443
2019-05-25 03:00:00,1,9.29833984375,1,2.55999994277954,9.47999954223633,,,1.04666996002197,2.55999994277954,1.0533299446106,,1.08171999454498,1,6.12454986572266,21.5097999572754
2019-05-25 04:00:00,1,8.72667026519775,1.04666996002197,2.6744499206543,9.25998973846436,,,1,2.55999994277954,1,,1,1,12.6129999160767,22.0790004730225
2019-05-25 05:00:00,1.11777997016907,9.16222953796387,1.04666996002197,3.13222002983093,9.36999988555908,,,1.07000005245209,2.33333992958069,1,,1.04733002185822,1,14.4996004104614,22.5226001739502
2019-05-25 06:00:00,1,9.29833984375,1,2.81750011444092,9.47999954223633,,,1.02332997322083,2.55999994277954,1,,1.10958003997803,1,15.5143003463745,21.9696006774902
2019-05-25 07:00:00,1,9.461669921875,22.7534008026123,2.64583992958069,9.47999954223633,,,1.0349999666214,2.39000010490417,1,,1.07097005844116,1,18.1501998901367,21.7311992645264
2019-05-25 08:00:00,1,9.135009765625,24.1700000762939,2.81750011444092,9.39748954772949,,,1.00583004951477,3.32500004768372,2.038330078125,,1.08030998706818,1,23.8421001434326,21.3460998535156
2019-05-25 09:00:00,1,8.89000034332275,4.68333005905151,2.64583992958069,9.47999954223633,,,1.01750004291534,2.98499989509583,10.2299995422363,,1.4573700428009,,26.0580005645752,20.8379993438721
2019-05-25 10:00:00,1.08833003044128,11.6667003631592,10.6700000762939,4.96332979202271,12.8625001907349,,,4.65333986282349,6.98000001907349,18.2325000762939,,6.37448978424072,,35.4768981933594,21.2409000396729
2019-05-25 11:00:00,4.19666004180908,16.5666999816895,4.086669921875,13.7182998657227,18.0599994659424,,,10.3199996948242,15.3100004196167,19.7999992370605,,10.6159000396729,1.96983003616333,27.7733001708984,20.9092998504639
2019-05-25 12:00:00,7.69666004180908,25.2233009338379,15.1700000762939,17.5807991027832,25.4850006103516,,,15.7367000579834,22.1949996948242,23.3474998474121,,16.8521003723145,10.7799997329712,30.9375991821289,20.4461002349854
2019-05-25 13:00:00,11.0299997329712,28.9799995422363,23.5034008026123,23.846700668335,29.5275001525879,,,21.5699996948242,28.4850006103516,27.7199993133545,,18.3050003051758,16.1219005584717,31.9354991912842,20.3740005493164
2019-05-25 14:00:00,12.6967000961304,31.5116996765137,20.3367004394531,26.4216995239258,31.8374996185303,,,22.5699996948242,30.8649997711182,27.7199993133545,,28.5226001739502,18.3868999481201,31.2987995147705,20.7616996765137
2019-05-25 15:00:00,16.7800006866455,31.2667007446289,21.8367004394531,28.653299331665,33.4049987792969,,,25.3199996948242,30.8649997711182,28.0499992370605,,28.2397003173828,20.7231006622314,29.2029991149902,20.8736000061035
2019-05-25 16:00:00,14.4467000961304,30.7766990661621,22.7534008026123,28.0524997711182,31.3425006866455,,,23.4034004211426,28.9099998474121,27.8024997711182,,21.6347007751465,17.9167003631592,30.7385005950928,14.8069000244141
2019-05-25 17:00:00,10.6133003234863,26.0400009155273,22.4200000762939,26.0783004760742,29.8575000762939,,,20.7367000579834,24.6599998474121,24.3374996185303,,17.486400604248,10.391300201416,29.6523990631104,16.967399597168
2019-05-25 18:00:00,6.03000020980835,21.5482997894287,18.2534008026123,21.2716999053955,17.1525001525879,,,8.23666000366211,13.2700004577637,16.0874996185303,,8.31377029418945,4.06261014938354,29.3323001861572,16.5764007568359
2019-05-25 19:00:00,6.53000020980835,23.50830078125,18.9200000762939,17.5807991027832,11.2124996185303,,,3.15333008766174,12.5050001144409,14.602499961853,,2.26907992362976,1.38928997516632,30.7241992950439,12.9840002059937
2019-05-25 20:00:00,7.19666004180908,23.2632999420166,16.8367004394531,20.24169921875,10.4700002670288,,,2.65333008766174,18.2849998474121,14.7674999237061,,4.44451999664307,2.4591600894928,26.6578006744385,12.1866998672485
2019-05-25 21:00:00,3.52999997138977,20.4867000579834,16.2534008026123,8.22500991821289,9.5625,,,3.15333008766174,15.9899997711182,13.7775001525879,,9.5503396987915,1.59562003612518,18.4416999816895,12.9874000549316
2019-05-25 22:00:00,3.52999997138977,12.9732999801636,12.6700000762939,2.38833999633789,9.47999954223633,,,1.02917003631592,3.41000008583069,12.4575004577637,,4.06665992736816,1,8.52534008026123,15.9334001541138
2019-05-25 23:00:00,1.25999999046326,8.56332015991211,1.35500001907349,2.38833999633789,9.47999954223633,,,1.07000005245209,2.73000001907349,9.5700101852417,,1.13006997108459,1.1295200586319,7.95389986038208,17.8962993621826
2019-05-26 00:00:00,5.51999998092651,9.29833984375,1.29332995414734,2.55999994277954,9.3149995803833,,,1.01750004291534,2.55999994277954,8.08500957489014,,2.08269000053406,1.03157997131348,9.01640033721924,14.543999671936
2019-05-26 01:00:00,2.81416988372803,8.39999008178711,7.50333023071289,2.55999994277954,9.14999008178711,,,1,2.13499999046326,4.04250001907349,,1.31999003887177,1.01040995121002,7.03209018707275,18.976900100708
2019-05-26 02:00:00,3.64750003814697,8.39999008178711,12.8367004394531,2.55999994277954,9.39748954772949,,,1.01166999340057,2.55999994277954,5.19750022888184,,1.93593001365662,1,8.26747035980225,11.9645004272461
2019-05-26 03:00:00,7.19666004180908,8.39999008178711,9.75333023071289,2.38833999633789,9.47999954223633,,,1.0349999666214,2.13499999046326,1.38083004951477,,1.00662004947662,1.02717995643616,18.7936992645264,10.0398998260498
2019-05-26 04:00:00,2.40556001663208,8.39999008178711,8.86443996429443,2.33111000061035,9.47999954223633,,,1,3.12666988372803,1.29111003875732,,1,1,11.4469995498657,15.3872003555298
2019-05-26 05:00:00,1,8.72667026519775,4.30888986587524,2.55999994277954,9.47999954223633,,,1.03111004829407,2.4466700553894,1,,1.28787004947662,1,9.76284980773926,15.9496002197266
2019-05-26 06:00:00,1,8.39999008178711,1.30666995048523,2.55999994277954,9.47999954223633,,,1.00583004951477,2.81500005722046,1,,1.71967995166779,1,7.87788009643555,15.0791997909546
2019-05-26 07:00:00,1,8.39999008178711,2.56500005722046,2.47416996955872,9.47999954223633,,,1.01166999340057,6.6399998664856,1,,1.00252997875214,1,5.6899299621582,13.6567001342773
2019-05-26 08:00:00,1,8.48165988922119,2.086669921875,2.55999994277954,9.47999954223633,,,1.02917003631592,6.38500022888184,1,,1.68250000476837,1.40622997283936,4.12349987030029,14.0494003295898
2019-05-26 09:00:00,4.65250015258789,10.4416999816895,5.75333023071289,4.19083023071289,9.89249992370605,,,1.6416699886322,10.2950000762939,3.22000002861023,,2.61913990974426,2.76965999603271,10.1171998977661,14.2250003814697
2019-05-26 10:00:00,11.6967000961304,20.9766998291016,13.3367004394531,11.4007997512817,17.2350006103516,,,12.3199996948242,22.3649997711182,7.01249980926514,,8.35993957519531,2.70565009117126,21.9965991973877,17.7486991882324
2019-05-26 11:00:00,16.0300006866455,27.5100002288818,20.5867004394531,15.6925001144409,20.1224994659424,,,18.3199996948242,28.0599994659424,12.9525003433228,,15.9107999801636,4.78705978393555,24.0109004974365,17.8691005706787
