Nombre de estacion,Independencia,La_Florida,Las_Condes,Santiago,Pudahuel,Cerrillos,El_Bosque,Cerro_Navia,Puente_Alto,Talagante,Quilicura,Antofagasta,Copiapó,Andacollo,Cuncumén,Viña_del_Mar,Rancagua_I,Rancagua_II,Rengo,San_Fernando,Curicó,Talca_La_Florida,UC_Maule,U_Talca,M_Ferroviario,Nielol,Las_Encinas,Padre_las_Casas,Valdivia,Osorno,Coyhaique_I,Coyhaique_II
Region,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Antofagasta,Atacama,Coquimbo,Coquimbo,Valparaíso,O’Higgins,O’Higgins,O’Higgins,O’Higgins,Maule,Maule,Maule,Maule,Araucanía,Araucanía,Araucanía,Araucanía,Los Ríos,Los Lagos,Aysén,Aysén
Codigo region,13,13,13,13,13,13,13,13,13,13,13,2,3,4,4,5,6,6,6,6,7,7,7,7,9,9,9,9,14,10,11,11
Comuna,Independencia,La Florida,Las Condes,Santiago,Pudahuel,Cerrillos,El Bosque,Cerro Navia,Puente Alto,Talagante,Quilicura,Antofagasta,Copiapo,Andacollo,Salamanca,Vina del mar,Rancagua,Rancagua,Rengo,San Fernando,Curico,Talca,Talca,Talca,Temuco,Temuco,Temuco,Padre las Casas,Valdivia,Osorno,Coyhaique,Coyhaique
Codigo comuna,13108,13110,13114,13101,13124,13102,13105,13103,13201,13601,13125,2101,3101,4103,4204,5109,6101,6101,6115,6301,7301,7101,7101,7101,9101,9101,9101,9112,14101,10301,11101,11101
2017-09-17 20:00:00,67,86,57,61,59,51,62,,95,36,91,30,17.1825008392334,49.3549995422363,18,33.9300003051758,77.3000030517578,57.6291999816895,52,55.74169921875,37.8250007629395,27.8600006103516,66.4199981689453,35,,28.4899997711182,33.1100006103516,49.2200012207031,97.8000030517578,313.799987792969,52.189998626709,68.3600006103516
2017-09-17 21:00:00,58,86,60,44,59,54,85,,112,39,75,31,17.385799407959,56.4258003234863,16,36.6399993896484,79.6901016235352,49.1907997131348,51,48.3624992370605,35.3175010681152,24.2199993133545,63.5499992370605,39.9700012207031,,35.6100006103516,38.560001373291,67.9800033569336,286.700012207031,305.200012207031,41.0200004577637,94.1999969482422
2017-09-17 22:00:00,85,80,66,51,56,53,98,,123,40,81,32,28.4741992950439,69.2782974243164,23,42.0800018310547,113.5,63.2383003234863,49,46.0666999816895,37.00830078125,22.3099994659424,49.689998626709,39.9900016784668,,29.3600006103516,32.6100006103516,40.5400009155273,385.200012207031,624.799987792969,72.1999969482422,67.3300018310547
2017-09-17 23:00:00,87,80,66,53,66,64,85,,148,34,74,31,38.4991989135742,72.3992004394531,19,31.0100002288818,48.8499984741211,50.1041984558105,47,41.3008003234863,28.1291999816895,20.9500007629395,40.6300010681152,30,,27.75,22.2099990844727,25.2000007629395,54.5200004577637,214.699996948242,36.9599990844727,62.7599983215332
2017-09-18 00:00:00,110,102,56,56,50,48,122,,154,26,75,28,30.9582996368408,74.2482986450195,22,36.6399993896484,51.9099998474121,43.5,38,33.3791999816895,24.9741992950439,19.4500007629395,29.5300006866455,26.4400005340576,,16.9599990844727,20.8500003814697,17.7199993133545,80.0999984741211,228.399993896484,68.1500015258789,64.1600036621094
2017-09-18 01:00:00,93,90,48,41,32,36,114,,130,28,44,30,7.8824200630188,70.121696472168,19,40.060001373291,59.6800003051758,56.2625007629395,26,32.6199989318848,28.7042007446289,22.75,25.5900001525879,25.7999992370605,,12.4700002670288,15.4099998474121,8.19999980926514,70.4100036621094,291.700012207031,74.9300994873047,56.1300010681152
2017-09-18 02:00:00,88,76,47,38,26,29,79,,89,28,47,34,8.15367031097412,58.7882995605469,24,38.0099983215332,70.5299987792969,66.0766983032227,25,26.903299331665,22.278299331665,16.8400001525879,28.5599994659424,21.0100002288818,,13.5100002288818,16.7700004577637,9.52000045776367,81.0999984741211,180.100006103516,73.5899963378906,49.3199996948242
2017-09-18 03:00:00,105,62,34,39,26,27,117,,84,27,51,32,12.2890996932983,41.6567001342773,33,25.8700008392334,67.6500015258789,58.0416984558105,20,13.5174999237061,12.6301002502441,11.3400001525879,22.4699993133545,21.0100002288818,,13.8500003814697,11.3199996948242,9.47000026702881,88.3000030517578,16.3299999237061,42.4000015258789,32.2299995422363
2017-09-18 04:00:00,86,72,32,47,32,25,51,,76,26,28,43,12.414999961853,25.1483001708984,26,25.8799991607666,67.8199005126953,38.5424995422363,18.0100002288818,14.125,7.75899982452393,11.3699998855591,19.8700008392334,15.5900001525879,,8.86100959777832,12.4499998092651,8.84000015258789,48.5400009155273,16.5100002288818,32.9099998474121,24.6700000762939
2017-09-18 05:00:00,45,67,33,32,31,24,21,,58,15,55,44,19.0991992950439,22.0583000183105,26,26.7999992370605,69.1699981689453,42.689998626709,25,13.1400003433228,11.1639995574951,25.0699996948242,16.4300003051758,15.5900001525879,,7.82000017166138,11.3199996948242,9.52000045776367,46.1800003051758,18.7700004577637,19.3500003814697,24.8899993896484
