date,New case,Kasus Impor,Kasus Lokal,Total cases,Active case,% of active cases,"Recovered
(new)",total_recup,Recovery rate (all cases),Recovery Rate (closed cases),"Death
(new)",total_obito,Death Rate (all cases),Death Rate (closed cases),PDP,ODP,Suspect,Number of samples examined (from April 1),Number of people examined,Negative,"Positive
(=C)",In process,Specimens,The person being tested,Number of tests / million population,Test / Positive,Number of people tested / positive,Daily Test / Positive Amount,Positive / Number of Tests,Daily positive rate,Case Growth Rate,,Closure Policy,Susceptible Population,True UnHos Infected,Hospitalizados,Unhospitalized Infected,Current Infected,True Infection Rate,Measured Infection Rate,Hospitalization Rate,Ventilators,GDP
10-Jul,1611.00,,,72347.00,35349.00,48.86%,878,"33,529",46.34%,90.62%,52,"3,469",4.79%,9.38%,13882.00,38705.00,"52,587",1015678.00,597468.00,525121.00,72347.00,0,23609.00,9388.00,"2,213",14.04,8.26,5.83,12.11%,17.16%,2.28%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
11-Jul,1671.00,,,74018.00,35764.00,48.32%,"1,190","34,719",46.91%,90.76%,66,"3,535",4.78%,9.24%,13752.00,34887.00,"48,639",1038988.00,610093.00,536075.00,74018.00,0,23310.00,12625.00,"2,260",14.04,8.24,7.56,12.13%,13.24%,2.31%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
12-Jul,1681.00,,,75699.00,36455.00,48.16%,919,"35,638",47.08%,90.81%,71,"3,606",4.76%,9.19%,14515.00,34486.00,"49,001",1061367.00,621087.00,545388.00,75699.00,0,22379.00,10994.00,"2,300",14.02,8.2,6.54,12.19%,15.29%,2.27%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
13-Jul,1282.00,,,76981.00,36636.00,47.59%,"1,051","36,689",47.66%,90.94%,50,"3,656",4.75%,9.06%,13439.00,33504.00,"46,943",1074467.00,630149.00,553168.00,76981.00,0,13100.00,9062.00,"2,334",13.96,8.19,7.07,12.22%,14.15%,1.69%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
14-Jul,1591.00,,,78572.00,37226.00,47.38%,947,"37,636",47.90%,91.03%,54,"3,710",4.72%,8.97%,,,"46,701",1097468.00,642164.00,563592.00,78572.00,0,23001.00,12015.00,"2,378",13.97,8.17,7.55,12.24%,13.24%,2.07%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
15-Jul,1522.00,,,80094.00,37247.00,46.50%,"1,414","39,050",48.76%,91.14%,87,"3,797",4.74%,8.86%,,,"47,859",1122339.00,657655.00,577561.00,80094.00,0,24871.00,15491.00,"2,436",14.01,8.21,10.18,12.18%,9.83%,1.94%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
16-Jul,1574.00,,,81668.00,37450.00,45.86%,"1,295","40,345",49.40%,91.24%,76,"3,873",4.74%,8.76%,,,"46,727",1146286.00,669811.00,588143.00,81668.00,0,23947.00,12156.00,"2,481",14.04,8.2,7.72,12.19%,12.95%,1.97%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
17-Jul,1462.00,,,83130.00,37339.00,44.92%,"1,489","41,834",50.32%,91.36%,84,"3,957",4.76%,8.64%,,,"46,493",1175462.00,683805.00,600675.00,83130.00,0,29176.00,13994.00,"2,533",14.14,8.23,9.57,12.16%,10.45%,1.79%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
18-Jul,1752.00,,,84882.00,37598.00,44.29%,"1,434","43,268",50.97%,91.51%,59,"4,016",4.73%,8.49%,,,"37,593",1201014.00,697043.00,612161.00,84882.00,0,25552.00,13238.00,"2,582",14.15,8.21,7.56,12.18%,13.23%,2.11%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
19-Jul,1639.00,,,86521.00,36977.00,42.74%,"2,133","45,401",52.47%,91.64%,127,"4,143",4.79%,8.36%,,,"37,505",1221518.00,707238.00,620717.00,86521.00,0,20504.00,10195.00,"2,619",14.12,8.17,6.22,12.23%,16.08%,1.93%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
20-Jul,1693.00,,,88214.00,36998.00,41.94%,"1,576","46,977",53.25%,91.72%,96,"4,239",4.81%,8.28%,,,"36,380",1235545.00,720497.00,632283.00,88214.00,0,14027.00,13259.00,"2,669",14.01,8.17,7.83,12.24%,12.77%,1.96%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
21-Jul,1655.00,,,89869.00,37083.00,41.26%,"1,489","48,466",53.93%,91.82%,81,"4,320",4.81%,8.18%,,,"44,003",1257807.00,737844.00,647975.00,89869.00,0,22262.00,17347.00,"2,733",14,8.21,10.48,12.18%,9.54%,1.88%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
22-Jul,1882.00,,,91751.00,37037.00,40.37%,"1,789","50,255",54.77%,91.85%,139,"4,459",4.86%,8.15%,,,"44,222",1283109.00,749626.00,657875.00,91751.00,0,25302.00,11782.00,"2,776",13.98,8.17,6.26,12.24%,15.97%,2.09%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
23-Jul,1906.00,,,93657.00,36917.00,39.42%,"1,909","52,164",55.70%,91.94%,117,"4,576",4.89%,8.06%,,,"47,756",1310924.00,762957.00,669300.00,93657.00,0,27815.00,13331.00,"2,826",14,8.15,6.99,12.28%,14.30%,2.08%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
