Region,Codigo region,Comuna,Codigo comuna,Poblacion,SE7,SE8,SE9,SE10,SE11,SE12,SE13,SE14,SE15,SE16,SE17,SE18,SE19,SE20,SE21,SE22,SE23,SE24,SE25,SE26,SE27,SE28,SE29,SE30,SE31,SE32,SE33,SE34
Valparaiso,05,La Cruz,05504,25321.0,0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,0.0,1.0,8.0,7.0,4.0,5.0,14.0,16.0,11.0,13.0,25.0,17.0,22.0,30.0,38.0,22.0,15.0,19.0,4.0
Valparaiso,05,La Ligua,05401,37739.0,0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,10.0,17.0,27.0,34.0,51.0,31.0,44.0,48.0,48.0,52.0,66.0,53.0,57.0,55.0,14.0
Valparaiso,05,Limache,05802,49931.0,0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,9.0,6.0,1.0,7.0,25.0,33.0,25.0,36.0,86.0,100.0,105.0,88.0,94.0,64.0,58.0,44.0,51.0,89.0,36.0,12.0
Valparaiso,05,Llaillay,05703,26533.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,5.0,31.0,23.0,26.0,33.0,22.0,34.0,28.0,31.0,49.0,22.0,25.0,24.0,30.0,4.0,4.0
Valparaiso,05,Los Andes,05301,68093.0,0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,4.0,0.0,2.0,9.0,21.0,57.0,85.0,95.0,142.0,111.0,109.0,99.0,88.0,64.0,66.0,52.0,26.0,33.0,9.0,5.0
Valparaiso,05,Nogales,05506,23490.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,6.0,7.0,9.0,16.0,19.0,16.0,21.0,21.0,39.0,33.0,27.0,40.0,27.0,10.0
Valparaiso,05,Olmue,05803,19266.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,5.0,11.0,7.0,15.0,22.0,15.0,10.0,21.0,17.0,19.0,16.0,19.0,29.0,25.0,5.0
Valparaiso,05,Panquehue,05704,7633.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,6.0,4.0,11.0,5.0,10.0,8.0,9.0,17.0,23.0,10.0,0.0,2.0,2.0,0.0
Valparaiso,05,Papudo,05403,6201.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,4.0,13.0,13.0,14.0,9.0,6.0,6.0,4.0,3.0,8.0,10.0,6.0,8.0,0.0
Valparaiso,05,Petorca,05404,10558.0,0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,9.0,4.0,5.0,13.0,10.0,10.0,8.0,9.0,10.0,16.0,10.0,9.0,2.0
Valparaiso,05,Puchuncavi,05105,20071.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,6.0,8.0,29.0,25.0,24.0,18.0,14.0,11.0,6.0,9.0,10.0,10.0,9.0,2.0
Valparaiso,05,Putaendo,05705,17645.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,2.0,7.0,7.0,7.0,15.0,30.0,27.0,28.0,26.0,21.0,18.0,6.0,17.0,14.0,8.0,7.0,1.0
Valparaiso,05,Quillota,05501,97572.0,0,0.0,0.0,1.0,0.0,3.0,7.0,3.0,8.0,1.0,5.0,3.0,19.0,22.0,47.0,78.0,197.0,193.0,211.0,204.0,220.0,144.0,117.0,125.0,112.0,113.0,106.0,20.0
Valparaiso,05,Quilpue,05801,167085.0,0,0.0,0.0,1.0,3.0,5.0,9.0,6.0,4.0,6.0,12.0,19.0,46.0,78.0,79.0,110.0,158.0,157.0,224.0,180.0,202.0,145.0,116.0,91.0,87.0,137.0,88.0,13.0
Valparaiso,05,Quintero,05107,36135.0,0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,6.0,2.0,4.0,24.0,23.0,29.0,45.0,53.0,40.0,45.0,41.0,24.0,36.0,36.0,23.0,11.0,9.0,8.0,2.0
Valparaiso,05,Rinconada,05303,11263.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,15.0,18.0,15.0,19.0,20.0,20.0,15.0,14.0,13.0,11.0,8.0,0.0,1.0,1.0,0.0
Valparaiso,05,San Antonio,05601,96761.0,0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,11.0,22.0,37.0,71.0,61.0,101.0,94.0,138.0,145.0,120.0,92.0,92.0,82.0,61.0,75.0,57.0,54.0,45.0,77.0,10.0
Valparaiso,05,San Esteban,05304,20643.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,7.0,4.0,11.0,16.0,28.0,18.0,18.0,28.0,26.0,27.0,17.0,11.0,11.0,7.0,8.0,0.0
Valparaiso,05,San Felipe,05701,83494.0,0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,1.0,2.0,6.0,18.0,60.0,70.0,117.0,182.0,175.0,108.0,135.0,85.0,60.0,40.0,21.0,75.0,99.0,45.0,12.0
Valparaiso,05,Santa Maria,05706,16367.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,15.0,3.0,5.0,8.0,13.0,18.0,30.0,32.0,23.0,28.0,18.0,17.0,10.0,23.0,8.0,9.0,2.0
Valparaiso,05,Santo Domingo,05606,11934.0,0,0.0,0.0,0.0,2.0,1.0,1.0,5.0,4.0,4.0,4.0,5.0,4.0,11.0,7.0,9.0,33.0,21.0,10.0,10.0,7.0,5.0,2.0,1.0,3.0,0.0,6.0,3.0
Valparaiso,05,Valparaiso,05101,315732.0,0,0.0,0.0,1.0,2.0,11.0,15.0,13.0,21.0,17.0,26.0,84.0,119.0,151.0,235.0,315.0,495.0,547.0,505.0,377.0,323.0,339.0,322.0,306.0,322.0,300.0,251.0,40.0
Valparaiso,05,Villa Alemana,05804,139310.0,0,0.0,0.0,0.0,1.0,7.0,4.0,3.0,0.0,1.0,5.0,32.0,41.0,51.0,74.0,125.0,190.0,186.0,212.0,139.0,172.0,129.0,98.0,98.0,104.0,115.0,97.0,24.0
Valparaiso,05,Vina del Mar,05109,361371.0,0,0.0,1.0,0.0,5.0,23.0,28.0,23.0,13.0,21.0,25.0,80.0,142.0,201.0,236.0,306.0,408.0,396.0,453.0,424.0,372.0,281.0,275.0,228.0,261.0,332.0,276.0,56.0
Valparaiso,05,Zapallar,05405,7994.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,19.0,13.0,12.0,11.0,10.0,4.0,6.0,10.0,5.0,1.0
Valparaiso,05,Desconocido Valparaiso,,,0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,1.0,1.0,0.0,0.0,11.0,8.0,6.0,37.0,27.0,37.0,57.0,46.0,51.0,25.0,23.0,12.0,11.0,12.0,13.0,7.0
Valparaiso,05,Total,,1960170.0,0.0,0.0,1.0,4.0,14.0,83.0,109.0,107.0,92.0,108.0,159.0,387.0,644.0,1025.0,1270.0,1780.0,2659.0,2646.0,2727.0,2508.0,2348.0,1947.0,1760.0,1566.0,1610.0,1824.0,1429.0,286.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metropolitana,13,Alhue,13502,7405.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,4.0,9.0,15.0,25.0,13.0,18.0,32.0,28.0,19.0,21.0,16.0,33.0,17.0,2.0
