Region,Codigo region,Poblacion,fecha,numero
Coquimbo,4,836096,2020-04-27,0
Valparaíso,5,1960170,2020-04-27,15
Metropolitana,13,8125072,2020-04-27,252
O’Higgins,6,991063,2020-04-27,4
Maule,7,1131939,2020-04-27,10
Ñuble,16,511551,2020-04-27,10
Biobío,8,1663696,2020-04-27,24
Araucanía,9,1014343,2020-04-27,37
Los Ríos,14,405835,2020-04-27,6
Los Lagos,10,891440,2020-04-27,17
Aysén,11,107297,2020-04-27,0
Magallanes,12,178362,2020-04-27,21
Arica y Parinacota,15,252110,2020-04-28,10
Tarapacá,1,382773,2020-04-28,2
Antofagasta,2,691854,2020-04-28,19
Atacama,3,314709,2020-04-28,1
Coquimbo,4,836096,2020-04-28,0
Valparaíso,5,1960170,2020-04-28,15
Metropolitana,13,8125072,2020-04-28,258
O’Higgins,6,991063,2020-04-28,5
Maule,7,1131939,2020-04-28,8
Ñuble,16,511551,2020-04-28,9
Biobío,8,1663696,2020-04-28,21
Araucanía,9,1014343,2020-04-28,35
Los Ríos,14,405835,2020-04-28,5
Los Lagos,10,891440,2020-04-28,18
Aysén,11,107297,2020-04-28,0
Magallanes,12,178362,2020-04-28,22
Arica y Parinacota,15,252110,2020-04-29,9
Tarapacá,1,382773,2020-04-29,3
Antofagasta,2,691854,2020-04-29,20
Atacama,3,314709,2020-04-29,1
Coquimbo,4,836096,2020-04-29,0
Valparaíso,5,1960170,2020-04-29,14
Metropolitana,13,8125072,2020-04-29,256
O’Higgins,6,991063,2020-04-29,4
Maule,7,1131939,2020-04-29,7
Ñuble,16,511551,2020-04-29,7
Biobío,8,1663696,2020-04-29,22
Araucanía,9,1014343,2020-04-29,35
Los Ríos,14,405835,2020-04-29,5
Los Lagos,10,891440,2020-04-29,18
Aysén,11,107297,2020-04-29,0
Magallanes,12,178362,2020-04-29,17
Arica y Parinacota,15,252110,2020-04-30,8
Tarapacá,1,382773,2020-04-30,2
Antofagasta,2,691854,2020-04-30,21
Atacama,3,314709,2020-04-30,1
Coquimbo,4,836096,2020-04-30,0
Valparaíso,5,1960170,2020-04-30,18
Metropolitana,13,8125072,2020-04-30,257
O’Higgins,6,991063,2020-04-30,5
Maule,7,1131939,2020-04-30,6
Ñuble,16,511551,2020-04-30,7
Biobío,8,1663696,2020-04-30,22
Araucanía,9,1014343,2020-04-30,30
Los Ríos,14,405835,2020-04-30,5
Los Lagos,10,891440,2020-04-30,19
Aysén,11,107297,2020-04-30,0
Magallanes,12,178362,2020-04-30,18
