region_residencia,comuna_residencia,Fecha defunciones,confirmados,sospechosos,totales
De Coquimbo,Coquimbo,2020-07-13,1.0,,1.0
De Coquimbo,Coquimbo,2020-07-18,1.0,,1.0
De Coquimbo,Coquimbo,2020-07-21,1.0,,1.0
De Coquimbo,Coquimbo,2020-07-25,1.0,1.0,2.0
De Coquimbo,Coquimbo,2020-07-27,1.0,,1.0
De Coquimbo,Coquimbo,2020-07-28,1.0,,1.0
De Coquimbo,Coquimbo,2020-07-29,,1.0,1.0
De Coquimbo,Coquimbo,2020-07-30,,1.0,1.0
De Coquimbo,Coquimbo,2020-07-31,1.0,,1.0
De Coquimbo,Coquimbo,2020-08-02,1.0,,1.0
De Coquimbo,Coquimbo,2020-08-05,1.0,1.0,2.0
De Coquimbo,Coquimbo,2020-08-06,1.0,,1.0
De Coquimbo,Coquimbo,2020-08-07,2.0,,2.0
De Coquimbo,Coquimbo,2020-08-09,1.0,,1.0
De Coquimbo,Coquimbo,2020-08-11,1.0,1.0,2.0
De Coquimbo,Coquimbo,2020-08-12,1.0,,1.0
De Coquimbo,Coquimbo,2020-08-14,1.0,1.0,2.0
De Coquimbo,Coquimbo,2020-08-15,,1.0,1.0
De Coquimbo,Coquimbo,2020-08-17,2.0,,2.0
De Coquimbo,Coquimbo,2020-08-19,1.0,,1.0
De Coquimbo,Illapel,2020-06-07,,1.0,1.0
De Coquimbo,Illapel,2020-07-12,1.0,,1.0
De Coquimbo,Illapel,2020-08-11,1.0,,1.0
De Coquimbo,La Higuera,2020-08-04,1.0,,1.0
De Coquimbo,La Serena,2020-04-05,,1.0,1.0
De Coquimbo,La Serena,2020-05-02,,1.0,1.0
De Coquimbo,La Serena,2020-05-07,,1.0,1.0
De Coquimbo,La Serena,2020-05-09,1.0,,1.0
De Coquimbo,La Serena,2020-05-14,,1.0,1.0
De Coquimbo,La Serena,2020-05-17,,1.0,1.0
De Coquimbo,La Serena,2020-05-22,,1.0,1.0
De Coquimbo,La Serena,2020-05-25,,1.0,1.0
De Coquimbo,La Serena,2020-05-29,1.0,,1.0
De Coquimbo,La Serena,2020-05-30,1.0,,1.0
De Coquimbo,La Serena,2020-06-02,1.0,,1.0
De Coquimbo,La Serena,2020-06-04,1.0,,1.0
De Coquimbo,La Serena,2020-06-09,,1.0,1.0
De Coquimbo,La Serena,2020-06-17,1.0,,1.0
De Coquimbo,La Serena,2020-06-22,2.0,,2.0
De Coquimbo,La Serena,2020-06-24,,1.0,1.0
De Coquimbo,La Serena,2020-06-26,1.0,,1.0
De Coquimbo,La Serena,2020-06-29,,1.0,1.0
De Coquimbo,La Serena,2020-07-04,1.0,,1.0
De Coquimbo,La Serena,2020-07-10,3.0,,3.0
De Coquimbo,La Serena,2020-07-11,1.0,,1.0
De Coquimbo,La Serena,2020-07-12,1.0,,1.0
De Coquimbo,La Serena,2020-07-18,2.0,,2.0
De Coquimbo,La Serena,2020-07-19,1.0,,1.0
De Coquimbo,La Serena,2020-07-23,,1.0,1.0
De Coquimbo,La Serena,2020-07-24,2.0,1.0,3.0
De Coquimbo,La Serena,2020-07-26,1.0,,1.0
De Coquimbo,La Serena,2020-07-28,2.0,,2.0
De Coquimbo,La Serena,2020-07-29,1.0,,1.0
De Coquimbo,La Serena,2020-07-31,1.0,,1.0
De Coquimbo,La Serena,2020-08-01,1.0,,1.0
De Coquimbo,La Serena,2020-08-06,2.0,,2.0
De Coquimbo,La Serena,2020-08-07,3.0,,3.0
De Coquimbo,La Serena,2020-08-09,1.0,,1.0
De Coquimbo,La Serena,2020-08-12,1.0,,1.0
De Coquimbo,La Serena,2020-08-13,1.0,,1.0
De Coquimbo,La Serena,2020-08-14,1.0,,1.0
De Coquimbo,La Serena,2020-08-16,,1.0,1.0
De Coquimbo,La Serena,2020-08-17,1.0,1.0,2.0
De Coquimbo,La Serena,2020-08-18,1.0,,1.0
