Fecha,Serie,Total
2020-08-21,positividad,0.067
2020-08-22,positividad,0.0648
2020-08-23,positividad,0.0607
2020-08-24,positividad,0.0693
2020-08-25,positividad,0.0574
2020-08-26,positividad,0.0677
2020-08-27,positividad,0.0644
2020-08-28,positividad,0.0617
2020-08-29,positividad,0.0631
2020-03-25,mediamovil_positividad,
2020-03-26,mediamovil_positividad,
2020-03-27,mediamovil_positividad,
2020-03-28,mediamovil_positividad,
2020-03-29,mediamovil_positividad,
2020-03-30,mediamovil_positividad,
2020-03-31,mediamovil_positividad,0.0764
2020-04-01,mediamovil_positividad,0.0813
2020-04-02,mediamovil_positividad,0.0963
2020-04-03,mediamovil_positividad,0.1044
2020-04-04,mediamovil_positividad,0.1058
2020-04-05,mediamovil_positividad,0.1006
2020-04-06,mediamovil_positividad,0.1055
2020-04-07,mediamovil_positividad,0.111
2020-04-08,mediamovil_positividad,0.1153
2020-04-09,mediamovil_positividad,0.1031
2020-04-10,mediamovil_positividad,0.1061
2020-04-11,mediamovil_positividad,0.1096
2020-04-12,mediamovil_positividad,0.1033
2020-04-13,mediamovil_positividad,0.1025
2020-04-14,mediamovil_positividad,0.1038
2020-04-15,mediamovil_positividad,0.0975
2020-04-16,mediamovil_positividad,0.1015
2020-04-17,mediamovil_positividad,0.0962
2020-04-18,mediamovil_positividad,0.0928
2020-04-19,mediamovil_positividad,0.0966
2020-04-20,mediamovil_positividad,0.092
2020-04-21,mediamovil_positividad,0.0849
2020-04-22,mediamovil_positividad,0.0828
2020-04-23,mediamovil_positividad,0.0826
2020-04-24,mediamovil_positividad,0.0809
2020-04-25,mediamovil_positividad,0.0786
2020-04-26,mediamovil_positividad,0.0779
2020-04-27,mediamovil_positividad,0.0794
2020-04-28,mediamovil_positividad,0.0822
2020-04-29,mediamovil_positividad,0.0889
2020-04-30,mediamovil_positividad,0.0934
2020-05-01,mediamovil_positividad,0.0993
2020-05-02,mediamovil_positividad,0.1084
2020-05-03,mediamovil_positividad,0.1242
2020-05-04,mediamovil_positividad,0.1288
2020-05-05,mediamovil_positividad,0.1374
2020-05-06,mediamovil_positividad,0.1351
2020-05-07,mediamovil_positividad,0.1371
2020-05-08,mediamovil_positividad,0.1382
2020-05-09,mediamovil_positividad,0.1327
2020-05-10,mediamovil_positividad,0.1254
2020-05-11,mediamovil_positividad,0.1205
2020-05-12,mediamovil_positividad,0.1214
2020-05-13,mediamovil_positividad,0.1431
2020-05-14,mediamovil_positividad,0.1581
2020-05-15,mediamovil_positividad,0.1634
2020-05-16,mediamovil_positividad,0.179
2020-05-17,mediamovil_positividad,0.1861
2020-05-18,mediamovil_positividad,0.1919
2020-05-19,mediamovil_positividad,0.1975
2020-05-20,mediamovil_positividad,0.2072
2020-05-21,mediamovil_positividad,0.2089
2020-05-22,mediamovil_positividad,0.2246
2020-05-23,mediamovil_positividad,0.2272
2020-05-24,mediamovil_positividad,0.2384
2020-05-25,mediamovil_positividad,0.2628
2020-05-26,mediamovil_positividad,0.275
2020-05-27,mediamovil_positividad,0.2749
2020-05-28,mediamovil_positividad,0.2827
2020-05-29,mediamovil_positividad,0.277
2020-05-30,mediamovil_positividad,0.2798
2020-05-31,mediamovil_positividad,0.2791
2020-06-01,mediamovil_positividad,0.2824
2020-06-02,mediamovil_positividad,0.2766
2020-06-03,mediamovil_positividad,0.2759
2020-06-04,mediamovil_positividad,0.2702
2020-06-05,mediamovil_positividad,0.2654
2020-06-06,mediamovil_positividad,0.2691
2020-06-07,mediamovil_positividad,0.2761
2020-06-08,mediamovil_positividad,0.2633
2020-06-09,mediamovil_positividad,0.2572
2020-06-10,mediamovil_positividad,0.2684
2020-06-11,mediamovil_positividad,0.2717
2020-06-12,mediamovil_positividad,0.2956
2020-06-13,mediamovil_positividad,0.3021
2020-06-14,mediamovil_positividad,0.3082
2020-06-15,mediamovil_positividad,0.3138
2020-06-16,mediamovil_positividad,0.3315
2020-06-17,mediamovil_positividad,0.3287
2020-06-18,mediamovil_positividad,0.3263
2020-06-19,mediamovil_positividad,0.3189
2020-06-20,mediamovil_positividad,0.311
2020-06-21,mediamovil_positividad,0.3017
2020-06-22,mediamovil_positividad,0.2979
2020-06-23,mediamovil_positividad,0.2915
2020-06-24,mediamovil_positividad,0.2792
2020-06-25,mediamovil_positividad,0.2797
2020-06-26,mediamovil_positividad,0.2691
2020-06-27,mediamovil_positividad,0.2661
2020-06-28,mediamovil_positividad,0.2591
2020-06-29,mediamovil_positividad,0.2579
2020-06-30,mediamovil_positividad,0.2515
2020-07-01,mediamovil_positividad,0.2465
2020-07-02,mediamovil_positividad,0.2414
2020-07-03,mediamovil_positividad,0.2403
2020-07-04,mediamovil_positividad,0.2363
2020-07-05,mediamovil_positividad,0.2327
2020-07-06,mediamovil_positividad,0.2249
2020-07-07,mediamovil_positividad,0.2178
2020-07-08,mediamovil_positividad,0.2095
2020-07-09,mediamovil_positividad,0.2031
2020-07-10,mediamovil_positividad,0.1952
2020-07-11,mediamovil_positividad,0.1857
2020-07-12,mediamovil_positividad,0.1789
2020-07-13,mediamovil_positividad,0.1739
2020-07-14,mediamovil_positividad,0.1662
2020-07-15,mediamovil_positividad,0.1581
2020-07-16,mediamovil_positividad,0.1521
2020-07-17,mediamovil_positividad,0.1491
2020-07-18,mediamovil_positividad,0.1452
2020-07-19,mediamovil_positividad,0.1417
2020-07-20,mediamovil_positividad,0.1386
2020-07-21,mediamovil_positividad,0.136
2020-07-22,mediamovil_positividad,0.1354
2020-07-23,mediamovil_positividad,0.1328
2020-07-24,mediamovil_positividad,0.1283
2020-07-25,mediamovil_positividad,0.1278
2020-07-26,mediamovil_positividad,0.1248
2020-07-27,mediamovil_positividad,0.1206
2020-07-28,mediamovil_positividad,0.117
2020-07-29,mediamovil_positividad,0.1124
2020-07-30,mediamovil_positividad,0.1081
2020-07-31,mediamovil_positividad,0.1041
2020-08-01,mediamovil_positividad,0.0986
2020-08-02,mediamovil_positividad,0.0947
2020-08-03,mediamovil_positividad,0.0909
2020-08-04,mediamovil_positividad,0.0867
2020-08-05,mediamovil_positividad,0.0838
2020-08-06,mediamovil_positividad,0.0823
2020-08-07,mediamovil_positividad,0.0812
2020-08-08,mediamovil_positividad,0.0813
2020-08-09,mediamovil_positividad,0.0795
2020-08-10,mediamovil_positividad,0.0801
2020-08-11,mediamovil_positividad,0.0791
2020-08-12,mediamovil_positividad,0.0785
2020-08-13,mediamovil_positividad,0.0775
2020-08-14,mediamovil_positividad,0.0761
2020-08-15,mediamovil_positividad,0.0734
2020-08-16,mediamovil_positividad,0.0728
2020-08-17,mediamovil_positividad,0.0707
2020-08-18,mediamovil_positividad,0.0689
2020-08-19,mediamovil_positividad,0.0667
2020-08-20,mediamovil_positividad,0.0653
2020-08-21,mediamovil_positividad,0.0641
2020-08-22,mediamovil_positividad,0.0645
2020-08-23,mediamovil_positividad,0.0635
2020-08-24,mediamovil_positividad,0.0646
2020-08-25,mediamovil_positividad,0.0646
2020-08-26,mediamovil_positividad,0.0651
2020-08-27,mediamovil_positividad,0.0645
2020-08-28,mediamovil_positividad,0.0637
2020-08-29,mediamovil_positividad,0.0635
