Region,Casostotalesacumulados,Casosnuevostotales,Casosnuevosconsintomas,Casosnuevossinsintomas*,Fallecidos,%Total,Fecha,Fallecidostotales,Nuevos Casos,Casos Confirmados,Casosnuevossinsintomas,Tasa*100000,Incrementodiario,Region ID,Poblacion,Tasa
Antofagasta,,,,,0,,2020/04/05,,5.0,60.0,,,,2,691854,8.672349946665049
Atacama,,,,,0,,2020/04/05,,0.0,5.0,,,,3,314709,1.5887693075190097
Coquimbo,,,,,0,,2020/04/05,,6.0,50.0,,,,4,836096,5.98017452541335
Valparaíso,,,,,1,,2020/04/05,,6.0,191.0,,,,5,1960170,9.74405281174592
Metropolitana,,,,,10,,2020/04/05,,145.0,2102.0,,,,13,8125072,25.870539977984198
O’Higgins,,,,,0,,2020/04/05,,3.0,41.0,,,,6,991063,4.136972119834965
Maule,,,,,1,,2020/04/05,,6.0,103.0,,,,7,1131939,9.09943026965234
Ñuble,,,,,3,,2020/04/05,,24.0,425.0,,,,16,511551,83.08067035349359
Biobío,,,,,2,,2020/04/05,,18.0,365.0,,,,8,1663696,21.93910425943201
Araucanía,,,,,13,,2020/04/05,,32.0,509.0,,,,9,1014343,50.18026446675335
Los Ríos,,,,,1,,2020/04/05,,10.0,99.0,,,,14,405835,24.39415033203149
Los Lagos,,,,,1,,2020/04/05,,17.0,276.0,,,,10,891440,30.96114152382662
Aysén,,,,,0,,2020/04/05,,1.0,7.0,,,,11,107297,6.523947547461719
Magallanes,,,,,2,,2020/04/05,,18.0,190.0,,,,12,178362,106.52493244076653
Arica y Parinacota,,,,,0,,2020/03/05,,0.0,0.0,,,,15,252110,0.0
Tarapacá,,,,,0,,2020/03/05,,0.0,0.0,,,,1,382773,0.0
Antofagasta,,,,,0,,2020/03/05,,0.0,0.0,,,,2,691854,0.0
Atacama,,,,,0,,2020/03/05,,0.0,0.0,,,,3,314709,0.0
Coquimbo,,,,,0,,2020/03/05,,0.0,0.0,,,,4,836096,0.0
Valparaíso,,,,,0,,2020/03/05,,0.0,0.0,,,,5,1960170,0.0
Metropolitana,,,,,0,,2020/03/05,,1.0,2.0,,,,13,8125072,0.02461516648714005
O’Higgins,,,,,0,,2020/03/05,,0.0,0.0,,,,6,991063,0.0
Maule,,,,,0,,2020/03/05,,0.0,2.0,,,,7,1131939,0.1766879664010163
Ñuble,,,,,0,,2020/03/05,,0.0,0.0,,,,16,511551,0.0
Biobío,,,,,0,,2020/03/05,,0.0,0.0,,,,8,1663696,0.0
Araucanía,,,,,0,,2020/03/05,,0.0,0.0,,,,9,1014343,0.0
Los Ríos,,,,,0,,2020/03/05,,0.0,0.0,,,,14,405835,0.0
Los Lagos,,,,,0,,2020/03/05,,0.0,0.0,,,,10,891440,0.0
Aysén,,,,,0,,2020/03/05,,0.0,0.0,,,,11,107297,0.0
Magallanes,,,,,0,,2020/03/05,,0.0,0.0,,,,12,178362,0.0
Arica y Parinacota,,,,,3,,2020/04/25,,6.0,245.0,,,,15,252110,97.17980246717703
Tarapacá,,,,,1,,2020/04/25,,9.0,143.0,,,,1,382773,37.3589568752237
Antofagasta,,,,,3,,2020/04/25,,25.0,391.0,,,,2,691854,56.51481381910057
Atacama,,,,,0,,2020/04/25,,3.0,24.0,,,,3,314709,7.626092676091246
Coquimbo,,,,,0,,2020/04/25,,1.0,73.0,,,,4,836096,8.73105480710349
Valparaíso,,,,,9,,2020/04/25,,18.0,454.0,,,,5,1960170,23.1612564216369
Metropolitana,,,,,89,,2020/04/25,,404.0,7165.0,,,,13,8125072,88.18383394017924
O’Higgins,,,,,1,,2020/04/25,,4.0,85.0,,,,6,991063,8.576649516731026
Maule,,,,,10,,2020/04/25,,1.0,350.0,,,,7,1131939,30.920394120177853
Ñuble,,,,,14,,2020/04/25,,10.0,725.0,,,,16,511551,141.72584942654788
Biobío,,,,,5,,2020/04/25,,13.0,696.0,,,,8,1663696,41.83456593031419
Araucanía,,,,,27,,2020/04/25,,19.0,1203.0,,,,9,1014343,118.59893546857423
Los Ríos,,,,,3,,2020/04/25,,3.0,177.0,,,,14,405835,43.61378392696539
Los Lagos,,,,,8,,2020/04/25,,5.0,465.0,,,,10,891440,52.16279278470789
Aysén,,,,,0,,2020/04/25,,0.0,7.0,,,,11,107297,6.523947547461719
Magallanes,,,,,8,,2020/04/25,,31.0,655.0,,,,12,178362,367.23068815106353
Arica y Parinacota,318.0,3.0,3.0,0.0,5,1.38%,2020/05/06,,,,,,,15,252110,
Tarapacá,339.0,17.0,13.0,4.0,1,1.47%,2020/05/06,,,,,,,1,382773,
Antofagasta,855.0,44.0,28.0,16.0,7,3.71%,2020/05/06,,,,,,,2,691854,
Atacama,80.0,2.0,0.0,2.0,0,0.35%,2020/05/06,,,,,,,3,314709,
Coquimbo,97.0,0.0,0.0,0.0,0,0.42%,2020/05/06,,,,,,,4,836096,
Valparaíso,716.0,29.0,24.0,5.0,16,3.11%,2020/05/06,,,,,,,5,1960170,
Metropolitana,15582.0,875.0,784.0,91.0,150,67.61%,2020/05/06,,,,,,,13,8125072,
O’Higgins,145.0,9.0,8.0,1.0,3,0.63%,2020/05/06,,,,,,,6,991063,
Maule,408.0,0.0,0.0,0.0,13,1.77%,2020/05/06,,,,,,,7,1131939,
Ñuble,791.0,2.0,1.0,1.0,17,3.43%,2020/05/06,,,,,,,16,511551,
Biobío,789.0,15.0,12.0,3.0,8,3.42%,2020/05/06,,,,,,,8,1663696,
Araucanía,1362.0,10.0,0.0,10.0,36,5.91%,2020/05/06,,,,,,,9,1014343,
Los Ríos,200.0,1.0,1.0,0.0,4,0.87%,2020/05/06,,,,,,,14,405835,
Los Lagos,541.0,16.0,11.0,5.0,10,2.35%,2020/05/06,,,,,,,10,891440,
Aysén,7.0,0.0,0.0,0.0,0,0.03%,2020/05/06,,,,,,,11,107297,
Magallanes,818.0,9.0,8.0,1.0,11,3.55%,2020/05/06,,,,,,,12,178362,
Arica y Parinacota,,,,,0,,2020/03/04,,0.0,0.0,,,,15,252110,0.0
Tarapacá,,,,,0,,2020/03/04,,0.0,0.0,,,,1,382773,0.0
Antofagasta,,,,,0,,2020/03/04,,0.0,0.0,,,,2,691854,0.0
Atacama,,,,,0,,2020/03/04,,0.0,0.0,,,,3,314709,0.0
Coquimbo,,,,,0,,2020/03/04,,0.0,0.0,,,,4,836096,0.0
Valparaíso,,,,,0,,2020/03/04,,0.0,0.0,,,,5,1960170,0.0
Metropolitana,,,,,0,,2020/03/04,,1.0,1.0,,,,13,8125072,0.012307583243570026
O’Higgins,,,,,0,,2020/03/04,,0.0,0.0,,,,6,991063,0.0
Maule,,,,,0,,2020/03/04,,1.0,2.0,,,,7,1131939,0.1766879664010163
Ñuble,,,,,0,,2020/03/04,,0.0,0.0,,,,16,511551,0.0
Biobío,,,,,0,,2020/03/04,,0.0,0.0,,,,8,1663696,0.0
Araucanía,,,,,0,,2020/03/04,,0.0,0.0,,,,9,1014343,0.0
Los Ríos,,,,,0,,2020/03/04,,0.0,0.0,,,,14,405835,0.0
Los Lagos,,,,,0,,2020/03/04,,0.0,0.0,,,,10,891440,0.0
Aysén,,,,,0,,2020/03/04,,0.0,0.0,,,,11,107297,0.0
Magallanes,,,,,0,,2020/03/04,,0.0,0.0,,,,12,178362,0.0
Arica y Parinacota,351.0,11.0,10.0,1.0,7,1.17%,2020/05/11,,,,,,,15,252110,
Tarapacá,547.0,27.0,18.0,9.0,1,1.82%,2020/05/11,,,,,,,1,382773,
Antofagasta,1014.0,36.0,32.0,4.0,10,3.37%,2020/05/11,,,,,,,2,691854,
Atacama,133.0,9.0,5.0,4.0,0,0.44%,2020/05/11,,,,,,,3,314709,
Coquimbo,140.0,5.0,5.0,0.0,1,0.47%,2020/05/11,,,,,,,4,836096,
Valparaíso,970.0,37.0,29.0,8.0,21,3.23%,2020/05/11,,,,,,,5,1960170,
Metropolitana,21317.0,964.0,827.0,137.0,172,70.91%,2020/05/11,,,,,,,13,8125072,
O’Higgins,216.0,21.0,13.0,8.0,4,0.72%,2020/05/11,,,,,,,6,991063,
Maule,454.0,13.0,9.0,4.0,14,1.51%,2020/05/11,,,,,,,7,1131939,
Ñuble,814.0,2.0,1.0,1.0,18,2.71%,2020/05/11,,,,,,,16,511551,
Biobío,932.0,33.0,12.0,21.0,8,3.10%,2020/05/11,,,,,,,8,1663696,
Araucanía,1466.0,12.0,2.0,10.0,38,4.88%,2020/05/11,,,,,,,9,1014343,
Los Ríos,208.0,2.0,1.0,1.0,5,0.69%,2020/05/11,,,,,,,14,405835,
Los Lagos,592.0,17.0,8.0,9.0,10,1.97%,2020/05/11,,,,,,,10,891440,
Aysén,8.0,0.0,0.0,0.0,0,0.03%,2020/05/11,,,,,,,11,107297,
Magallanes,901.0,8.0,3.0,5.0,14,3.00%,2020/05/11,,,,,,,12,178362,
Arica y Parinacota,636.0,17.0,13.0,4.0,8,0.60%,2020/06/01,,,,,,,15,252110,
Tarapacá,2526.0,165.0,152.0,13.0,22,2.40%,2020/06/01,,,,,,,1,382773,
Antofagasta,2585.0,75.0,67.0,8.0,32,2.46%,2020/06/01,,,,,,,2,691854,
Atacama,232.0,14.0,8.0,6.0,0,0.22%,2020/06/01,,,,,,,3,314709,
Coquimbo,668.0,40.0,33.0,7.0,2,0.64%,2020/06/01,,,,,,,4,836096,
Valparaíso,3348.0,181.0,166.0,15.0,70,3.18%,2020/06/01,,,,,,,5,1960170,
Metropolitana,85239.0,4735.0,4436.0,299.0,824,81.06%,2020/06/01,,,,,,,13,8125072,
O’Higgins,813.0,28.0,23.0,5.0,18,0.77%,2020/06/01,,,,,,,6,991063,
Maule,1341.0,44.0,37.0,7.0,17,1.28%,2020/06/01,,,,,,,7,1131939,
Ñuble,1290.0,33.0,32.0,1.0,23,1.23%,2020/06/01,,,,,,,16,511551,
Biobío,2070.0,91.0,75.0,16.0,11,1.97%,2020/06/01,,,,,,,8,1663696,
Araucanía,2111.0,40.0,34.0,6.0,47,2.01%,2020/06/01,,,,,,,9,1014343,
Los Ríos,363.0,7.0,5.0,2.0,7,0.35%,2020/06/01,,,,,,,14,405835,
Los Lagos,863.0,0.0,0.0,0.0,13,0.82%,2020/06/01,,,,,,,10,891440,
Aysén,17.0,0.0,0.0,0.0,0,0.02%,2020/06/01,,,,,,,11,107297,
Magallanes,1056.0,1.0,1.0,0.0,19,1.01%,2020/06/01,,,,,,,12,178362,
Arica y Parinacota,,,,,0,,2020/03/08,,0.0,0.0,,,,15,252110,0.0
Tarapacá,,,,,0,,2020/03/08,,0.0,0.0,,,,1,382773,0.0
Antofagasta,,,,,0,,2020/03/08,,0.0,0.0,,,,2,691854,0.0
Atacama,,,,,0,,2020/03/08,,0.0,0.0,,,,3,314709,0.0
Coquimbo,,,,,0,,2020/03/08,,0.0,0.0,,,,4,836096,0.0
Valparaíso,,,,,0,,2020/03/08,,0.0,0.0,,,,5,1960170,0.0
Metropolitana,,,,,0,,2020/03/08,,2.0,6.0,,,,13,8125072,0.07384549946142016
O’Higgins,,,,,0,,2020/03/08,,0.0,0.0,,,,6,991063,0.0
Maule,,,,,0,,2020/03/08,,1.0,3.0,,,,7,1131939,0.2650319496015245
Ñuble,,,,,0,,2020/03/08,,0.0,0.0,,,,16,511551,0.0
Biobío,,,,,0,,2020/03/08,,0.0,0.0,,,,8,1663696,0.0
Araucanía,,,,,0,,2020/03/08,,0.0,0.0,,,,9,1014343,0.0
Los Ríos,,,,,0,,2020/03/08,,0.0,0.0,,,,14,405835,0.0
Los Lagos,,,,,0,,2020/03/08,,0.0,1.0,,,,10,891440,0.1121780489993718
Aysén,,,,,0,,2020/03/08,,0.0,0.0,,,,11,107297,0.0
Magallanes,,,,,0,,2020/03/08,,0.0,0.0,,,,12,178362,0.0
Arica y Parinacota,,,,,0,,2020/03/19,,1.0,1.0,,,,15,252110,0.3966522549680695
Tarapacá,,,,,0,,2020/03/19,,0.0,0.0,,,,1,382773,0.0
Antofagasta,,,,,0,,2020/03/19,,0.0,2.0,,,,2,691854,0.2890783315555016
Atacama,,,,,0,,2020/03/19,,0.0,1.0,,,,3,314709,0.3177538615038019
Coquimbo,,,,,0,,2020/03/19,,2.0,2.0,,,,4,836096,0.23920698101653398
Valparaíso,,,,,0,,2020/03/19,,3.0,4.0,,,,5,1960170,0.20406393323028105
Metropolitana,,,,,0,,2020/03/19,,73.0,247.0,,,,13,8125072,3.0399730611617968
O’Higgins,,,,,0,,2020/03/19,,2.0,2.0,,,,6,991063,0.20180351804073002
Maule,,,,,0,,2020/03/19,,3.0,14.0,,,,7,1131939,1.2368157648071143
Ñuble,,,,,0,,2020/03/19,,2.0,28.0,,,,16,511551,5.473550046818402
Biobío,,,,,0,,2020/03/19,,7.0,14.0,,,,8,1663696,0.8414998894028717
Araucanía,,,,,0,,2020/03/19,,3.0,7.0,,,,9,1014343,0.6901018688944469
Los Ríos,,,,,0,,2020/03/19,,0.0,1.0,,,,14,405835,0.24640555890940902
Los Lagos,,,,,0,,2020/03/19,,8.0,16.0,,,,10,891440,1.7948487839899487
Aysén,,,,,0,,2020/03/19,,0.0,1.0,,,,11,107297,0.9319925067802455
Magallanes,,,,,0,,2020/03/19,,0.0,2.0,,,,12,178362,1.1213150783238583
Arica y Parinacota,,,,,0,,2020/04/03,,5.0,12.0,,,,15,252110,4.759827059616834
Tarapacá,,,,,0,,2020/04/03,,1.0,13.0,,,,1,382773,3.396268806838518
Antofagasta,,,,,0,,2020/04/03,,7.0,54.0,,,,2,691854,7.805114951998543
Atacama,,,,,0,,2020/04/03,,2.0,5.0,,,,3,314709,1.5887693075190097
Coquimbo,,,,,0,,2020/04/03,,1.0,35.0,,,,4,836096,4.186122167789344
Valparaíso,,,,,1,,2020/04/03,,20.0,176.0,,,,5,1960170,8.978813062132366
Metropolitana,,,,,8,,2020/04/03,,106.0,1742.0,,,,13,8125072,21.439810010298988
O’Higgins,,,,,0,,2020/04/03,,1.0,33.0,,,,6,991063,3.3297580476720454
Maule,,,,,1,,2020/04/03,,7.0,89.0,,,,7,1131939,7.862614504845226
Ñuble,,,,,1,,2020/04/03,,29.0,370.0,,,,16,511551,72.32905419010031
Biobío,,,,,2,,2020/04/03,,27.0,302.0,,,,8,1663696,18.152354757119088
Araucanía,,,,,7,,2020/04/03,,43.0,432.0,,,,9,1014343,42.58914390891444
Los Ríos,,,,,1,,2020/04/03,,10.0,78.0,,,,14,405835,19.219633594933903
Los Lagos,,,,,0,,2020/04/03,,31.0,234.0,,,,10,891440,26.249663465853
Aysén,,,,,0,,2020/04/03,,1.0,6.0,,,,11,107297,5.591955040681473
Magallanes,,,,,1,,2020/04/03,,42.0,156.0,,,,12,178362,87.46257610926094
Arica y Parinacota,337.0,10.0,8.0,2.0,6,1.24%,2020/05/09,,,,,,,15,252110,
Tarapacá,485.0,26.0,25.0,1.0,1,1.78%,2020/05/09,,,,,,,1,382773,
Antofagasta,947.0,24.0,19.0,5.0,10,3.48%,2020/05/09,,,,,,,2,691854,
Atacama,117.0,29.0,20.0,9.0,0,0.43%,2020/05/09,,,,,,,3,314709,
Coquimbo,129.0,18.0,12.0,6.0,0,0.47%,2020/05/09,,,,,,,4,836096,
Valparaíso,878.0,50.0,43.0,7.0,19,3.23%,2020/05/09,,,,,,,5,1960170,
Metropolitana,18957.0,978.0,789.0,189.0,163,69.65%,2020/05/09,,,,,,,13,8125072,
O’Higgins,182.0,15.0,13.0,2.0,3,0.67%,2020/05/09,,,,,,,6,991063,
Maule,432.0,7.0,6.0,1.0,14,1.59%,2020/05/09,,,,,,,7,1131939,
Ñuble,801.0,7.0,5.0,2.0,18,2.94%,2020/05/09,,,,,,,16,511551,
Biobío,882.0,40.0,31.0,9.0,8,3.24%,2020/05/09,,,,,,,8,1663696,
Araucanía,1418.0,15.0,15.0,0.0,36,5.21%,2020/05/09,,,,,,,9,1014343,
Los Ríos,206.0,3.0,1.0,2.0,5,0.76%,2020/05/09,,,,,,,14,405835,
Los Lagos,559.0,11.0,7.0,4.0,10,2.05%,2020/05/09,,,,,,,10,891440,
Aysén,8.0,0.0,0.0,0.0,0,0.03%,2020/05/09,,,,,,,11,107297,
Magallanes,881.0,14.0,10.0,4.0,11,3.24%,2020/05/09,,,,,,,12,178362,
Arica y Parinacota,,,,,0,,2020/03/10,,0.0,0.0,,,,15,252110,0.0
Tarapacá,,,,,0,,2020/03/10,,0.0,0.0,,,,1,382773,0.0
Antofagasta,,,,,0,,2020/03/10,,0.0,0.0,,,,2,691854,0.0
Atacama,,,,,0,,2020/03/10,,0.0,0.0,,,,3,314709,0.0
Coquimbo,,,,,0,,2020/03/10,,0.0,0.0,,,,4,836096,0.0
Valparaíso,,,,,0,,2020/03/10,,0.0,0.0,,,,5,1960170,0.0
Metropolitana,,,,,0,,2020/03/10,,1.0,10.0,,,,13,8125072,0.12307583243570025
O’Higgins,,,,,0,,2020/03/10,,0.0,0.0,,,,6,991063,0.0
Maule,,,,,0,,2020/03/10,,1.0,5.0,,,,7,1131939,0.4417199160025408
Ñuble,,,,,0,,2020/03/10,,0.0,0.0,,,,16,511551,0.0
Biobío,,,,,0,,2020/03/10,,0.0,1.0,,,,8,1663696,0.06010713495734797
Araucanía,,,,,0,,2020/03/10,,0.0,0.0,,,,9,1014343,0.0
Los Ríos,,,,,0,,2020/03/10,,0.0,0.0,,,,14,405835,0.0
Los Lagos,,,,,0,,2020/03/10,,0.0,1.0,,,,10,891440,0.1121780489993718
Aysén,,,,,0,,2020/03/10,,0.0,0.0,,,,11,107297,0.0
Magallanes,,,,,0,,2020/03/10,,0.0,0.0,,,,12,178362,0.0
Arica y Parinacota,,,,,0,,2020/03/03,,0.0,0.0,,,,15,252110,0.0
Tarapacá,,,,,0,,2020/03/03,,0.0,0.0,,,,1,382773,0.0
Antofagasta,,,,,0,,2020/03/03,,0.0,0.0,,,,2,691854,0.0
Atacama,,,,,0,,2020/03/03,,0.0,0.0,,,,3,314709,0.0
Coquimbo,,,,,0,,2020/03/03,,0.0,0.0,,,,4,836096,0.0
Valparaíso,,,,,0,,2020/03/03,,0.0,0.0,,,,5,1960170,0.0
Metropolitana,,,,,0,,2020/03/03,,0.0,0.0,,,,13,8125072,0.0
O’Higgins,,,,,0,,2020/03/03,,0.0,0.0,,,,6,991063,0.0
Maule,,,,,0,,2020/03/03,,1.0,1.0,,,,7,1131939,0.08834398320050815
Ñuble,,,,,0,,2020/03/03,,0.0,0.0,,,,16,511551,0.0
Biobío,,,,,0,,2020/03/03,,0.0,0.0,,,,8,1663696,0.0
Araucanía,,,,,0,,2020/03/03,,0.0,0.0,,,,9,1014343,0.0
Los Ríos,,,,,0,,2020/03/03,,0.0,0.0,,,,14,405835,0.0
Los Lagos,,,,,0,,2020/03/03,,0.0,0.0,,,,10,891440,0.0
Aysén,,,,,0,,2020/03/03,,0.0,0.0,,,,11,107297,0.0
Magallanes,,,,,0,,2020/03/03,,0.0,0.0,,,,12,178362,0.0
Arica y Parinacota,307.0,10.0,4.0,6.0,4,1.67%,2020/05/02,,,,,,,15,252110,
Tarapacá,212.0,12.0,11.0,1.0,1,1.15%,2020/05/02,,,,,,,1,382773,
Antofagasta,679.0,90.0,80.0,10.0,7,3.68%,2020/05/02,,,,,,,2,691854,
Atacama,59.0,16.0,13.0,3.0,0,0.32%,2020/05/02,,,,,,,3,314709,
Coquimbo,78.0,1.0,1.0,0.0,0,0.42%,2020/05/02,,,,,,,4,836096,
Valparaíso,614.0,46.0,42.0,4.0,13,3.33%,2020/05/02,,,,,,,5,1960170,
Metropolitana,11661.0,1145.0,998.0,147.0,122,63.25%,2020/05/02,,,,,,,13,8125072,
O’Higgins,120.0,11.0,10.0,1.0,3,0.65%,2020/05/02,,,,,,,6,991063,
Maule,396.0,2.0,2.0,0.0,13,2.15%,2020/05/02,,,,,,,7,1131939,
Ñuble,776.0,8.0,4.0,4.0,16,4.21%,2020/05/02,,,,,,,16,511551,
Biobío,751.0,22.0,19.0,3.0,7,4.07%,2020/05/02,,,,,,,8,1663696,
Araucanía,1314.0,19.0,19.0,0.0,36,7.13%,2020/05/02,,,,,,,9,1014343,
Los Ríos,196.0,7.0,7.0,0.0,4,1.06%,2020/05/02,,,,,,,14,405835,
Los Lagos,513.0,12.0,11.0,1.0,10,2.78%,2020/05/02,,,,,,,10,891440,
Aysén,7.0,0.0,0.0,0.0,0,0.04%,2020/05/02,,,,,,,11,107297,
Magallanes,752.0,26.0,25.0,1.0,11,4.08%,2020/05/02,,,,,,,12,178362,
Arica y Parinacota,453.0,29.0,21.0,8.0,7,0.79%,2020/05/21,,,,,,,15,252110,
Tarapacá,1246.0,107.0,99.0,8.0,4,2.16%,2020/05/21,,,,,,,1,382773,
Antofagasta,1778.0,47.0,35.0,12.0,17,3.09%,2020/05/21,,,,,,,2,691854,
Atacama,168.0,5.0,3.0,2.0,0,0.29%,2020/05/21,,,,,,,3,314709,
Coquimbo,268.0,5.0,2.0,3.0,2,0.47%,2020/05/21,,,,,,,4,836096,
Valparaíso,1887.0,117.0,101.0,16.0,38,3.28%,2020/05/21,,,,,,,5,1960170,
Metropolitana,44641.0,3462.0,3126.0,336.0,388,77.53%,2020/05/21,,,,,,,13,8125072,
O’Higgins,465.0,10.0,8.0,2.0,7,0.81%,2020/05/21,,,,,,,6,991063,
Maule,731.0,51.0,44.0,7.0,15,1.27%,2020/05/21,,,,,,,7,1131939,
Ñuble,1020.0,9.0,8.0,1.0,21,1.77%,2020/05/21,,,,,,,16,511551,
Biobío,1263.0,39.0,32.0,7.0,9,2.19%,2020/05/21,,,,,,,8,1663696,
Araucanía,1715.0,35.0,25.0,10.0,44,2.98%,2020/05/21,,,,,,,9,1014343,
Los Ríos,258.0,11.0,10.0,1.0,6,0.45%,2020/05/21,,,,,,,14,405835,
Los Lagos,693.0,27.0,14.0,13.0,13,1.20%,2020/05/21,,,,,,,10,891440,
Aysén,8.0,0.0,0.0,0.0,0,0.01%,2020/05/21,,,,,,,11,107297,
Magallanes,987.0,10.0,10.0,0.0,18,1.71%,2020/05/21,,,,,,,12,178362,
Arica y Parinacota,522.0,9.0,8.0,1.0,7,0.67%,2020/05/26,,,,,,,15,252110,
Tarapacá,1737.0,107.0,97.0,10.0,8,2.23%,2020/05/26,,,,,,,1,382773,
Antofagasta,2063.0,48.0,44.0,4.0,23,2.65%,2020/05/26,,,,,,,2,691854,
Atacama,188.0,3.0,2.0,1.0,0,0.24%,2020/05/26,,,,,,,3,314709,
Coquimbo,384.0,46.0,37.0,9.0,2,0.49%,2020/05/26,,,,,,,4,836096,
Valparaíso,2455.0,150.0,133.0,17.0,57,3.15%,2020/05/26,,,,,,,5,1960170,
Metropolitana,62285.0,3355.0,3074.0,281.0,567,79.89%,2020/05/26,,,,,,,13,8125072,
O’Higgins,654.0,66.0,59.0,7.0,13,0.84%,2020/05/26,,,,,,,6,991063,
Maule,1013.0,60.0,60.0,0.0,15,1.30%,2020/05/26,,,,,,,7,1131939,
Ñuble,1147.0,8.0,8.0,0.0,22,1.47%,2020/05/26,,,,,,,16,511551,
Biobío,1502.0,44.0,40.0,4.0,10,1.93%,2020/05/26,,,,,,,8,1663696,
Araucanía,1883.0,26.0,21.0,5.0,45,2.42%,2020/05/26,,,,,,,9,1014343,
Los Ríos,304.0,7.0,7.0,0.0,6,0.39%,2020/05/26,,,,,,,14,405835,
Los Lagos,781.0,18.0,14.0,4.0,13,1.00%,2020/05/26,,,,,,,10,891440,
Aysén,12.0,2.0,2.0,0.0,0,0.02%,2020/05/26,,,,,,,11,107297,
Magallanes,1031.0,15.0,12.0,3.0,18,1.32%,2020/05/26,,,,,,,12,178362,
Arica y Parinacota,,,,,0,,2020/03/17,,0.0,0.0,,,,15,252110,0.0
Tarapacá,,,,,0,,2020/03/17,,0.0,0.0,,,,1,382773,0.0
Antofagasta,,,,,0,,2020/03/17,,0.0,2.0,,,,2,691854,0.2890783315555016
Atacama,,,,,0,,2020/03/17,,0.0,1.0,,,,3,314709,0.3177538615038019
Coquimbo,,,,,0,,2020/03/17,,0.0,0.0,,,,4,836096,0.0
Valparaíso,,,,,0,,2020/03/17,,0.0,1.0,,,,5,1960170,0.05101598330757026
Metropolitana,,,,,0,,2020/03/17,,29.0,152.0,,,,13,8125072,1.8707526530226442
O’Higgins,,,,,0,,2020/03/17,,0.0,0.0,,,,6,991063,0.0
Maule,,,,,0,,2020/03/17,,0.0,9.0,,,,7,1131939,0.7950958488045735
Ñuble,,,,,0,,2020/03/17,,14.0,26.0,,,,16,511551,5.082582186331373
Biobío,,,,,0,,2020/03/17,,0.0,4.0,,,,8,1663696,0.24042853982939189
Araucanía,,,,,0,,2020/03/17,,0.0,1.0,,,,9,1014343,0.09858598127063527
Los Ríos,,,,,0,,2020/03/17,,0.0,1.0,,,,14,405835,0.24640555890940902
Los Lagos,,,,,0,,2020/03/17,,0.0,1.0,,,,10,891440,0.1121780489993718
Aysén,,,,,0,,2020/03/17,,0.0,1.0,,,,11,107297,0.9319925067802455
Magallanes,,,,,0,,2020/03/17,,2.0,2.0,,,,12,178362,1.1213150783238583
Arica y Parinacota,,,,,0,,2020/04/09,,12.0,75.0,,,,15,252110,29.74891912260521
Tarapacá,,,,,0,,2020/04/09,,3.0,29.0,,,,1,382773,7.5762919537166935
Antofagasta,,,,,1,,2020/04/09,,15.0,92.0,,,,2,691854,13.297603251553072
Atacama,,,,,0,,2020/04/09,,2.0,10.0,,,,3,314709,3.1775386150380194
Coquimbo,,,,,0,,2020/04/09,,5.0,61.0,,,,4,836096,7.295812921004287
Valparaíso,,,,,2,,2020/04/09,,5.0,230.0,,,,5,1960170,11.73367616074116
Metropolitana,,,,,21,,2020/04/09,,284.0,2832.0,,,,13,8125072,34.855075745790316
O’Higgins,,,,,0,,2020/04/09,,1.0,44.0,,,,6,991063,4.439677396896061
Maule,,,,,2,,2020/04/09,,9.0,128.0,,,,7,1131939,11.308029849665044
Ñuble,,,,,6,,2020/04/09,,10.0,571.0,,,,16,511551,111.62132416904669
Biobío,,,,,2,,2020/04/09,,21.0,460.0,,,,8,1663696,27.64928208038007
Araucanía,,,,,16,,2020/04/09,,20.0,689.0,,,,9,1014343,67.9257410954677
Los Ríos,,,,,2,,2020/04/09,,4.0,118.0,,,,14,405835,29.075855951310263
Los Lagos,,,,,2,,2020/04/09,,15.0,340.0,,,,10,891440,38.14053665978641
Aysén,,,,,0,,2020/04/09,,0.0,7.0,,,,11,107297,6.523947547461719
Magallanes,,,,,3,,2020/04/09,,20.0,286.0,,,,12,178362,160.34805620031173
Arica y Parinacota,,,,,0,,2020/04/07,,12.0,53.0,,,,15,252110,21.022569513307683
Tarapacá,,,,,0,,2020/04/07,,2.0,23.0,,,,1,382773,6.008783273637378
Antofagasta,,,,,1,,2020/04/07,,1.0,69.0,,,,2,691854,9.973202438664806
Atacama,,,,,0,,2020/04/07,,1.0,6.0,,,,3,314709,1.9065231690228115
Coquimbo,,,,,0,,2020/04/07,,1.0,52.0,,,,4,836096,6.219381506429884
Valparaíso,,,,,1,,2020/04/07,,16.0,214.0,,,,5,1960170,10.917420427820035
Metropolitana,,,,,12,,2020/04/07,,106.0,2350.0,,,,13,8125072,28.922820622389565
O’Higgins,,,,,0,,2020/04/07,,0.0,42.0,,,,6,991063,4.23787387885533
Maule,,,,,2,,2020/04/07,,0.0,108.0,,,,7,1131939,9.54115018565488
Ñuble,,,,,5,,2020/04/07,,48.0,522.0,,,,16,511551,102.04261158711448
Biobío,,,,,2,,2020/04/07,,27.0,410.0,,,,8,1663696,24.64392533251267
Araucanía,,,,,14,,2020/04/07,,50.0,612.0,,,,9,1014343,60.33462053762879
Los Ríos,,,,,2,,2020/04/07,,5.0,109.0,,,,14,405835,26.85820592112558
Los Lagos,,,,,2,,2020/04/07,,13.0,299.0,,,,10,891440,33.541236650812166
