country_region,sub_region_1,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Chile,Santiago Metropolitan Region,2021-01-18,-31,-12,-29,-33,-30,12
Chile,Santiago Metropolitan Region,2021-01-19,-33,-13,-32,-34,-30,13
Chile,Santiago Metropolitan Region,2021-01-20,-34,-15,-30,-34,-28,13
Chile,Santiago Metropolitan Region,2021-01-21,-34,-14,-29,-34,-29,14
Chile,Santiago Metropolitan Region,2021-01-22,-36,-12,-33,-34,-28,14
Chile,Santiago Metropolitan Region,2021-01-23,-63,-33,-56,-47,-27,17
Chile,Santiago Metropolitan Region,2021-01-24,-63,-36,-56,-46,-22,14
Chile,Santiago Metropolitan Region,2021-01-25,-32,-14,-29,-34,-29,13
Chile,Santiago Metropolitan Region,2021-01-26,-34,-14,-32,-33,-29,13
Chile,Santiago Metropolitan Region,2021-01-27,-34,-16,-29,-34,-28,13
Chile,Santiago Metropolitan Region,2021-01-28,-33,-13,-28,-33,-28,14
Chile,Santiago Metropolitan Region,2021-01-29,-35,-7,-42,-33,-29,14
Chile,Santiago Metropolitan Region,2021-01-30,-63,-29,-64,-49,-31,18
Chile,Santiago Metropolitan Region,2021-01-31,-59,-25,-57,-42,-23,15
Chile,Santiago Metropolitan Region,2021-02-01,-27,-5,-27,-31,-32,13
Chile,Santiago Metropolitan Region,2021-02-02,-29,-6,-29,-30,-31,13
Chile,Santiago Metropolitan Region,2021-02-03,-31,-11,-30,-32,-30,13
Chile,Santiago Metropolitan Region,2021-02-04,-32,-11,-32,-33,-31,14
Chile,Santiago Metropolitan Region,2021-02-05,-33,-9,-35,-33,-30,14
Chile,Santiago Metropolitan Region,2021-02-06,-50,-21,-47,-38,-22,14
Chile,Santiago Metropolitan Region,2021-02-07,-50,-26,-46,-38,-16,12
Chile,Santiago Metropolitan Region,2021-02-08,-28,-10,-30,-31,-32,12
Chile,Santiago Metropolitan Region,2021-02-09,-31,-10,-34,-32,-32,12
Chile,Santiago Metropolitan Region,2021-02-10,-32,-13,-32,-33,-31,13
Chile,Santiago Metropolitan Region,2021-02-11,-32,-12,-33,-32,-31,13
Chile,Santiago Metropolitan Region,2021-02-12,-33,-11,-35,-33,-31,14
Chile,Santiago Metropolitan Region,2021-02-13,-36,-13,-38,-29,-18,11
Chile,Santiago Metropolitan Region,2021-02-14,-29,-16,-28,-23,-8,9
Chile,Santiago Metropolitan Region,2021-02-15,-29,-11,-32,-32,-32,12
Chile,Santiago Metropolitan Region,2021-02-16,-30,-9,-36,-32,-32,13
Chile,Santiago Metropolitan Region,2021-02-17,-33,-13,-35,-32,-30,14
Chile,Santiago Metropolitan Region,2021-02-18,-31,-10,-31,-31,-31,14
Chile,Santiago Metropolitan Region,2021-02-19,-34,-10,-33,-32,-30,14
Chile,Santiago Metropolitan Region,2021-02-20,-36,-13,-35,-28,-17,11
Chile,Santiago Metropolitan Region,2021-02-21,-37,-17,-32,-26,-13,9
Chile,Santiago Metropolitan Region,2021-02-22,-29,-8,-30,-30,-29,12
Chile,Santiago Metropolitan Region,2021-02-23,-29,-7,-31,-29,-28,12
Chile,Santiago Metropolitan Region,2021-02-24,-29,-9,-30,-29,-27,13
Chile,Santiago Metropolitan Region,2021-02-25,-28,-5,-28,-28,-27,13
Chile,Santiago Metropolitan Region,2021-02-26,-27,-2,-30,-26,-26,13
Chile,Santiago Metropolitan Region,2021-02-27,-27,-1,-30,-21,-15,9
Chile,Santiago Metropolitan Region,2021-02-28,-26,-3,-27,-17,-10,9
Chile,Santiago Metropolitan Region,2021-03-01,-23,4,-25,-24,-25,12
Chile,Santiago Metropolitan Region,2021-03-02,-23,5,-28,-24,-24,12
