Date,Indonesia,Angola,Querétaro,Rio de Janeiro,Metropolitana
173,9.89E-05,0.001633678919259,0.038756438351998,0.076947084963126,0.068060935336942
174,9.59E-05,0.001853597235313,0.023548215707543,0.065635714639726,0.062645598709772
175,9.49E-05,0.003927112786679,0.014717634817214,0.074268076202321,0.055753352093372
176,0.000120457,0.001947847942193,0.048077607069567,0.051198834095387,0.043938072179545
177,9.11E-05,0.001759346528432,0.044643492278884,0.056854519257087,0.057599489579908
178,0.000113933,0.001665095821552,0.035812911388555,0.086174781805899,0.066584025347714
179,0.000130479,0.001602262016965,0.050530546205769,0.142433965782807,0.068799390331557
180,8.31E-05,0.004084197298146,0.04071878966096,0.101653499090551,0.078891608591284
181,0.000101736,0.003330191643104,0.021095276571341,0.084388775965362,0.059322551234008
182,0.000122348,0.003581526861451,0.016679986126176,0.069058892500755,0.052184152952737
183,,0.001853597235313,0.058379951441617,0.078286589343528,0.057230262082601
184,,0.001665095821552,0.044643492278884,0.044203644553285,0.064737887861178
185,,0.002827521206409,0.047587019242326,0.078881924623707,0.070030148655914
186,,0.003958529688973,0.034831735734074,0.095700146288762,0.070522451985656
187,,0.003738611372919,0.050039958378529,0.09942099178988,0.076183940277699
188,,0.003989946591266,0.029925857461669,0.106565015152027,0.058584096239393
189,,0.003518693056865,0.026001154843745,0.073523907102097,0.043076541352495
190,,0.003612943763745,0.050530546205769,0.054473178136371,0.063137902039514
191,,0.002576185988062,0.041699965315441,0.047329154774224,0.057722565412344
192,,0.001445177505498,0.058870539268857,0.084686443605452,0.05009186380133
193,,0.002481935281181,0.045134080106124,0.092574636067822,0.066214797850407
194,,0.003393025447691,0.044152904451643,0.073672740922142,0.059076399569136
195,,0.00210493245366,0.024529391362024,0.07203556890165,0.056984110417729
196,,0.004461200125668,0.014717634817214,0.078881924623707,0.039630418044296
197,,0.003047439522463,0.068682295813667,0.045989650393822,0.046399588828259
198,,0.004995287464656,0.064757593195743,0.055515014876685,0.056122579590679
199,,0.00100534087339,0.066229356677465,0.072630904181829,0.047138043822873
200,,0.00402136349356,0.053964660996453,0.07203556890165,0.051322622125687
201,,0.00612629594722,0.048568194896807,0.059533528017892,0.055753352093372
202,,0,0.040228201833719,0.070100729241068,0.024369014822269
203,,0.00732013823437,0.029435269634429,0.075161079122589,0.027445910633161
204,,0.002293433867421,0.067210532331946,0.045989650393822,0.040861176368653
205,,0.006754633993088,0.077512876703996,0.034827113890467,0.049353408806716
206,,0.003770028275212,0.054455248823693,0.072184402721694,0.053414911277094
207,,0.003832862079799,0.054455248823693,0.079774927543976,0.061660992050286
208,,0.006032045240339,0.060342302750579,0.064891545539503,0.051322622125687
209,,0.00521520578071,0.028454093979948,0.093616472808136,0.052922607947351
210,,0.007854225573358,0.023057627880303,0.07173790126156,0.036430446400967
211,,0.003958529688973,0.055436424478174,0.161335860928488,0.057353337915036
212,,0.007540056550424,0.055927012305415,0.044947813653509,0.051322622125687
213,,0.005026704366949,0.053474073169212,0.075161079122589,0.057599489579908
214,,0.006503298774741,0.034341147906834,0.065486880819682,0.03950734221186
215,,0.006911718504555,0.046115255760605,0.054919679596506,0.043938072179545
216,,0.009079484762802,0.017170573953417,0.061468367678474,0.044676527174159
217,,0.007665724159598,0.02011410091686,0.058938192737713,0.02978435144944
218,,0.007759974866478,0.052002309687491,0.071142565981381,0.035322763909046
219,,0.006189129751806,0.037284674870276,0.039589796131898,0.037907356390196
220,,0.011153000314169,0.016189398298936,0.045543148933688,0.052184152952737
221,,0.008262645303173,0.040228201833719,0.062361370598742,0.041353479698395
222,,0.007131636820609,0.038265850524757,0.0635520411591,0.045414982168773
223,,0.006377631165567,0.029925857461669,0.075161079122589,0.038399659719939
224,,0.00612629594722,0.022076452225822,0.068314723400531,0.032861247260332
225,,0.009079484762802,0.058870539268857,0.060426530938161,0.030892033941361
