Region,Categoria,Fecha,Total
Los Ríos,Casos confirmados recuperados,2020-03-05,
Los Lagos,Casos confirmados recuperados,2020-03-05,
Aysén,Casos confirmados recuperados,2020-03-05,
Magallanes,Casos confirmados recuperados,2020-03-05,
Total,Casos confirmados recuperados,2020-03-05,
Arica y Parinacota,Casos activos confirmados,2020-03-05,
Tarapacá,Casos activos confirmados,2020-03-05,
Antofagasta,Casos activos confirmados,2020-03-05,
Atacama,Casos activos confirmados,2020-03-05,
Coquimbo,Casos activos confirmados,2020-03-05,
Valparaíso,Casos activos confirmados,2020-03-05,
Metropolitana,Casos activos confirmados,2020-03-05,
O'Higgins,Casos activos confirmados,2020-03-05,
Maule,Casos activos confirmados,2020-03-05,
Ñuble,Casos activos confirmados,2020-03-05,
Biobío,Casos activos confirmados,2020-03-05,
Araucania,Casos activos confirmados,2020-03-05,
Los Ríos,Casos activos confirmados,2020-03-05,
Los Lagos,Casos activos confirmados,2020-03-05,
Aysén,Casos activos confirmados,2020-03-05,
Magallanes,Casos activos confirmados,2020-03-05,
Total,Casos activos confirmados,2020-03-05,
Arica y Parinacota,Casos activos probables,2020-03-05,
Tarapacá,Casos activos probables,2020-03-05,
Antofagasta,Casos activos probables,2020-03-05,
Atacama,Casos activos probables,2020-03-05,
Coquimbo,Casos activos probables,2020-03-05,
Valparaíso,Casos activos probables,2020-03-05,
Metropolitana,Casos activos probables,2020-03-05,
O'Higgins,Casos activos probables,2020-03-05,
Maule,Casos activos probables,2020-03-05,
Ñuble,Casos activos probables,2020-03-05,
Biobío,Casos activos probables,2020-03-05,
Araucania,Casos activos probables,2020-03-05,
Los Ríos,Casos activos probables,2020-03-05,
Los Lagos,Casos activos probables,2020-03-05,
Aysén,Casos activos probables,2020-03-05,
Magallanes,Casos activos probables,2020-03-05,
Total,Casos activos probables,2020-03-05,
Arica y Parinacota,Casos probables acumulados,2020-03-05,
Tarapacá,Casos probables acumulados,2020-03-05,
Antofagasta,Casos probables acumulados,2020-03-05,
Atacama,Casos probables acumulados,2020-03-05,
Coquimbo,Casos probables acumulados,2020-03-05,
Valparaíso,Casos probables acumulados,2020-03-05,
Metropolitana,Casos probables acumulados,2020-03-05,
O'Higgins,Casos probables acumulados,2020-03-05,
Maule,Casos probables acumulados,2020-03-05,
Ñuble,Casos probables acumulados,2020-03-05,
Biobío,Casos probables acumulados,2020-03-05,
Araucania,Casos probables acumulados,2020-03-05,
Los Ríos,Casos probables acumulados,2020-03-05,
Los Lagos,Casos probables acumulados,2020-03-05,
Aysén,Casos probables acumulados,2020-03-05,
Magallanes,Casos probables acumulados,2020-03-05,
Total,Casos probables acumulados,2020-03-05,
Arica y Parinacota,Casos acumulados,2020-03-06,0.0
Tarapacá,Casos acumulados,2020-03-06,0.0
Antofagasta,Casos acumulados,2020-03-06,0.0
Atacama,Casos acumulados,2020-03-06,0.0
Coquimbo,Casos acumulados,2020-03-06,0.0
Valparaíso,Casos acumulados,2020-03-06,0.0
Metropolitana,Casos acumulados,2020-03-06,3.0
O’Higgins,Casos acumulados,2020-03-06,0.0
Maule,Casos acumulados,2020-03-06,2.0
Ñuble,Casos acumulados,2020-03-06,0.0
Biobío,Casos acumulados,2020-03-06,0.0
Araucanía,Casos acumulados,2020-03-06,0.0
Los Ríos,Casos acumulados,2020-03-06,0.0
Los Lagos,Casos acumulados,2020-03-06,0.0
Aysén,Casos acumulados,2020-03-06,0.0
