Region,Codigo region,Comuna,Codigo comuna,2020-01-02,2020-01-03,2020-01-06,2020-01-07,2020-01-08,2020-01-09,2020-01-10,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-17,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-28,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28
Biobío,8,Curanilahue,8205,7,8,7,6,3,2,4,4,5,5,3,3,13,5,3,2,3,0,5,6,2,3,2,6,3,1,3,2,4,4,4,1,5,4,0,3,2,5,3,8,1,6,1,8,7,3,1,2,4,2,3,2,2,8,5,4,6,2,5,8,2,1,0,2,3,2,1,3,6,8,4,2,9,2,2,4,6,9,1,3,2,3,5,5,7,2,9,2,3,3,7,8,3,2,5,3,0,5,4,5,0,6,9,3,6,1,4,2,6,1,1,6,13,5,2,4,5,4,7,0,4,3,0,8,4,0,5,5,0,8,0,5,1,0,8,7,0,14,10,0,7,4,0,0,9,0,9,5,0,2,4,1,2,9,3,0,5,2,1,0,6,1,0,5,4,0,0,6,4,0,6,4,1,0,6,6,0,7,7,0,0,6,5,4,1,4
Biobío,8,Hualpén,8112,11,11,8,5,4,7,6,9,6,7,3,6,10,4,5,5,6,0,5,3,3,7,7,6,1,4,4,8,17,4,5,3,8,4,5,7,5,8,4,2,5,7,3,10,7,7,7,4,9,4,4,4,8,12,5,6,7,9,6,3,9,0,9,11,5,7,8,3,5,6,6,4,3,8,6,5,4,8,4,5,2,6,7,7,6,6,14,4,2,5,6,11,7,3,5,8,0,8,6,2,0,7,10,2,9,6,3,11,5,5,4,14,8,6,5,4,7,8,13,7,6,9,0,9,8,10,8,6,0,16,5,8,9,0,11,2,7,6,5,0,9,8,7,0,7,0,10,7,12,6,5,0,0,9,5,2,6,9,0,0,12,7,2,3,7,0,0,16,6,6,6,8,0,0,11,7,7,5,11,0,0,13,8,4,4,4
Biobío,8,Hualqui,8105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biobío,8,Laja,8304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biobío,8,Lebu,8201,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Biobío,8,Los Alamos,8206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Biobío,8,Los Angeles,8301,19,16,21,19,18,14,13,26,16,15,17,17,24,21,12,12,24,0,33,22,11,15,11,18,14,11,15,26,26,13,14,13,9,33,14,18,9,7,22,22,10,12,18,25,15,23,13,13,26,16,13,13,12,17,12,19,12,14,18,15,22,13,17,21,21,15,20,12,13,12,15,24,20,19,17,19,18,23,13,20,14,13,18,22,15,16,9,26,28,19,19,26,13,21,19,15,0,16,20,14,0,24,21,17,13,23,16,22,19,16,15,16,16,18,12,5,15,37,9,18,16,17,0,20,24,16,11,12,0,17,16,16,20,0,27,18,15,8,14,0,24,20,16,0,16,0,33,18,18,19,15,1,0,22,24,13,9,5,7,9,22,18,9,14,8,3,3,23,25,16,11,11,9,3,18,19,10,10,7,7,0,24,23,13,12,15
Biobío,8,Lota,8106,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,1,0,3,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,2,0,0,0,0,0,2,2,3,1,0,0,1,3,0,3,0,0,1,1,0,0,0,1,0,0,0,0,0,4,0,1,0,0,2,0,1,1,1,1,0,1,5,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,1,0,1,0,1,1,0,2,0,1,0,4,0,0,0,0,0,2,0,2,2,0,2,0,2,0,0,0,0,0,4,0,0,4,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,4,0,0,2,1,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,3,0,0,3,0,1,0,2,0,0
Biobío,8,Mulchén,8305,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Biobío,8,Nacimiento,8306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biobío,8,Penco,8107,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Biobío,8,San Pedro de la Paz,8108,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biobío,8,Santa Bárbara,8311,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Biobío,8,Santa Juana,8109,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biobío,8,Talcahuano,8110,21,6,16,13,9,6,17,21,11,9,9,13,18,13,18,8,9,0,24,9,12,12,9,16,8,8,4,6,17,20,12,6,6,19,14,6,5,11,20,10,15,9,10,21,9,7,13,5,20,17,9,16,9,27,12,16,8,5,11,9,8,7,12,14,11,8,6,6,19,8,5,9,19,11,7,7,9,15,13,7,8,8,24,10,9,9,21,15,5,14,11,14,11,5,6,7,0,15,11,14,0,14,17,17,11,9,9,22,12,10,9,9,18,8,8,8,10,19,11,8,7,9,0,19,18,4,8,16,0,24,12,12,20,0,22,17,11,5,12,0,14,8,13,0,22,0,15,10,7,10,9,0,0,18,9,7,10,5,0,0,14,17,7,10,5,1,0,15,14,9,5,5,0,0,17,12,9,10,12,0,0,16,8,14,10,11
Biobío,8,Tirúa,8207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biobío,8,Tomé,8111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biobío,8,Yumbel,8313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coquimbo,4,Andacollo,4103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Coquimbo,4,Combarbalá,4302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coquimbo,4,Coquimbo,4102,9,10,19,4,13,6,6,10,7,7,2,4,20,5,15,7,3,0,16,9,12,13,14,14,11,4,9,2,18,9,5,7,7,4,13,13,4,1,8,15,7,7,9,15,8,7,7,9,8,4,6,3,9,13,8,4,8,12,19,5,11,6,6,8,5,7,10,10,17,7,9,12,10,9,8,12,10,16,9,8,4,11,16,4,8,9,16,18,3,9,6,3,7,5,5,4,0,12,7,4,0,10,9,3,9,10,6,14,9,7,9,9,18,6,0,4,3,8,0,7,12,9,0,16,9,12,6,9,0,10,8,3,6,0,0,9,5,14,9,0,10,7,9,0,11,0,16,14,6,6,8,0,0,11,9,9,4,9,0,0,10,9,8,9,7,0,0,13,9,6,5,6,0,0,16,8,4,5,4,0,0,14,7,8,4,12
Coquimbo,4,Illapel,4201,3,1,5,4,5,2,1,1,2,1,2,1,3,0,6,0,3,0,5,2,3,2,3,6,1,4,3,1,4,4,2,3,3,3,3,4,2,2,5,0,1,2,4,2,1,4,2,4,5,2,0,5,2,3,3,6,0,2,2,1,1,4,1,2,0,3,0,3,2,2,1,2,0,2,2,2,5,3,0,0,2,3,4,6,1,5,3,7,2,4,1,0,4,1,4,4,0,6,1,4,0,2,3,3,6,6,3,3,5,1,4,1,3,0,1,2,4,1,0,3,0,0,0,2,2,3,4,2,0,1,4,3,4,0,9,3,4,3,4,0,6,4,1,0,1,0,2,1,3,4,4,0,0,2,0,1,3,3,0,0,3,5,0,4,1,0,0,1,4,2,7,4,0,0,1,4,2,2,3,1,0,4,0,1,0,0
Coquimbo,4,La Serena,4101,22,21,24,15,14,12,10,24,10,11,6,10,18,16,3,10,13,0,30,17,7,19,12,20,13,18,11,14,26,6,19,11,16,28,14,17,6,14,26,8,20,7,15,15,11,16,15,14,24,7,6,12,12,25,6,7,10,10,9,10,9,9,12,11,16,6,14,12,13,15,5,11,29,20,7,16,18,18,21,17,18,17,11,16,12,11,27,12,17,17,16,24,18,5,12,14,0,17,13,13,0,8,20,9,8,15,14,16,22,17,18,10,11,12,9,15,15,22,18,17,9,11,0,19,12,13,3,11,0,32,22,14,13,0,17,9,11,9,15,0,20,11,12,0,11,0,27,12,14,13,11,0,0,18,16,13,5,3,0,0,19,14,13,10,8,0,0,14,20,4,7,8,1,0,18,15,11,8,8,2,0,19,11,4,7,13
Coquimbo,4,Los Vilos,4203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
Coquimbo,4,Monte Patria,4303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coquimbo,4,Ovalle,4301,3,10,17,11,3,3,7,10,7,3,3,6,9,3,6,3,6,0,13,8,3,8,3,16,6,5,3,6,8,9,7,3,9,8,5,6,7,5,9,3,3,4,9,14,4,5,5,3,10,5,3,8,5,8,5,4,3,7,9,5,3,3,1,4,2,9,3,6,3,6,6,3,6,4,11,8,7,6,4,3,5,2,8,8,3,7,11,5,2,5,7,8,4,7,6,8,0,8,8,5,0,3,10,4,7,7,6,8,14,2,8,9,12,8,2,4,7,6,6,6,8,6,2,7,5,7,6,6,0,9,9,10,6,0,8,6,4,3,7,0,10,4,7,0,4,0,8,3,3,5,9,0,0,9,2,9,2,4,0,0,7,9,3,4,2,0,0,11,11,11,2,6,0,0,5,7,1,12,4,0,0,9,2,3,2,4
Coquimbo,4,Paiguano,4105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coquimbo,4,Salamanca,4204,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coquimbo,4,Vicuña,4106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
La Araucanía,9,Angol,9201,3,4,9,2,3,1,3,5,4,4,7,3,5,6,4,2,2,0,12,2,6,2,5,2,3,4,2,4,7,5,7,1,5,5,6,1,4,6,9,4,6,2,6,2,2,4,1,2,5,5,2,4,1,6,2,4,1,1,5,0,0,1,1,2,2,3,3,2,5,1,3,1,4,2,8,3,5,8,4,2,3,4,7,7,7,2,2,1,1,8,1,3,1,2,7,1,0,10,2,9,0,4,3,4,3,2,5,3,1,2,4,4,1,7,2,5,2,4,2,5,4,1,0,7,2,0,7,6,0,5,1,3,2,0,4,3,1,1,1,0,4,4,2,0,5,0,4,1,3,3,6,0,0,2,6,2,0,4,0,0,3,3,3,2,2,0,0,2,4,2,1,4,0,0,3,1,2,3,4,0,0,6,4,6,1,3
La Araucanía,9,Carahue,9102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Araucanía,9,Collipulli,9202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
