Region,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Arica y Parinacota,Atacama,Atacama,Atacama,Atacama,Atacama,Atacama,Atacama,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Magallanes y de la Antártica Chilena,Magallanes y de la Antártica Chilena,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Tarapacá,Tarapacá,Tarapacá,Tarapacá,Tarapacá,Tarapacá,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble
2020-02-13,17,4,0,0,0,0,0,12,0,0,11,0,0,0,2,0,0,0,1,0,0,0,0,0,0,16,0,1,1,3,0,0,0,0,13,0,0,0,0,0,0,0,6,0,0,0,0,0,7,3,11,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,18,1,1,0,5,2,0,3,0,0,0,0,0,0,9,9,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,3,2,0,0,1,10,0,0,7,0,0,2,0,0,0,0,0,0,12,0,0,0,3,0,0,0,0,0,0,0,0,21,0,28,0,21,0,0,0,0,13,0,0,0,8,5,0,0,0,0,10,0,25,0,17,0,14,20,0,16,0,0,12,9,49,9,0,12,6,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,6,7,0,0,4,4,7,0,22,0,0,12,0,0,0,0,0,0,4,0,0
2020-02-14,24,8,0,0,0,0,0,11,0,0,3,0,0,0,2,0,0,0,2,0,0,0,0,2,0,23,0,0,5,8,0,0,0,0,9,1,0,0,0,0,0,0,6,0,0,0,0,0,7,3,16,0,0,9,0,0,0,5,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,20,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,27,2,5,0,3,1,0,3,0,0,0,0,0,0,11,16,0,0,0,0,0,2,0,0,0,2,1,0,0,2,0,0,8,1,7,3,0,0,0,13,0,0,8,0,0,0,0,0,0,0,0,0,14,0,0,0,3,0,0,0,0,0,0,0,0,17,0,30,0,13,0,0,0,0,18,0,0,0,12,3,0,0,0,0,11,0,30,0,11,0,14,22,0,15,0,0,7,11,64,10,0,13,2,0,0,0,23,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,1,1,0,4,0,0,0,0,4,8,0,0,6,10,12,0,33,0,0,15,0,0,0,0,0,0,3,0,0
2020-02-17,32,15,0,0,0,0,1,16,0,0,17,0,0,0,4,0,0,0,3,0,0,0,0,0,0,23,0,5,4,4,0,0,0,0,33,1,0,0,0,0,0,0,19,0,0,0,0,0,4,3,28,1,0,8,0,0,0,5,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,34,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,44,7,9,0,7,1,0,5,1,0,0,0,0,0,8,24,5,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,27,0,7,0,0,0,0,20,0,0,8,0,0,2,0,0,0,0,0,1,29,0,0,0,8,0,0,0,0,0,0,0,0,23,0,61,0,22,0,0,0,0,17,0,0,0,19,14,0,0,0,1,33,0,32,0,31,0,26,29,0,37,0,0,32,24,68,8,0,32,1,0,0,0,33,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,14,10,0,0,15,10,9,0,42,0,0,21,0,0,0,0,0,0,8,0,0
2020-02-18,17,7,0,0,0,0,0,11,0,0,7,0,0,0,3,0,0,0,4,0,0,0,0,1,0,14,0,1,0,5,0,0,0,0,14,0,0,0,0,0,0,0,14,0,0,0,0,0,13,3,14,0,0,5,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,31,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,17,7,6,3,5,2,0,3,0,0,0,0,0,0,15,15,2,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,5,0,7,1,0,0,2,7,0,0,12,0,0,1,0,0,0,0,0,0,19,0,0,0,2,0,0,0,0,0,0,0,0,12,0,45,0,25,0,0,0,0,10,0,0,0,7,6,0,0,0,0,14,0,28,0,11,0,9,16,0,13,0,0,13,7,80,3,0,10,4,0,0,0,21,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,8,11,0,0,6,8,4,0,25,0,0,14,0,0,0,0,0,0,2,0,0
2020-02-19,11,6,0,0,0,0,0,16,0,1,9,0,0,0,4,0,0,0,2,0,0,0,0,2,0,15,0,2,3,7,0,0,0,0,18,2,0,0,0,0,0,0,6,0,0,0,0,0,13,4,17,0,0,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,28,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31,4,12,3,4,0,0,2,0,0,0,0,0,0,7,16,8,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,17,0,7,2,0,0,0,15,0,0,6,0,0,2,0,0,0,0,0,0,19,0,0,0,1,0,0,0,0,0,0,0,0,13,0,32,0,23,0,0,0,0,13,0,0,0,8,4,0,0,0,0,15,0,20,0,8,0,13,8,0,15,0,0,17,13,59,5,0,7,1,1,0,0,13,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,8,5,0,0,5,6,5,0,28,0,1,15,0,0,0,0,1,0,3,0,0
2020-02-20,14,5,0,0,0,0,0,3,0,0,10,0,0,0,2,0,0,0,2,0,0,0,0,1,0,11,0,1,2,5,0,1,0,0,9,0,0,0,0,0,0,0,5,0,0,0,0,0,4,2,6,0,0,7,0,0,0,4,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,23,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,7,0,3,3,0,1,0,0,0,0,0,0,10,18,2,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,24,3,3,2,0,0,1,0,0,0,9,0,0,1,0,0,0,0,0,1,14,0,0,0,5,0,0,0,0,0,0,0,0,13,1,30,0,17,0,0,0,0,14,0,0,0,16,7,0,0,0,0,15,0,29,0,4,0,9,14,0,10,0,0,15,6,51,7,0,20,4,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,2,1,0,4,3,9,0,24,0,1,10,0,0,0,0,0,0,2,0,0
2020-02-21,16,4,0,0,0,0,0,15,0,0,1,0,0,0,1,0,0,0,5,0,0,0,0,1,0,15,0,1,5,8,0,0,0,0,7,0,0,1,1,0,0,0,11,0,1,0,0,0,1,2,14,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,30,3,7,0,4,2,0,6,0,0,0,0,0,0,6,16,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,9,0,3,4,0,0,1,19,0,0,5,0,0,1,0,0,0,0,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,19,0,33,0,9,0,0,0,0,13,0,0,0,13,8,0,0,0,1,17,0,32,0,13,0,4,26,0,16,0,0,12,11,52,8,0,22,4,0,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,4,8,0,0,3,3,6,0,27,0,1,15,0,0,0,0,0,0,3,0,0
2020-02-24,30,12,0,0,0,0,0,26,0,0,15,0,0,0,2,1,0,0,6,0,0,0,0,4,0,34,0,3,3,4,0,0,0,0,22,0,0,0,0,0,0,0,20,0,0,0,0,0,8,5,26,0,0,9,0,2,0,9,0,0,0,0,0,0,0,0,0,0,4,1,3,0,0,43,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,43,5,6,0,7,1,0,5,0,0,0,0,0,0,17,30,6,0,0,0,0,1,0,0,0,3,0,0,1,1,0,0,23,0,7,0,0,0,1,19,0,0,12,0,0,2,0,0,0,0,0,0,41,0,0,0,6,0,0,0,0,0,0,0,0,33,0,37,0,31,0,0,0,0,20,0,0,0,15,12,0,0,0,0,26,0,34,0,26,0,15,28,0,30,0,0,29,27,92,6,0,26,8,0,0,0,35,0,0,0,0,4,1,0,0,0,0,0,0,0,2,0,1,0,0,4,1,0,0,0,3,8,1,0,4,2,19,0,33,0,0,21,0,0,0,0,0,0,4,0,0
2020-02-25,12,6,0,0,0,0,0,15,0,0,9,0,0,0,3,0,0,0,1,0,0,0,0,2,0,16,0,3,8,2,0,0,1,0,22,0,0,0,0,0,0,0,10,0,1,0,0,0,15,0,8,0,0,3,0,0,0,4,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,31,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,11,7,2,1,2,1,0,7,0,0,0,0,0,0,7,9,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,6,1,6,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,1,31,0,0,0,2,0,0,0,0,0,0,0,0,13,0,36,0,19,0,1,0,0,6,0,0,0,15,6,0,0,0,1,17,0,24,0,17,0,12,18,0,11,0,0,17,10,65,3,0,15,3,0,0,0,18,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,13,11,0,0,6,13,14,0,22,0,0,15,0,0,0,0,0,0,7,0,0
2020-02-26,19,7,0,0,0,0,0,8,0,0,8,0,0,0,2,0,0,0,3,0,0,0,0,1,0,17,0,4,1,5,0,0,0,0,10,0,0,0,0,0,0,0,15,0,1,0,0,0,7,1,20,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,4,5,1,5,1,0,0,0,0,0,0,0,0,6,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,9,0,2,0,0,0,0,13,0,0,7,0,0,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,22,0,27,0,22,0,0,0,0,16,0,0,0,3,10,0,0,0,0,12,0,26,0,20,0,11,21,0,9,0,0,10,11,58,5,0,16,2,0,0,0,15,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,7,7,0,0,9,7,5,0,29,0,0,19,0,0,0,0,0,0,1,0,0
2020-02-27,9,8,0,0,0,0,0,11,0,0,9,0,0,0,4,0,0,0,3,0,0,0,0,0,0,13,0,1,6,7,0,0,0,0,12,2,0,0,0,0,0,0,9,0,0,0,0,0,7,2,7,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,20,0,0,0,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,16,1,8,1,2,1,0,3,0,0,0,0,0,0,8,12,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,15,1,4,0,0,0,1,11,0,0,8,0,0,3,0,0,0,0,0,0,24,1,0,0,2,0,0,0,0,0,0,0,0,11,0,30,0,18,0,0,0,0,10,0,0,0,13,2,0,0,0,0,16,0,23,0,13,0,5,16,0,18,0,0,7,10,40,3,0,9,4,0,0,0,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,5,0,0,10,3,4,0,18,0,0,8,0,0,0,0,1,0,4,0,0
2020-02-28,24,4,0,0,0,0,0,12,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,22,0,4,1,3,0,0,0,0,18,2,1,0,0,0,0,0,10,0,0,0,0,0,9,4,15,0,0,9,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,33,4,5,0,1,0,0,6,0,0,0,0,0,0,8,12,4,0,1,0,1,1,0,0,0,2,0,0,0,0,0,0,11,0,10,0,0,0,0,20,1,0,8,0,0,1,0,0,0,0,0,2,17,0,0,0,4,0,0,0,0,0,0,0,0,14,0,27,0,26,0,0,0,0,20,0,0,0,12,4,0,0,0,0,18,0,33,0,12,0,5,18,0,11,0,0,22,9,57,3,0,17,0,0,0,0,19,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,3,5,0,0,5,12,6,0,27,0,0,25,0,0,0,0,0,0,1,0,0
2020-03-02,31,19,0,0,0,0,1,19,0,0,19,0,0,0,2,0,0,0,6,0,0,0,0,2,0,20,0,7,8,10,0,0,1,0,25,3,0,0,0,0,0,0,21,0,0,0,0,0,15,2,15,0,0,14,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,42,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,40,6,6,0,10,3,0,5,0,0,0,0,0,0,13,22,5,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,20,0,9,0,0,0,0,13,0,0,10,0,0,3,0,0,0,0,0,3,31,0,0,0,4,0,0,0,0,0,0,0,0,19,0,44,0,34,0,0,0,1,21,0,0,0,22,15,0,0,0,0,37,0,44,0,25,0,15,26,0,26,0,0,21,17,81,6,0,25,3,0,0,0,32,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,1,0,0,10,0,0,0,0,11,16,0,0,4,8,8,0,34,0,0,16,0,0,0,0,0,0,1,0,0
2020-03-03,14,9,0,0,0,0,0,8,0,0,12,0,0,0,3,0,0,0,3,0,0,0,0,2,0,19,0,4,7,7,2,0,0,0,15,1,0,0,0,0,0,0,9,0,0,0,0,0,8,1,11,1,0,4,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,3,1,0,0,22,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,7,0,3,2,0,5,0,0,0,0,0,0,16,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,5,4,0,0,0,6,0,0,9,0,0,3,0,0,0,0,0,1,38,0,0,0,2,0,0,0,0,0,0,0,0,18,0,33,0,15,0,0,0,0,18,0,0,0,11,7,0,0,0,0,17,0,18,0,17,0,9,25,0,16,0,1,14,11,50,7,0,11,6,0,0,0,13,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,8,9,0,0,10,6,11,0,40,0,1,12,0,0,0,0,1,0,1,0,0
2020-03-04,15,6,0,0,0,0,1,11,0,0,8,0,0,0,2,0,0,0,3,0,0,0,0,1,0,18,0,0,3,7,0,0,0,0,23,0,0,0,0,0,0,0,7,0,0,0,0,0,7,4,16,0,0,5,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2,7,0,1,3,0,2,0,0,0,0,0,0,8,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,2,0,0,0,13,0,0,7,0,0,3,0,0,0,0,0,0,21,0,0,0,2,0,0,0,0,0,0,0,0,15,0,33,0,23,0,0,0,0,9,0,0,0,11,5,0,0,0,1,14,0,23,0,14,0,11,18,0,7,0,0,9,12,43,5,0,12,2,1,0,0,9,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,8,0,0,5,2,7,0,27,0,0,9,0,0,0,0,0,0,1,0,0
2020-03-05,8,1,0,0,1,0,1,9,0,0,6,0,0,0,4,0,0,0,1,0,0,0,0,1,0,13,0,2,1,7,0,0,0,0,13,0,0,0,0,0,0,0,13,0,0,0,0,0,7,2,15,0,0,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,2,0,3,0,0,3,0,0,0,0,0,0,9,14,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,18,0,3,2,0,0,1,5,0,0,6,0,0,5,0,0,0,0,0,0,13,0,0,0,10,0,0,0,0,0,0,0,0,19,0,34,0,24,0,0,0,0,12,0,0,0,9,3,0,0,0,1,19,0,30,0,7,0,10,19,0,14,0,0,4,7,52,4,0,11,2,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,7,9,0,0,2,3,7,0,32,0,0,13,0,0,0,0,0,0,2,0,0
2020-03-06,24,7,1,0,0,0,0,9,0,1,12,0,0,0,3,0,0,0,3,0,0,0,0,2,0,16,0,4,2,4,0,0,0,0,13,1,0,0,0,0,0,0,5,0,0,0,0,0,9,4,14,0,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,33,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31,2,3,1,2,1,0,7,0,0,0,0,0,0,8,15,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,10,0,7,3,0,0,0,12,0,0,10,0,0,0,0,0,0,0,0,3,19,0,0,0,7,0,0,0,0,0,0,0,0,24,0,34,0,20,0,0,0,0,16,0,0,0,9,6,0,0,0,0,18,0,36,0,13,0,14,23,0,14,0,0,14,16,64,5,0,15,2,0,0,0,17,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,1,0,0,8,0,0,0,0,9,10,0,0,7,7,9,0,33,0,0,17,0,0,0,0,0,0,3,0,0
2020-03-09,30,12,0,0,0,0,1,25,0,0,14,0,0,0,0,1,0,0,8,0,0,0,0,1,0,19,0,7,4,9,0,1,0,0,26,3,0,0,0,0,0,0,20,0,0,0,0,0,8,5,24,0,0,10,0,0,0,5,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,43,0,0,0,5,9,0,0,1,0,0,0,0,0,0,0,0,0,0,31,7,12,0,1,2,1,6,0,0,0,0,0,0,17,25,2,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,17,4,9,3,0,0,0,11,0,0,4,0,0,3,0,0,0,0,0,1,22,0,0,0,4,0,0,0,0,0,0,0,0,30,0,52,0,32,0,0,0,0,17,0,0,0,19,19,0,0,0,0,32,0,42,1,41,0,18,33,0,41,0,0,35,16,87,10,0,29,3,1,0,0,21,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,11,17,0,0,7,13,12,0,27,0,0,23,0,0,0,0,0,0,12,0,0
2020-03-10,20,7,0,0,0,0,2,14,0,0,6,0,0,0,3,0,0,0,3,1,0,0,0,2,0,21,0,3,2,4,0,0,0,0,16,0,0,0,0,0,0,0,17,0,0,0,0,0,4,2,7,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,5,0,3,1,0,5,0,0,0,0,0,0,13,14,1,0,0,0,0,3,0,0,0,2,0,1,0,0,2,0,12,0,2,1,0,0,0,14,0,0,5,0,0,2,0,0,0,0,0,0,15,0,0,0,1,0,0,0,0,0,0,0,1,15,0,32,0,23,0,0,0,0,10,0,0,0,6,5,0,0,0,0,15,0,34,0,25,0,16,19,0,14,0,0,15,16,61,4,1,10,3,0,0,0,23,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,5,1,0,11,5,11,0,21,0,0,9,0,0,0,0,0,0,3,0,0
2020-03-11,21,7,0,0,0,0,0,7,0,1,9,0,0,0,1,0,0,0,4,0,0,0,0,1,0,13,0,5,3,4,0,1,0,0,13,3,0,0,0,0,0,0,9,0,0,0,0,0,6,0,6,0,0,3,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,19,0,0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,23,1,3,0,1,1,0,5,0,0,0,0,0,0,7,17,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,17,1,2,2,0,0,1,9,0,0,7,0,0,2,0,0,0,0,0,0,18,0,0,0,1,0,0,0,0,0,0,0,0,18,0,21,0,20,0,0,0,0,11,0,0,0,11,3,0,0,0,0,14,0,30,0,11,0,6,16,0,17,0,0,13,10,51,2,0,11,3,0,0,0,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,7,0,0,5,8,8,0,34,0,0,13,0,0,0,0,0,0,4,0,0
2020-03-12,24,8,0,0,0,0,0,5,0,0,5,0,0,0,5,0,0,0,3,0,0,0,0,1,0,23,0,3,2,4,0,0,0,0,13,0,0,0,0,0,0,0,16,0,0,0,0,0,3,5,12,0,0,8,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,3,1,4,1,0,3,0,0,0,0,0,0,9,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,2,1,0,0,1,9,0,0,7,0,0,1,0,0,0,0,0,0,18,0,0,0,3,0,0,0,0,0,0,0,0,18,2,22,0,11,0,0,0,0,11,0,0,0,10,6,0,0,0,3,15,0,18,0,9,0,6,21,0,13,0,0,12,12,38,7,0,19,2,0,0,0,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,4,9,2,0,6,9,11,0,20,0,0,19,0,0,0,0,0,0,1,0,0
2020-03-13,17,12,0,0,0,0,0,10,0,0,9,0,0,0,0,0,0,0,3,0,0,0,0,1,0,16,0,2,2,8,0,0,0,0,12,0,0,0,0,0,0,0,9,0,0,0,0,0,9,2,12,0,0,5,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,22,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,26,6,2,2,2,0,0,2,0,0,0,0,0,0,7,16,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,1,2,6,0,0,3,11,0,0,10,0,0,0,0,0,0,0,0,3,12,0,0,0,1,1,0,0,1,0,0,0,0,22,0,33,0,26,0,0,0,0,13,0,0,0,10,8,0,0,0,3,11,0,30,0,15,0,3,18,0,22,0,0,14,8,66,0,0,10,5,0,0,0,17,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,6,15,0,0,8,7,4,0,35,0,0,19,0,0,0,0,0,0,2,0,0
2020-03-16,22,21,0,0,0,0,2,21,0,0,14,0,0,0,6,1,0,0,5,1,0,0,0,0,0,26,0,5,8,12,0,0,0,0,17,1,0,0,1,0,0,0,27,0,0,0,0,0,13,3,25,0,0,8,0,0,0,6,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,51,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,1,0,0,37,6,11,0,6,3,1,6,0,0,0,0,0,0,15,24,2,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,13,0,8,0,0,0,0,19,0,0,9,0,0,3,0,0,0,0,0,3,28,0,0,0,5,0,0,0,0,0,0,0,0,24,0,51,0,34,0,0,0,0,32,0,0,0,17,8,0,0,0,3,30,0,40,0,20,0,27,40,0,24,0,0,24,11,96,17,0,30,2,0,0,0,21,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,11,10,0,0,4,7,9,0,40,0,0,19,0,0,0,0,0,0,2,0,0
2020-03-17,21,3,0,0,0,0,0,13,0,0,11,0,1,0,2,0,0,0,2,0,0,0,0,0,0,12,0,2,5,5,0,0,0,0,12,1,0,0,0,0,0,0,12,0,0,0,0,0,8,3,6,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,23,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2,4,1,5,6,0,7,0,0,0,0,0,0,11,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,6,1,5,1,0,0,1,2,0,0,6,0,0,1,0,0,0,0,0,0,20,0,0,0,1,0,0,0,0,0,0,0,0,9,0,31,0,14,0,0,0,0,10,0,0,0,15,10,0,0,0,2,21,0,27,0,7,0,14,25,0,13,0,0,12,7,48,9,0,17,2,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,4,9,0,0,6,5,11,0,28,0,0,13,1,0,0,0,0,0,4,0,0
