Grupo de edad,Sexo,Fecha,Casos confirmados
35 - 39 años,F,2020-04-15,459
40 - 44 años,F,2020-04-15,414
45 - 49 años,F,2020-04-15,367
50 - 54 años,F,2020-04-15,336
55 - 59 años,F,2020-04-15,283
60 - 64 años,F,2020-04-15,211
65 - 69 años,F,2020-04-15,140
70 - 74 años,F,2020-04-15,110
75 - 79 años,F,2020-04-15,71
80 y más años,F,2020-04-15,117
00 - 04 años,M,2020-04-16,49
05 - 09 años,M,2020-04-16,35
10 - 14 años,M,2020-04-16,65
15 - 19 años,M,2020-04-16,96
20 - 24 años,M,2020-04-16,309
25 - 29 años,M,2020-04-16,519
30 - 34 años,M,2020-04-16,552
35 - 39 años,M,2020-04-16,494
40 - 44 años,M,2020-04-16,437
45 - 49 años,M,2020-04-16,407
50 - 54 años,M,2020-04-16,363
55 - 59 años,M,2020-04-16,319
60 - 64 años,M,2020-04-16,239
65 - 69 años,M,2020-04-16,160
70 - 74 años,M,2020-04-16,132
75 - 79 años,M,2020-04-16,93
80 y más años,M,2020-04-16,97
00 - 04 años,F,2020-04-16,55
05 - 09 años,F,2020-04-16,44
10 - 14 años,F,2020-04-16,54
15 - 19 años,F,2020-04-16,131
20 - 24 años,F,2020-04-16,297
25 - 29 años,F,2020-04-16,543
30 - 34 años,F,2020-04-16,575
35 - 39 años,F,2020-04-16,488
40 - 44 años,F,2020-04-16,446
45 - 49 años,F,2020-04-16,394
50 - 54 años,F,2020-04-16,357
55 - 59 años,F,2020-04-16,302
60 - 64 años,F,2020-04-16,220
65 - 69 años,F,2020-04-16,147
70 - 74 años,F,2020-04-16,118
75 - 79 años,F,2020-04-16,79
80 y más años,F,2020-04-16,124
00 - 04 años,M,2020-04-17,52
05 - 09 años,M,2020-04-17,38
10 - 14 años,M,2020-04-17,71
15 - 19 años,M,2020-04-17,103
20 - 24 años,M,2020-04-17,327
25 - 29 años,M,2020-04-17,558
30 - 34 años,M,2020-04-17,578
35 - 39 años,M,2020-04-17,520
40 - 44 años,M,2020-04-17,455
45 - 49 años,M,2020-04-17,432
50 - 54 años,M,2020-04-17,376
55 - 59 años,M,2020-04-17,336
60 - 64 años,M,2020-04-17,258
65 - 69 años,M,2020-04-17,172
70 - 74 años,M,2020-04-17,140
75 - 79 años,M,2020-04-17,99
80 y más años,M,2020-04-17,101
00 - 04 años,F,2020-04-17,60
05 - 09 años,F,2020-04-17,48
10 - 14 años,F,2020-04-17,57
15 - 19 años,F,2020-04-17,136
20 - 24 años,F,2020-04-17,316
25 - 29 años,F,2020-04-17,574
30 - 34 años,F,2020-04-17,603
35 - 39 años,F,2020-04-17,514
40 - 44 años,F,2020-04-17,472
45 - 49 años,F,2020-04-17,422
50 - 54 años,F,2020-04-17,375
55 - 59 años,F,2020-04-17,321
60 - 64 años,F,2020-04-17,234
65 - 69 años,F,2020-04-17,155
70 - 74 años,F,2020-04-17,127
75 - 79 años,F,2020-04-17,85
80 y más años,F,2020-04-17,137
00 - 04 años,M,2020-04-18,61
05 - 09 años,M,2020-04-18,42
10 - 14 años,M,2020-04-18,81
15 - 19 años,M,2020-04-18,109
20 - 24 años,M,2020-04-18,343
25 - 29 años,M,2020-04-18,577
30 - 34 años,M,2020-04-18,608
35 - 39 años,M,2020-04-18,543
40 - 44 años,M,2020-04-18,467
45 - 49 años,M,2020-04-18,446
50 - 54 años,M,2020-04-18,393
55 - 59 años,M,2020-04-18,356
60 - 64 años,M,2020-04-18,270
65 - 69 años,M,2020-04-18,179
70 - 74 años,M,2020-04-18,152
75 - 79 años,M,2020-04-18,103
80 y más años,M,2020-04-18,105
00 - 04 años,F,2020-04-18,65
05 - 09 años,F,2020-04-18,53
10 - 14 años,F,2020-04-18,62
15 - 19 años,F,2020-04-18,142
20 - 24 años,F,2020-04-18,339
25 - 29 años,F,2020-04-18,599
30 - 34 años,F,2020-04-18,635
35 - 39 años,F,2020-04-18,552
40 - 44 años,F,2020-04-18,493
45 - 49 años,F,2020-04-18,449
50 - 54 años,F,2020-04-18,392
55 - 59 años,F,2020-04-18,336
60 - 64 años,F,2020-04-18,245
65 - 69 años,F,2020-04-18,160
70 - 74 años,F,2020-04-18,133
75 - 79 años,F,2020-04-18,92
80 y más años,F,2020-04-18,148
00 - 04 años,M,2020-04-19,65
05 - 09 años,M,2020-04-19,44
10 - 14 años,M,2020-04-19,86
15 - 19 años,M,2020-04-19,113
20 - 24 años,M,2020-04-19,353
25 - 29 años,M,2020-04-19,596
30 - 34 años,M,2020-04-19,625
35 - 39 años,M,2020-04-19,567
40 - 44 años,M,2020-04-19,484
45 - 49 años,M,2020-04-19,461
50 - 54 años,M,2020-04-19,403
55 - 59 años,M,2020-04-19,362
60 - 64 años,M,2020-04-19,274
65 - 69 años,M,2020-04-19,182
70 - 74 años,M,2020-04-19,157
75 - 79 años,M,2020-04-19,108
80 y más años,M,2020-04-19,111
00 - 04 años,F,2020-04-19,69
05 - 09 años,F,2020-04-19,55
10 - 14 años,F,2020-04-19,67
15 - 19 años,F,2020-04-19,152
20 - 24 años,F,2020-04-19,356
25 - 29 años,F,2020-04-19,622
30 - 34 años,F,2020-04-19,659
35 - 39 años,F,2020-04-19,570
40 - 44 años,F,2020-04-19,513
45 - 49 años,F,2020-04-19,468
50 - 54 años,F,2020-04-19,406
55 - 59 años,F,2020-04-19,351
60 - 64 años,F,2020-04-19,251
65 - 69 años,F,2020-04-19,166
70 - 74 años,F,2020-04-19,137
75 - 79 años,F,2020-04-19,95
80 y más años,F,2020-04-19,160
00 - 04 años,M,2020-04-20,66
05 - 09 años,M,2020-04-20,45
10 - 14 años,M,2020-04-20,90
15 - 19 años,M,2020-04-20,116
20 - 24 años,M,2020-04-20,368
25 - 29 años,M,2020-04-20,613
30 - 34 años,M,2020-04-20,646
35 - 39 años,M,2020-04-20,584
40 - 44 años,M,2020-04-20,502
45 - 49 años,M,2020-04-20,481
50 - 54 años,M,2020-04-20,416
55 - 59 años,M,2020-04-20,375
60 - 64 años,M,2020-04-20,282
65 - 69 años,M,2020-04-20,193
70 - 74 años,M,2020-04-20,159
75 - 79 años,M,2020-04-20,115
80 y más años,M,2020-04-20,116
00 - 04 años,F,2020-04-20,71
05 - 09 años,F,2020-04-20,59
10 - 14 años,F,2020-04-20,71
15 - 19 años,F,2020-04-20,159
20 - 24 años,F,2020-04-20,374
25 - 29 años,F,2020-04-20,660
30 - 34 años,F,2020-04-20,682
35 - 39 años,F,2020-04-20,596
40 - 44 años,F,2020-04-20,523
45 - 49 años,F,2020-04-20,473
50 - 54 años,F,2020-04-20,416
55 - 59 años,F,2020-04-20,365
60 - 64 años,F,2020-04-20,257
65 - 69 años,F,2020-04-20,169
70 - 74 años,F,2020-04-20,141
75 - 79 años,F,2020-04-20,100
80 y más años,F,2020-04-20,168
00 - 04 años,M,2020-04-21,75
05 - 09 años,M,2020-04-21,52
10 - 14 años,M,2020-04-21,96
15 - 19 años,M,2020-04-21,118
20 - 24 años,M,2020-04-21,386
25 - 29 años,M,2020-04-21,635
30 - 34 años,M,2020-04-21,669
35 - 39 años,M,2020-04-21,604
40 - 44 años,M,2020-04-21,524
45 - 49 años,M,2020-04-21,489
50 - 54 años,M,2020-04-21,427
55 - 59 años,M,2020-04-21,387
60 - 64 años,M,2020-04-21,290
65 - 69 años,M,2020-04-21,200
70 - 74 años,M,2020-04-21,161
75 - 79 años,M,2020-04-21,120
80 y más años,M,2020-04-21,116
00 - 04 años,F,2020-04-21,82
05 - 09 años,F,2020-04-21,67
10 - 14 años,F,2020-04-21,79
15 - 19 años,F,2020-04-21,167
20 - 24 años,F,2020-04-21,391
25 - 29 años,F,2020-04-21,696
30 - 34 años,F,2020-04-21,707
35 - 39 años,F,2020-04-21,610
40 - 44 años,F,2020-04-21,533
45 - 49 años,F,2020-04-21,483
50 - 54 años,F,2020-04-21,433
55 - 59 años,F,2020-04-21,373
60 - 64 años,F,2020-04-21,265
65 - 69 años,F,2020-04-21,178
70 - 74 años,F,2020-04-21,143
75 - 79 años,F,2020-04-21,104
80 y más años,F,2020-04-21,172
00 - 04 años,M,2020-04-22,83
05 - 09 años,M,2020-04-22,58
10 - 14 años,M,2020-04-22,101
15 - 19 años,M,2020-04-22,126
20 - 24 años,M,2020-04-22,399
25 - 29 años,M,2020-04-22,672
30 - 34 años,M,2020-04-22,693
35 - 39 años,M,2020-04-22,632
40 - 44 años,M,2020-04-22,550
45 - 49 años,M,2020-04-22,506
50 - 54 años,M,2020-04-22,450
55 - 59 años,M,2020-04-22,405
60 - 64 años,M,2020-04-22,305
65 - 69 años,M,2020-04-22,211
70 - 74 años,M,2020-04-22,165
75 - 79 años,M,2020-04-22,127
80 y más años,M,2020-04-22,124
00 - 04 años,F,2020-04-22,85
05 - 09 años,F,2020-04-22,73
10 - 14 años,F,2020-04-22,86
15 - 19 años,F,2020-04-22,178
20 - 24 años,F,2020-04-22,404
25 - 29 años,F,2020-04-22,725
30 - 34 años,F,2020-04-22,731
35 - 39 años,F,2020-04-22,636
40 - 44 años,F,2020-04-22,548
45 - 49 años,F,2020-04-22,498
50 - 54 años,F,2020-04-22,450
55 - 59 años,F,2020-04-22,388
60 - 64 años,F,2020-04-22,273
65 - 69 años,F,2020-04-22,182
70 - 74 años,F,2020-04-22,145
75 - 79 años,F,2020-04-22,107
80 y más años,F,2020-04-22,180
00 - 04 años,M,2020-04-23,88
05 - 09 años,M,2020-04-23,61
10 - 14 años,M,2020-04-23,105
15 - 19 años,M,2020-04-23,136
20 - 24 años,M,2020-04-23,419
25 - 29 años,M,2020-04-23,715
30 - 34 años,M,2020-04-23,736
35 - 39 años,M,2020-04-23,656
40 - 44 años,M,2020-04-23,575
45 - 49 años,M,2020-04-23,535
50 - 54 años,M,2020-04-23,476
55 - 59 años,M,2020-04-23,424
60 - 64 años,M,2020-04-23,314
65 - 69 años,M,2020-04-23,226
70 - 74 años,M,2020-04-23,168
75 - 79 años,M,2020-04-23,131
80 y más años,M,2020-04-23,127
00 - 04 años,F,2020-04-23,92
05 - 09 años,F,2020-04-23,76
10 - 14 años,F,2020-04-23,89
15 - 19 años,F,2020-04-23,190
20 - 24 años,F,2020-04-23,426
25 - 29 años,F,2020-04-23,750
30 - 34 años,F,2020-04-23,756
35 - 39 años,F,2020-04-23,656
40 - 44 años,F,2020-04-23,568
45 - 49 años,F,2020-04-23,516
50 - 54 años,F,2020-04-23,466
55 - 59 años,F,2020-04-23,403
60 - 64 años,F,2020-04-23,287
65 - 69 años,F,2020-04-23,190
70 - 74 años,F,2020-04-23,149
75 - 79 años,F,2020-04-23,113
80 y más años,F,2020-04-23,193
00 - 04 años,M,2020-04-24,93
05 - 09 años,M,2020-04-24,66
10 - 14 años,M,2020-04-24,108
15 - 19 años,M,2020-04-24,139
20 - 24 años,M,2020-04-24,436
25 - 29 años,M,2020-04-24,745
30 - 34 años,M,2020-04-24,763
35 - 39 años,M,2020-04-24,675
40 - 44 años,M,2020-04-24,587
45 - 49 años,M,2020-04-24,559
50 - 54 años,M,2020-04-24,485
55 - 59 años,M,2020-04-24,441
60 - 64 años,M,2020-04-24,327
65 - 69 años,M,2020-04-24,234
70 - 74 años,M,2020-04-24,171
75 - 79 años,M,2020-04-24,133
80 y más años,M,2020-04-24,129
00 - 04 años,F,2020-04-24,99
05 - 09 años,F,2020-04-24,77
10 - 14 años,F,2020-04-24,97
15 - 19 años,F,2020-04-24,199
20 - 24 años,F,2020-04-24,444
25 - 29 años,F,2020-04-24,781
30 - 34 años,F,2020-04-24,776
35 - 39 años,F,2020-04-24,680
40 - 44 años,F,2020-04-24,585
45 - 49 años,F,2020-04-24,530
50 - 54 años,F,2020-04-24,484
55 - 59 años,F,2020-04-24,419
60 - 64 años,F,2020-04-24,292
65 - 69 años,F,2020-04-24,195
70 - 74 años,F,2020-04-24,153
75 - 79 años,F,2020-04-24,115
80 y más años,F,2020-04-24,197
00 - 04 años,M,2020-04-25,100
05 - 09 años,M,2020-04-25,71
10 - 14 años,M,2020-04-25,114
15 - 19 años,M,2020-04-25,153
20 - 24 años,M,2020-04-25,452
25 - 29 años,M,2020-04-25,790
30 - 34 años,M,2020-04-25,803
35 - 39 años,M,2020-04-25,707
40 - 44 años,M,2020-04-25,618
45 - 49 años,M,2020-04-25,580
50 - 54 años,M,2020-04-25,514
55 - 59 años,M,2020-04-25,460
60 - 64 años,M,2020-04-25,337
65 - 69 años,M,2020-04-25,241
70 - 74 años,M,2020-04-25,174
75 - 79 años,M,2020-04-25,140
80 y más años,M,2020-04-25,137
00 - 04 años,F,2020-04-25,107
05 - 09 años,F,2020-04-25,81
10 - 14 años,F,2020-04-25,104
15 - 19 años,F,2020-04-25,209
20 - 24 años,F,2020-04-25,475
25 - 29 años,F,2020-04-25,805
30 - 34 años,F,2020-04-25,816
35 - 39 años,F,2020-04-25,708
40 - 44 años,F,2020-04-25,611
45 - 49 años,F,2020-04-25,548
50 - 54 años,F,2020-04-25,505
55 - 59 años,F,2020-04-25,434
60 - 64 años,F,2020-04-25,297
65 - 69 años,F,2020-04-25,208
70 - 74 años,F,2020-04-25,157
75 - 79 años,F,2020-04-25,121
80 y más años,F,2020-04-25,208
00 - 04 años,M,2020-04-26,106
05 - 09 años,M,2020-04-26,80
10 - 14 años,M,2020-04-26,119
15 - 19 años,M,2020-04-26,164
20 - 24 años,M,2020-04-26,473
25 - 29 años,M,2020-04-26,823
30 - 34 años,M,2020-04-26,834
35 - 39 años,M,2020-04-26,735
40 - 44 años,M,2020-04-26,637
45 - 49 años,M,2020-04-26,596
50 - 54 años,M,2020-04-26,538
55 - 59 años,M,2020-04-26,479
60 - 64 años,M,2020-04-26,346
65 - 69 años,M,2020-04-26,248
70 - 74 años,M,2020-04-26,178
75 - 79 años,M,2020-04-26,143
80 y más años,M,2020-04-26,145
00 - 04 años,F,2020-04-26,110
05 - 09 años,F,2020-04-26,89
10 - 14 años,F,2020-04-26,113
15 - 19 años,F,2020-04-26,224
20 - 24 años,F,2020-04-26,496
25 - 29 años,F,2020-04-26,838
30 - 34 años,F,2020-04-26,840
35 - 39 años,F,2020-04-26,728
40 - 44 años,F,2020-04-26,626
45 - 49 años,F,2020-04-26,562
50 - 54 años,F,2020-04-26,520
55 - 59 años,F,2020-04-26,454
60 - 64 años,F,2020-04-26,304
65 - 69 años,F,2020-04-26,217
70 - 74 años,F,2020-04-26,169
75 - 79 años,F,2020-04-26,126
80 y más años,F,2020-04-26,224
00 - 04 años,M,2020-04-27,111
05 - 09 años,M,2020-04-27,81
10 - 14 años,M,2020-04-27,125
15 - 19 años,M,2020-04-27,175
20 - 24 años,M,2020-04-27,492
25 - 29 años,M,2020-04-27,855
30 - 34 años,M,2020-04-27,857
35 - 39 años,M,2020-04-27,755
40 - 44 años,M,2020-04-27,662
45 - 49 años,M,2020-04-27,609
50 - 54 años,M,2020-04-27,549
55 - 59 años,M,2020-04-27,493
60 - 64 años,M,2020-04-27,359
65 - 69 años,M,2020-04-27,256
70 - 74 años,M,2020-04-27,182
75 - 79 años,M,2020-04-27,144
80 y más años,M,2020-04-27,156
00 - 04 años,F,2020-04-27,117
05 - 09 años,F,2020-04-27,95
10 - 14 años,F,2020-04-27,117
15 - 19 años,F,2020-04-27,230
20 - 24 años,F,2020-04-27,512
25 - 29 años,F,2020-04-27,869
30 - 34 años,F,2020-04-27,864
35 - 39 años,F,2020-04-27,751
40 - 44 años,F,2020-04-27,641
45 - 49 años,F,2020-04-27,580
50 - 54 años,F,2020-04-27,529
55 - 59 años,F,2020-04-27,465
60 - 64 años,F,2020-04-27,317
65 - 69 años,F,2020-04-27,224
70 - 74 años,F,2020-04-27,173
75 - 79 años,F,2020-04-27,128
80 y más años,F,2020-04-27,231
00 - 04 años,M,2020-04-28,124
05 - 09 años,M,2020-04-28,89
10 - 14 años,M,2020-04-28,133
15 - 19 años,M,2020-04-28,185
20 - 24 años,M,2020-04-28,523
25 - 29 años,M,2020-04-28,892
30 - 34 años,M,2020-04-28,910
35 - 39 años,M,2020-04-28,788
40 - 44 años,M,2020-04-28,696
45 - 49 años,M,2020-04-28,632
50 - 54 años,M,2020-04-28,566
55 - 59 años,M,2020-04-28,516
60 - 64 años,M,2020-04-28,377
65 - 69 años,M,2020-04-28,268
70 - 74 años,M,2020-04-28,189
75 - 79 años,M,2020-04-28,154
80 y más años,M,2020-04-28,170
00 - 04 años,F,2020-04-28,123
05 - 09 años,F,2020-04-28,95
10 - 14 años,F,2020-04-28,128
15 - 19 años,F,2020-04-28,239
20 - 24 años,F,2020-04-28,537
25 - 29 años,F,2020-04-28,915
30 - 34 años,F,2020-04-28,901
35 - 39 años,F,2020-04-28,776
40 - 44 años,F,2020-04-28,664
45 - 49 años,F,2020-04-28,605
50 - 54 años,F,2020-04-28,548
55 - 59 años,F,2020-04-28,488
60 - 64 años,F,2020-04-28,328
65 - 69 años,F,2020-04-28,233
70 - 74 años,F,2020-04-28,187
75 - 79 años,F,2020-04-28,134
80 y más años,F,2020-04-28,249
00 - 04 años,M,2020-05-01,157
05 - 09 años,M,2020-05-01,115
10 - 14 años,M,2020-05-01,159
15 - 19 años,M,2020-05-01,222
20 - 24 años,M,2020-05-01,640
25 - 29 años,M,2020-05-01,1102
30 - 34 años,M,2020-05-01,1101
35 - 39 años,M,2020-05-01,950
40 - 44 años,M,2020-05-01,830
45 - 49 años,M,2020-05-01,769
50 - 54 años,M,2020-05-01,678
55 - 59 años,M,2020-05-01,619
60 - 64 años,M,2020-05-01,434
65 - 69 años,M,2020-05-01,319
70 - 74 años,M,2020-05-01,210
75 - 79 años,M,2020-05-01,169
80 y más años,M,2020-05-01,196
00 - 04 años,F,2020-05-01,156
05 - 09 años,F,2020-05-01,123
10 - 14 años,F,2020-05-01,155
15 - 19 años,F,2020-05-01,279
20 - 24 años,F,2020-05-01,652
25 - 29 años,F,2020-05-01,1062
30 - 34 años,F,2020-05-01,1064
35 - 39 años,F,2020-05-01,904
40 - 44 años,F,2020-05-01,762
45 - 49 años,F,2020-05-01,677
50 - 54 años,F,2020-05-01,645
55 - 59 años,F,2020-05-01,565
60 - 64 años,F,2020-05-01,365
65 - 69 años,F,2020-05-01,269
70 - 74 años,F,2020-05-01,220
75 - 79 años,F,2020-05-01,147
80 y más años,F,2020-05-01,293
00 - 04 años,M,2020-05-02,177
05 - 09 años,M,2020-05-02,126
10 - 14 años,M,2020-05-02,173
15 - 19 años,M,2020-05-02,243
20 - 24 años,M,2020-05-02,720
25 - 29 años,M,2020-05-02,1232
30 - 34 años,M,2020-05-02,1201
35 - 39 años,M,2020-05-02,1032
40 - 44 años,M,2020-05-02,895
45 - 49 años,M,2020-05-02,839
50 - 54 años,M,2020-05-02,733
55 - 59 años,M,2020-05-02,677
60 - 64 años,M,2020-05-02,480
65 - 69 años,M,2020-05-02,342
70 - 74 años,M,2020-05-02,225
75 - 79 años,M,2020-05-02,175
80 y más años,M,2020-05-02,207
00 - 04 años,F,2020-05-02,179
05 - 09 años,F,2020-05-02,132
10 - 14 años,F,2020-05-02,169
15 - 19 años,F,2020-05-02,311
20 - 24 años,F,2020-05-02,706
25 - 29 años,F,2020-05-02,1138
30 - 34 años,F,2020-05-02,1140
35 - 39 años,F,2020-05-02,957
40 - 44 años,F,2020-05-02,819
45 - 49 años,F,2020-05-02,734
50 - 54 años,F,2020-05-02,683
55 - 59 años,F,2020-05-02,616
60 - 64 años,F,2020-05-02,394
65 - 69 años,F,2020-05-02,287
70 - 74 años,F,2020-05-02,229
75 - 79 años,F,2020-05-02,158
80 y más años,F,2020-05-02,304
00 - 04 años,M,2020-05-04,201
05 - 09 años,M,2020-05-04,143
10 - 14 años,M,2020-05-04,197
15 - 19 años,M,2020-05-04,279
20 - 24 años,M,2020-05-04,809
25 - 29 años,M,2020-05-04,1390
30 - 34 años,M,2020-05-04,1376
35 - 39 años,M,2020-05-04,1168
40 - 44 años,M,2020-05-04,991
45 - 49 años,M,2020-05-04,923
50 - 54 años,M,2020-05-04,840
55 - 59 años,M,2020-05-04,746
60 - 64 años,M,2020-05-04,550
65 - 69 años,M,2020-05-04,376
70 - 74 años,M,2020-05-04,241
75 - 79 años,M,2020-05-04,194
80 y más años,M,2020-05-04,229
00 - 04 años,F,2020-05-04,199
05 - 09 años,F,2020-05-04,148
10 - 14 años,F,2020-05-04,197
15 - 19 años,F,2020-05-04,349
20 - 24 años,F,2020-05-04,783
25 - 29 años,F,2020-05-04,1271
30 - 34 años,F,2020-05-04,1255
35 - 39 años,F,2020-05-04,1030
40 - 44 años,F,2020-05-04,907
45 - 49 años,F,2020-05-04,804
50 - 54 años,F,2020-05-04,757
55 - 59 años,F,2020-05-04,680
60 - 64 años,F,2020-05-04,439
65 - 69 años,F,2020-05-04,315
70 - 74 años,F,2020-05-04,256
75 - 79 años,F,2020-05-04,186
80 y más años,F,2020-05-04,338
00 - 04 años,M,2020-05-06,233
05 - 09 años,M,2020-05-06,173
10 - 14 años,M,2020-05-06,228
15 - 19 años,M,2020-05-06,324
20 - 24 años,M,2020-05-06,907
25 - 29 años,M,2020-05-06,1564
30 - 34 años,M,2020-05-06,1553
35 - 39 años,M,2020-05-06,1337
40 - 44 años,M,2020-05-06,1125
45 - 49 años,M,2020-05-06,1013
50 - 54 años,M,2020-05-06,951
55 - 59 años,M,2020-05-06,841
60 - 64 años,M,2020-05-06,621
65 - 69 años,M,2020-05-06,412
70 - 74 años,M,2020-05-06,267
75 - 79 años,M,2020-05-06,208
80 y más años,M,2020-05-06,245
00 - 04 años,F,2020-05-06,241
05 - 09 años,F,2020-05-06,171
10 - 14 años,F,2020-05-06,226
15 - 19 años,F,2020-05-06,386
20 - 24 años,F,2020-05-06,876
25 - 29 años,F,2020-05-06,1428
30 - 34 años,F,2020-05-06,1392
35 - 39 años,F,2020-05-06,1144
40 - 44 años,F,2020-05-06,1005
45 - 49 años,F,2020-05-06,886
50 - 54 años,F,2020-05-06,820
55 - 59 años,F,2020-05-06,749
60 - 64 años,F,2020-05-06,480
65 - 69 años,F,2020-05-06,351
70 - 74 años,F,2020-05-06,274
75 - 79 años,F,2020-05-06,203
80 y más años,F,2020-05-06,377
00 - 04 años,M,2020-05-08,277
05 - 09 años,M,2020-05-08,194
10 - 14 años,M,2020-05-08,247
15 - 19 años,M,2020-05-08,370
20 - 24 años,M,2020-05-08,1045
25 - 29 años,M,2020-05-08,1747
30 - 34 años,M,2020-05-08,1807
35 - 39 años,M,2020-05-08,1506
40 - 44 años,M,2020-05-08,1272
45 - 49 años,M,2020-05-08,1177
50 - 54 años,M,2020-05-08,1082
55 - 59 años,M,2020-05-08,956
60 - 64 años,M,2020-05-08,716
65 - 69 años,M,2020-05-08,468
70 - 74 años,M,2020-05-08,296
75 - 79 años,M,2020-05-08,225
80 y más años,M,2020-05-08,269
00 - 04 años,F,2020-05-08,275
05 - 09 años,F,2020-05-08,194
10 - 14 años,F,2020-05-08,255
15 - 19 años,F,2020-05-08,432
20 - 24 años,F,2020-05-08,979
25 - 29 años,F,2020-05-08,1615
30 - 34 años,F,2020-05-08,1539
35 - 39 años,F,2020-05-08,1268
40 - 44 años,F,2020-05-08,1119
45 - 49 años,F,2020-05-08,988
50 - 54 años,F,2020-05-08,902
55 - 59 años,F,2020-05-08,828
60 - 64 años,F,2020-05-08,555
65 - 69 años,F,2020-05-08,399
70 - 74 años,F,2020-05-08,300
75 - 79 años,F,2020-05-08,231
80 y más años,F,2020-05-08,419
00 - 04 años,M,2020-05-11,334
05 - 09 años,M,2020-05-11,244
10 - 14 años,M,2020-05-11,294
15 - 19 años,M,2020-05-11,453
20 - 24 años,M,2020-05-11,1219
25 - 29 años,M,2020-05-11,2058
30 - 34 años,M,2020-05-11,2102
35 - 39 años,M,2020-05-11,1766
40 - 44 años,M,2020-05-11,1481
45 - 49 años,M,2020-05-11,1357
50 - 54 años,M,2020-05-11,1242
55 - 59 años,M,2020-05-11,1115
60 - 64 años,M,2020-05-11,840
65 - 69 años,M,2020-05-11,530
70 - 74 años,M,2020-05-11,355
75 - 79 años,M,2020-05-11,255
80 y más años,M,2020-05-11,304
00 - 04 años,F,2020-05-11,321
05 - 09 años,F,2020-05-11,231
10 - 14 años,F,2020-05-11,300
15 - 19 años,F,2020-05-11,490
20 - 24 años,F,2020-05-11,1155
25 - 29 años,F,2020-05-11,1854
30 - 34 años,F,2020-05-11,1773
35 - 39 años,F,2020-05-11,1453
40 - 44 años,F,2020-05-11,1247
45 - 49 años,F,2020-05-11,1134
50 - 54 años,F,2020-05-11,1012
55 - 59 años,F,2020-05-11,945
60 - 64 años,F,2020-05-11,650
65 - 69 años,F,2020-05-11,450
70 - 74 años,F,2020-05-11,340
75 - 79 años,F,2020-05-11,258
80 y más años,F,2020-05-11,485
00 - 04 años,M,2020-05-15,468
05 - 09 años,M,2020-05-15,347
10 - 14 años,M,2020-05-15,412
15 - 19 años,M,2020-05-15,626
20 - 24 años,M,2020-05-15,1583
25 - 29 años,M,2020-05-15,2692
30 - 34 años,M,2020-05-15,2820
35 - 39 años,M,2020-05-15,2325
40 - 44 años,M,2020-05-15,1947
45 - 49 años,M,2020-05-15,1791
50 - 54 años,M,2020-05-15,1638
55 - 59 años,M,2020-05-15,1460
60 - 64 años,M,2020-05-15,1090
65 - 69 años,M,2020-05-15,663
70 - 74 años,M,2020-05-15,445
75 - 79 años,M,2020-05-15,321
80 y más años,M,2020-05-15,382
00 - 04 años,F,2020-05-15,440
05 - 09 años,F,2020-05-15,333
10 - 14 años,F,2020-05-15,403
15 - 19 años,F,2020-05-15,659
20 - 24 años,F,2020-05-15,1483
25 - 29 años,F,2020-05-15,2503
30 - 34 años,F,2020-05-15,2328
35 - 39 años,F,2020-05-15,1884
40 - 44 años,F,2020-05-15,1597
45 - 49 años,F,2020-05-15,1486
50 - 54 años,F,2020-05-15,1340
55 - 59 años,F,2020-05-15,1236
60 - 64 años,F,2020-05-15,867
65 - 69 años,F,2020-05-15,570
70 - 74 años,F,2020-05-15,446
75 - 79 años,F,2020-05-15,329
80 y más años,F,2020-05-15,597
00 - 04 años,M,2020-05-18,543
05 - 09 años,M,2020-05-18,410
10 - 14 años,M,2020-05-18,490
15 - 19 años,M,2020-05-18,743
20 - 24 años,M,2020-05-18,1864
25 - 29 años,M,2020-05-18,3118
30 - 34 años,M,2020-05-18,3258
35 - 39 años,M,2020-05-18,2697
40 - 44 años,M,2020-05-18,2259
45 - 49 años,M,2020-05-18,2101
50 - 54 años,M,2020-05-18,1918
55 - 59 años,M,2020-05-18,1710
60 - 64 años,M,2020-05-18,1305
65 - 69 años,M,2020-05-18,772
70 - 74 años,M,2020-05-18,534
75 - 79 años,M,2020-05-18,371
80 y más años,M,2020-05-18,430
00 - 04 años,F,2020-05-18,522
05 - 09 años,F,2020-05-18,408
10 - 14 años,F,2020-05-18,451
15 - 19 años,F,2020-05-18,781
20 - 24 años,F,2020-05-18,1735
25 - 29 años,F,2020-05-18,2956
30 - 34 años,F,2020-05-18,2691
35 - 39 años,F,2020-05-18,2163
40 - 44 años,F,2020-05-18,1859
45 - 49 años,F,2020-05-18,1734
50 - 54 años,F,2020-05-18,1553
55 - 59 años,F,2020-05-18,1443
60 - 64 años,F,2020-05-18,1002
65 - 69 años,F,2020-05-18,669
70 - 74 años,F,2020-05-18,509
75 - 79 años,F,2020-05-18,371
80 y más años,F,2020-05-18,678
00 - 04 años,M,2020-05-22,725
05 - 09 años,M,2020-05-22,540
10 - 14 años,M,2020-05-22,612
15 - 19 años,M,2020-05-22,964
20 - 24 años,M,2020-05-22,2487
25 - 29 años,M,2020-05-22,4211
30 - 34 años,M,2020-05-22,4409
35 - 39 años,M,2020-05-22,3590
40 - 44 años,M,2020-05-22,2963
45 - 49 años,M,2020-05-22,2845
50 - 54 años,M,2020-05-22,2643
