Date,Measured Current Infected,New Deaths,Recovered Population,Accumulative Deaths,Population,Total Cases,New Cases,New_Cases_pc,Active_cases_pc,Closure Policy Name,Policy,Mobility,retail_and_recreation_mob,grocery_and_pharmacy_mob,parks_percent_mob,transit_stations_mob,workplaces_mob,residential_mob
241,,17,,9831,8125072,267555,288,0.035445839741482,,3,3.5,,-33,-2,-27,-28,-28,16
242,,16,,9847,8125072,267956,401,0.049353408806716,,3,3.5,,-39,-5,-25,-22,-23,12
243,,17,,9864,8125072,268266,310,0.038153508055067,,3,3.5,,-41,-16,-28,-26,-11,10
244,,23,,9887,8125072,268568,302,0.037168901395582,,3,3.5,,-32,-8,-30,-33,-30,16
245,,15,,9902,8125072,268779,211,0.025969000643933,,3,3.5,,-32,-6,-30,-31,-30,16
246,,21,,9923,8125072,268958,179,0.02203057400599,,3,3.5,,-31,-7,-29,-31,-28,16
247,,18,,9941,8125072,269304,346,0.042584238022752,,3,3.5,,-31,-5,-26,-30,-28,16
248,,15,,9956,8125072,269672,368,0.045291906336338,,3,3.5,,-33,-6,-28,-31,-27,16
249,,22,,9978,8125072,269968,296,0.036430446400967,,3,3.5,,-32,-9,-27,-21,-9,10
250,,15,,9993,8125072,270289,321,0.03950734221186,,3,3.5,,-34,-15,-22,-24,-8,9
251,,22,,10015,8125072,270531,242,0.02978435144944,,3,3.5,,-32,-11,-29,-34,-28,16
252,,18,,10033,8125072,270714,183,0.022522877335733,,3,3.5,,-32,-8,-30,-32,-28,16
253,,21,,10054,8125072,270870,156,0.019199829859969,,3,3.5,,-32,-11,-28,-32,-27,16
254,,18,,10072,8125072,271168,298,0.036676598065839,,3,3.5,,-32,-9,-28,-32,-27,16
255,,13,,10085,8125072,271437,269,0.033107398925203,,3,3.5,,-35,-5,-34,-32,-27,17
256,,15,,10100,8125072,271749,312,0.038399659719939,,3,3.5,,-32,-10,-26,-21,-9,10
257,,16,,10116,8125072,272099,350,0.043076541352495,,3,3.5,,-32,-15,-19,-21,-7,9
258,,18,,10134,8125072,272353,254,0.031261261438668,,4,4,,-32,-10,-30,-33,-27,16
259,,10,,10144,8125072,272508,155,0.019076754027534,,4,4,,-35,-10,-38,-33,-27,17
260,,13,,10157,8125072,272716,208,0.025599773146626,,4,4,,-32,-10,-27,-31,-26,16
261,,16,,10173,8125072,273025,309,0.038030432222631,,4,4,,-31,-8,-29,-31,-26,16
262,,18,,10191,8125072,273342,317,0.039015038882117,,4,4,,-33,-7,-31,-31,-25,16
263,,11,,10202,8125072,273681,339,0.041722707195702,,4,4,,-30,-9,-25,-20,-7,10
264,,13,,10215,8125072,273970,289,0.035568915573917,,4,4,,-33,-16,-21,-22,-6,8
265,,13,,10228,8125072,274289,319,0.039261190546988,,4,4,,-33,-12,-29,-33,-26,16
266,,19,,10247,8125072,274494,205,0.025230545649319,,4,4,,-32,-9,-29,-31,-25,15
267,,7,,10254,8125072,274732,238,0.029292048119697,,4,4,,-31,-11,-26,-30,-24,15
268,,24,,10278,8125072,275012,280,0.034461233081996,,4,4,,-31,-9,-26,-30,-24,15
269,,18,,10296,8125072,275343,331,0.040738100536217,,4,4,,-32,-6,-29,-31,-24,15
270,,12,,10308,8125072,275763,420,0.051691849622994,,4,4,,-27,-4,-25,-17,-6,9
271,,14,,10322,8125072,276107,344,0.042338086357881,,4,4,,-48,-22,-19,-19,-12,8
272,,20,,10342,8125072,276409,302,0.037168901395582,,4,4,,-25,-1,-26,-29,-24,14
273,,14,,10356,8125072,276603,194,0.023876711492526,,4,4,,-25,1,-29,-26,-24,14
274,,8,,10364,8125072,276879,276,0.033968929752253,,4,4,,-25,-1,-24,-27,-22,14
275,,17,,10381,8125072,277176,297,0.036553522233403,,4,4,,-24,1,-23,-26,-22,14
276,,14,,10395,8125072,277644,468,0.057599489579908,,4,4,,-27,1,-27,-26,-22,14
277,,12,,10407,8125072,278045,401,0.049353408806716,,3,3.5,,-24,-2,-26,-14,-5,8
278,,17,,10424,8125072,278491,446,0.054891821266322,,3,3.5,,-25,-9,-21,-16,-4,7
279,,15,,10439,8125072,278805,314,0.03864581138481,,3,3.5,,-16,6,-22,-27,-33,13
280,,13,,10452,8125072,279145,340,0.041845783028138,,3,3.5,,-35,-8,-27,-46,-65,23
281,,10,,10462,8125072,279501,356,0.043814996347109,,3,3.5,,-23,-5,-24,-23,-21,11
282,,25,,10487,8125072,279874,373,0.045907285498516,,2,2.8,,-27,-4,-23,-26,-22,14
283,,8,,10495,8125072,280226,352,0.043322693017367,,2,2.8,,-28,-1,-24,-26,-21,15
284,,22,,10517,8125072,280669,443,0.054522593769015,,2,2.8,,-68,-38,-60,-48,-26,23
285,,9,,10526,8125072,281148,479,0.058953323736701,,2,2.8,,-67,-37,-57,-45,-22,19
286,,17,,10543,8125072,281650,502,0.061784067882722,,2,2.8,,-22,-1,-13,-25,-22,13
287,,13,,10556,8125072,282011,361,0.044430375509288,,2,2.8,,-20,2,-17,-22,-22,12
288,,10,,10566,8125072,282365,354,0.043568844682238,,2,2.8,,-16,5,-13,-20,-20,12
289,,10,,10576,8125072,282850,485,0.059691778731315,,2,2.8,,-11,11,-8,-16,-20,11
290,,14,,10590,8125072,283505,655,0.080614670245384,,2,2.8,,-10,16,-5,-13,-19,10
291,,22,,10612,8125072,284032,527,0.064860963693614,,2,2.8,,-58,-19,-50,-34,-22,19
292,,16,,10628,8125072,284557,525,0.064614812028743,,2,2.8,,-56,-19,-48,-30,-16,17
293,,12,,10640,8125072,284974,417,0.051322622125687,,2,2.8,,3,25,9,-5,-19,8
294,,13,,10653,8125072,285319,345,0.042461162190317,,2,2.8,,-3,29,3,-7,-20,8
295,,9,,10662,8125072,285762,443,0.054522593769015,,2,2.8,,-7,30,5,-8,-18,9
296,,15,,10677,8125072,286329,567,0.069783996991042,,2,2.8,,-25,23,-16,-23,-32,14
297,,23,,10700,8125072,286909,580,0.071383982812706,,2,2.8,,-88,-81,-67,-75,-80,33
298,,17,,10717,8125072,287490,581,0.071507058645142,,2,2.8,,-67,-34,-59,-51,-36,23
299,,16,,10733,8125072,287896,406,0.049968787968894,,2,2.8,,-64,-33,-54,-43,-21,18
300,,0,,10733,8125072,288396,500,0.06153791621785,,2,2.8,,-16,5,-18,-21,-22,13
301,,39,,10772,8125072,288886,490,0.060307157893493,,2,2.8,,-17,12,-20,-21,-22,12
302,,11,,10783,8125072,289446,560,0.068922466163992,,2,2.8,,-15,21,-16,-19,-20,11
303,,17,,10800,8125072,290238,792,0.097476059289075,,2,2.8,,-25,26,-25,-28,-35,15
304,,13,,10813,8125072,291121,883,0.108675960040723,,2,2.8,,-89,-83,-69,-78,-82,32
305,,20,,10833,8125072,291994,873,0.107445201716366,,2,2.8,,-67,-33,-58,-52,-40,22
306,,15,,10848,8125072,292434,440,0.054153366271708,,2,2.8,,-64,-33,-55,-43,-22,17
307,,0,,10848,8125072,292910,476,0.058584096239393,,2,2.8,,-22,0,-20,-25,-24,13
308,,15,,10863,8125072,293539,629,0.077414698602056,,2,2.8,,-23,1,-24,-25,-25,14
309,,26,,10889,8125072,294103,564,0.069414769493735,,2,2.8,,-25,-4,-24,-27,-24,14
310,,21,,10910,8125072,294922,819,0.100799106764839,,2,2.8,,-27,-4,-23,-26,-24,14
311,,18,,10928,8125072,295848,926,0.113968220835458,,2,2.8,,-30,-4,-28,-28,-24,15
312,,19,,10947,8125072,296782,934,0.114952827494944,,2,2.8,,-57,-22,-51,-41,-23,18
313,,14,,10961,8125072,297669,887,0.109168263370466,,2,2.8,,-58,-28,-52,-41,-18,15
314,,16,,10977,8125072,298491,822,0.101168334262146,,2,2.8,,-26,-6,-25,-28,-25,13
315,,15,,10992,8125072,299126,635,0.07815315359667,,2,2.8,,-29,-6,-28,-29,-26,14
316,,16,,11008,8125072,299830,704,0.086645386034733,,2,2.8,,-32,-13,-29,-31,-26,13
317,,16,,11024,8125072,300640,810,0.099691424272917,,2,2.8,,-33,-13,-29,-33,-29,14
318,,19,,11043,8125072,301465,825,0.101537561759453,,2,2.8,,-35,-11,-33,-33,-29,14
319,,12,,11055,8125072,302346,881,0.108429808375852,,2,2.8,,-63,-32,-57,-47,-28,17
320,,13,,11068,8125072,303152,806,0.099199120943174,,2,2.8,,-64,-36,-57,-46,-23,14
321,,11,,11079,8125072,303864,712,0.087629992694219,,2,2.8,,-31,-12,-29,-33,-30,12
322,,19,,11098,8125072,304434,570,0.070153224488349,,2,2.8,,-33,-13,-32,-34,-30,13
323,,21,,11119,8125072,305098,664,0.081722352737305,,2,2.8,,-34,-15,-30,-34,-28,13
324,,18,,11137,8125072,305990,892,0.109783642532645,,2,2.8,,-34,-14,-29,-34,-29,14
325,,26,,11163,8125072,306897,907,0.11162978001918,,2,2.8,,-36,-12,-33,-34,-28,14
326,,22,,11185,8125072,307712,815,0.100306803435096,,2,2.8,,-63,-33,-56,-47,-27,17
327,,20,,11205,8125072,308763,1051,0.129352699889921,,2,2.8,,-63,-36,-56,-46,-22,14
328,,20,,11225,8125072,309628,865,0.106460595056881,,2,2.8,,-32,-14,-29,-34,-29,13
329,,19,,11244,8125072,310252,624,0.076799319439877,,2,2.8,,-34,-14,-32,-33,-29,13
330,,16,,11260,8125072,310905,653,0.080368518580512,,2,2.8,,-34,-16,-29,-34,-28,13
331,,22,,11282,8125072,311900,995,0.122460453273522,,2,2.8,,-33,-13,-28,-33,-28,14
332,,23,,11305,8125072,312765,865,0.106460595056881,,2,2.8,,-35,-7,-42,-33,-29,14
333,,24,,11329,8125072,313698,933,0.114829751662508,,2,2.8,,-63,-29,-64,-49,-31,18
334,,31,,11360,8125072,314440,742,0.09132226766729,,2,2.8,,-59,-25,-57,-42,-23,15
335,,14,,11374,8125072,315137,697,0.085783855207683,,2,2.8,,-27,-5,-27,-31,-32,13
336,,16,,11390,8125072,315639,502,0.061784067882722,,2,2.8,,-29,-6,-29,-30,-31,13
337,,17,,11407,8125072,316176,537,0.066091722017971,,2,2.8,,-31,-11,-30,-32,-30,13
338,,24,,11431,8125072,316859,683,0.084060793553583,,2,2.8,,-32,-11,-32,-33,-31,14
339,,16,,11447,8125072,317538,679,0.083568490223841,,2,2.8,,-33,-9,-35,-33,-30,14
340,,22,,11469,8125072,318450,912,0.112245159181359,,2,2.8,,-50,-21,-47,-38,-22,14
341,,19,,11488,8125072,319280,830,0.102152940921631,,2,2.8,,-50,-26,-46,-38,-16,12
342,,19,,11507,8125072,319975,695,0.085537703542812,,2,2.8,,-28,-10,-30,-31,-32,12
343,,21,,11528,8125072,320538,563,0.069291693661299,,2,2.8,,-31,-10,-34,-32,-32,12
344,,19,,11547,8125072,321121,583,0.071753210310013,,2,2.8,,-32,-13,-32,-33,-31,13
345,,36,,11583,8125072,321942,821,0.10104525842971,,3,3.5,,-32,-12,-33,-32,-31,13
346,,25,,11608,8125072,322836,894,0.110029794197516,,3,3.5,,-33,-11,-35,-33,-31,14
347,,26,,11634,8125072,323752,916,0.112737462511101,,3,3.5,,-36,-13,-38,-29,-18,11
348,,36,,11670,8125072,324613,861,0.105968291727138,,3,3.5,,-29,-16,-28,-23,-8,9
349,,18,,11688,8125072,325352,739,0.090953040169983,,3,3.5,,-29,-11,-32,-32,-32,12
350,,20,,11708,8125072,326017,665,0.081845428569741,,3,3.5,,-30,-9,-36,-32,-32,13
351,,15,,11723,8125072,326623,606,0.074583954456034,,3,3.5,,-33,-13,-35,-32,-30,14
352,,30,,11753,8125072,327583,960,0.118152799138272,,3,3.5,,-31,-10,-31,-31,-31,14
353,,30,,11783,8125072,328493,910,0.111999007516487,,3,3.5,,-34,-10,-33,-32,-30,14
354,,23,,11806,8125072,329299,806,0.099199120943174,,3,3.5,,-36,-13,-35,-28,-17,11
355,,18,,11824,8125072,330105,806,0.099199120943174,,3,3.5,,-37,-17,-32,-26,-13,9
356,,24,,11848,8125072,331033,928,0.11421437250033,,3,3.5,,-29,-8,-30,-30,-29,12
357,,23,,11871,8125072,331643,610,0.075076257785777,,3,3.5,,-29,-7,-31,-29,-28,12
358,,21,,11892,8125072,332303,660,0.081230049407562,,3,3.5,,-29,-9,-30,-29,-27,13
359,,17,,11909,8125072,333241,938,0.115445130824687,,3,3.5,,-28,-5,-28,-28,-27,13
360,,26,,11935,8125072,334343,1102,0.135629567344142,,3,3.5,,-27,-2,-30,-26,-26,13
361,,24,,11959,8125072,335444,1101,0.135506491511706,,3,3.5,,-27,-1,-30,-21,-15,9
362,,25,,11984,8125072,336571,1127,0.138706463155034,,3,3.5,,-26,-3,-27,-17,-10,9
363,,32,,12016,8125072,337608,1037,0.127629638235821,,3,3.5,,-23,4,-25,-24,-25,12
364,,22,,12038,8125072,338125,517,0.063630205369257,,3,3.5,,-23,5,-28,-24,-24,12
365,,17,,12055,8125072,338993,868,0.106829822554188,,3,3.5,,,,,,,
366,,26,,12081,8125072,340142,1149,0.14141413146862,,2,2.8,,,,,,,
367,,17,,12098,8125072,341727,1585,0.195075194410585,,2,2.8,,,,,,,
368,,24,,12122,8125072,343057,1330,0.163690857139481,,2,2.8,,,,,,,
369,,15,,12137,8125072,344719,1662,0.204552033508134,,2,2.8,,,,,,,
370,,23,,12160,8125072,346070,1351,0.166275449620631,,2,2.8,,,,,,,
