Week,Date_Name,Cerrillos,Estación Central,Maipú,Pudahuel,Quilicura,Tiltil,Colina,Lampa,Independencia,Huechuraba,Cerro Navia,Conchalí,Lo Prado,Quinta Normal,Recoleta,Renca,San Joaquín,Providencia,Santiago,La Granja,Macul,Ñuñoa,Peñalolén,La Reina,Vitacura,Las Condes,Lo Barnechea,La Florida,La Pintana,San José de Maipo,Pirque,Puente Alto,San Miguel,San Ramón,La Cisterna,El Bosque,Lo Espejo,Pedro Aguirre Cerda,Paine,Buin,Calera de Tango,San Bernardo,Melipilla,San Pedro,Alhué,Curacaví,María Pinto,Isla de Maipo,El Monte,Padre Hurtado,Peñaflor,Talagante
56,"Jan 21, 2020",0.065,-0.016,0.329,0.524,0.074,0.394,0.501,0.5,-0.03,0.319,0.061,-0.046,0.006,0.042,-0.064,0.019,-0.033,-0.074,-0.079,-0.054,-0.063,-0.069,0.05,0.169,-0.058,0.385,0.664,0.066,-0.011,0.333,0.667,0.005,-0.005,-0.045,-0.044,-0.01,0.037,0.017,0.333,0.317,0.316,0.272,0.2,0.096,0.5,0.596,0.25,0.333,0.333,0.501,0.336,0.239
57,"Jan 28, 2020",0.028,-0.013,0.15,0.225,0.019,0.203,0.254,0.257,0.031,0.112,-0.003,-0.032,0.001,0.007,-0.029,0.036,-0.014,-0.068,-0.022,-0.04,-0.015,-0.018,0.083,0.174,-0.027,0.155,0.358,0.091,0.001,0,0.388,0.035,-0.009,-0.048,-0.052,0.001,0.012,0,0.254,0.21,0.211,0.149,0,0,0,0.255,0.143,0.166,0.251,0.287,0.159,0.106
58,"Feb 4, 2020",0.082,0.018,0.04,0.046,0.023,-0.174,0.006,0.01,0.041,0.079,-0.006,-0.003,0.014,0.018,-0.026,0.052,0,-0.074,-0.029,-0.009,-0.01,-0.026,0.045,0.168,0.014,0.037,0,0.039,0.003,-0.334,0.266,0.023,0.033,-0.009,-0.053,0.028,0.04,0.017,0.064,0.04,0.055,0.125,0.048,0.334,0,0.002,0,0.002,0.068,0.099,0.026,0.005
59,"Feb 11, 2020",0.079,0.006,0.228,0.33,0.102,0.066,0.005,0.21,0.024,0.242,0.069,-0.007,0.013,0.088,-0.014,0.041,0.003,-0.028,-0.021,-0.007,-0.008,0.005,0.054,0.2,-0.014,0.027,-0.142,0.066,0.051,-0.5,0.002,0.07,0.029,-0.027,0.004,0.082,0.042,0.052,0.06,0.137,0.213,0.2,-0.052,0,0,0.002,0,0.001,0.079,0.289,0.181,0.138
60,"Feb 18, 2020",0.045,-0.024,0.034,0.086,0.005,0.046,0.138,0.078,0.002,0.053,0.009,-0.029,0.003,0.005,-0.034,0.002,-0.004,-0.077,-0.045,-0.024,-0.015,-0.004,0.043,0.171,0.001,0.059,0.2,0.051,0.021,0,0.199,0.05,-0.028,-0.024,-0.056,0.033,0.035,0.03,0.08,0.115,0.071,0.039,0,0.049,0,0.092,0,0,0.073,0.09,0.071,0.07
61,"Feb 25, 2020",0.042,-0.042,0.053,0.069,0.024,-0.215,0.001,0,-0.012,0.039,0.033,-0.022,-0.001,0.025,-0.029,0.022,-0.008,-0.098,-0.056,-0.035,-0.016,-0.039,0.001,0.152,-0.004,0,-0.081,0.001,0.003,-0.496,0,0.019,-0.01,-0.041,-0.052,0.013,0.013,0.006,-0.142,0.077,0.082,0.055,-0.168,-0.25,-0.5,-0.155,-0.168,0,0,0.085,0.054,0.085
62,"Mar 3, 2020",0.097,-0.039,0.07,0.137,0.114,-0.224,-0.099,0.003,-0.022,0.127,0.092,-0.003,0.032,0.036,-0.02,0.05,-0.008,-0.083,-0.056,-0.048,-0.019,-0.034,0.056,0.185,-0.018,0.054,-0.169,0.028,0.045,-1,0.001,0.053,0.03,-0.062,-0.044,0.028,0.029,0.038,-0.227,0.024,0.086,0.095,-0.333,-0.427,-0.499,-0.271,-0.413,-0.143,-0.204,0.051,0.002,0.045
63,"Mar 10, 2020",0.06,-0.004,0.07,0.108,0.036,0.001,-0.224,0.079,0.015,0.014,0.011,0.003,0.086,0.008,-0.024,0.06,0.003,-0.075,-0.043,-0.009,0.007,-0.014,-0.042,0.147,-0.02,-0.039,-0.412,-0.039,0.023,-0.716,-0.04,0.022,0.002,-0.028,-0.065,0.021,0.019,0.02,-0.17,-0.021,0.072,0.098,-0.247,-0.168,-0.281,-0.048,-0.187,-0.114,-0.112,0.085,0.002,0.007
64,"Mar 17, 2020",0.019,-0.044,0,0.001,0.002,0.001,0.001,0,-0.011,0.064,-0.014,-0.046,0.023,-0.011,-0.043,0.02,-0.036,-0.107,-0.075,-0.032,-0.024,-0.048,0.001,0.147,-0.028,0.027,0,0.024,-0.01,0,0.146,0.023,-0.017,-0.049,-0.076,-0.011,0.013,-0.017,0.004,0.086,0.053,0.04,0,0.001,-0.2,0,0,0,0,0.083,0.011,0.039
65,"Mar 24, 2020",-0.044,-0.104,0.023,0.074,0.002,0.001,0.001,0.008,-0.048,-0.012,-0.056,-0.086,-0.092,-0.08,-0.074,-0.021,-0.028,-0.137,-0.115,-0.065,-0.042,-0.033,-0.043,0.121,-0.068,-0.004,0.047,-0.013,-0.058,0.002,0.07,-0.009,-0.042,-0.065,-0.097,-0.04,-0.033,-0.039,0.048,0.077,0.038,0.007,0,0,0,0.226,0.2,0.108,0.071,0.086,0.088,0.102
66,"Mar 31, 2020",0.01,-0.064,0.072,0.138,0.007,0.333,0.467,0.169,-0.05,0.083,0.026,-0.036,0.009,0.002,-0.058,0.013,-0.02,-0.137,-0.112,-0.041,-0.038,-0.072,-0.005,0.146,-0.059,0.001,0.368,0.012,0.019,0.289,0.4,0.054,0.032,-0.051,-0.102,0.018,-0.051,-0.024,0.333,0.177,0.067,0.077,0.4,0.501,0.5,0.333,0.5,0.251,0.272,0.15,0.129,0.132
67,"Apr 7, 2020",0.007,-0.079,0.002,0.102,0.022,0.205,-0.568,0.089,-0.025,0.072,0.01,-0.056,-0.024,-0.026,-0.054,-0.002,-0.02,-0.145,-0.124,-0.046,-0.017,-0.061,-0.059,0.123,-0.043,-0.116,-0.668,-0.071,0.003,-0.813,-0.113,0.015,-0.016,-0.069,-0.096,-0.011,-0.041,-0.014,0.006,-0.054,-0.019,0.025,0.001,0.156,0.003,0.001,0.2,0.001,0,0.053,-0.008,-0.079
68,"Apr 14, 2020",0.023,-0.036,0.003,0.055,-0.008,0.002,0.006,0.002,-0.042,-0.025,-0.014,-0.062,0.004,-0.044,-0.068,-0.011,-0.017,-0.089,-0.08,-0.032,-0.007,-0.026,-0.057,0.155,-0.043,-0.059,0,-0.051,-0.009,0,0,-0.013,-0.04,-0.026,-0.083,-0.006,-0.012,0.001,0.001,0.001,0.019,-0.017,0,0,0,0,0,0.001,0,0.002,0.002,0.053
69,"Apr 21, 2020",0.029,-0.073,0.086,0.204,0.071,0.013,0.298,0.231,-0.041,0.181,0.083,-0.05,-0.025,-0.024,-0.044,-0.01,-0.018,-0.045,-0.109,-0.038,-0.059,-0.054,0.068,0.234,-0.024,0.102,0.526,0.066,-0.005,0.002,0.332,0.079,0.009,-0.039,-0.025,-0.005,0.018,-0.018,0.181,0.279,0.14,0.139,0.017,0.001,-0.47,0.154,0.151,0.145,0.201,0.213,0.166,0.203
70,"Apr 28, 2020",0.042,-0.022,0.025,0.138,0.056,0.001,0.001,0.135,0.023,0.066,0.025,-0.02,0.015,0.002,-0.007,0.049,0.052,-0.082,-0.06,0.02,0.038,-0.017,0.011,0.194,-0.008,0.035,0.002,0.039,0.012,0,0.078,0.054,0.036,0.002,-0.052,0.052,0.012,0.035,-0.113,0,0.023,0.039,-0.168,-0.233,-0.2,0.002,-0.143,-0.116,-0.117,0.087,-0.039,0.008
71,"May 5, 2020",0.064,-0.005,0.029,0.107,0.039,0.466,0.153,0.139,0.028,0.069,0.016,0.003,0.048,-0.014,0.018,0.043,0.047,-0.041,-0.045,0.017,0.038,-0.001,-0.02,0.086,0.051,-0.023,-0.157,-0.008,0.02,-0.094,0.199,0.076,0.038,-0.015,-0.049,0.05,-0.016,0.03,0.151,0.09,0.089,0.025,0.583,0.001,0.6,0.335,0,0.079,-0.1,0.131,0.04,0.108
72,"May 12, 2020",0.04,-0.022,0.024,0.006,0.039,-0.158,-0.114,-0.021,0.011,0,0.024,-0.034,0.017,-0.035,0.005,0.05,0.062,-0.035,-0.053,0.01,-0.003,-0.003,0.034,0.062,0.026,0.035,0.004,0.023,0.021,-0.334,0.001,0.04,0.054,-0.003,-0.032,0.037,0.016,0.047,-0.053,0.047,0.004,0.011,-0.079,0,-0.23,-0.162,0,0.002,0.001,0.109,0.023,0.006
73,"May 19, 2020",0.004,-0.064,-0.047,0.006,0.021,-0.333,-0.201,-0.101,0.01,-0.086,-0.005,-0.045,-0.017,-0.001,-0.06,0.027,0.016,-0.004,-0.038,-0.009,-0.019,-0.007,0.001,0.051,-0.003,0.05,0.002,0.003,-0.008,0.001,0.001,0.007,0.046,-0.07,-0.055,-0.012,-0.116,0.021,-0.247,-0.071,-0.051,-0.039,-0.294,-0.499,-0.5,-0.245,-0.25,-0.171,-0.101,-0.038,-0.071,-0.05
74,"May 26, 2020",-0.123,-0.119,-0.203,-0.145,-0.057,-0.288,-0.245,-0.202,-0.052,-0.057,-0.068,-0.068,-0.076,-0.057,-0.058,-0.068,-0.021,-0.073,-0.114,-0.03,-0.054,-0.05,-0.111,-0.008,0.004,-0.101,-0.23,-0.075,-0.073,-0.449,-0.327,-0.053,-0.04,-0.068,-0.179,-0.207,-0.257,-0.107,-0.294,-0.04,0.04,-0.086,-0.473,-0.328,-0.5,-0.222,-0.1,-0.079,-0.142,-0.076,-0.07,-0.073
75,"Jun 2, 2020",0.041,-0.051,0.012,0.116,0.084,0.335,0.047,0.138,0.017,0.083,0.027,-0.045,-0.002,-0.006,-0.02,0.042,0.014,-0.049,-0.038,-0.01,-0.012,-0.04,0.011,-0.006,0.022,-0.088,-0.337,0.013,0.042,-0.635,0.274,0.071,0.042,-0.036,-0.06,0.021,0.009,0.024,0.337,0.169,0.179,0.102,0.531,0.574,1,0.401,0.601,0.233,0.197,0.107,0.101,0.163
76,"Jun 9, 2020",-0.006,-0.095,-0.11,-0.111,-0.054,-0.338,-0.333,-0.172,0,-0.148,-0.067,-0.065,-0.038,-0.111,-0.054,-0.02,-0.008,-0.024,-0.069,-0.024,-0.007,-0.034,-0.108,-0.064,0.01,-0.228,-0.159,-0.113,-0.036,-0.598,-0.284,-0.038,-0.029,-0.041,-0.1,-0.029,-0.062,-0.044,-0.288,-0.133,-0.102,-0.085,-0.324,-0.333,-0.5,-0.338,-0.295,-0.213,-0.179,-0.075,-0.07,-0.087
77,"Jun 16, 2020",-0.059,-0.095,-0.018,0.139,0.163,-0.412,-0.274,0.001,-0.077,0.072,-0.032,-0.071,-0.06,-0.024,-0.033,-0.022,-0.135,-0.065,-0.113,-0.178,-0.138,-0.063,-0.042,-0.003,0.736,-0.02,0,-0.194,0.022,-0.453,-0.333,0.037,-0.034,-0.051,-0.104,-0.106,-0.073,-0.001,-0.333,0.011,0.025,0.024,-0.55,-0.49,-0.5,-0.081,-0.602,-0.429,-0.4,0.102,0.003,0.071
78,"Jun 23, 2020",-0.051,-0.131,-0.119,-0.112,-0.133,-0.343,-0.04,-0.158,-0.066,-0.152,-0.05,-0.159,-0.138,-0.124,-0.152,-0.053,-0.041,-0.028,-0.073,-0.076,-0.071,-0.104,-0.073,-0.1,-0.036,-0.05,0.597,-0.045,-0.089,0.533,0.139,-0.051,-0.049,-0.139,-0.154,-0.106,-0.166,-0.053,-0.245,-0.171,-0.167,-0.101,-0.5,-0.5,-0.499,-0.333,-0.333,-0.388,-0.289,-0.165,-0.121,-0.16
79,"Jun 30, 2020",-0.166,-0.232,-0.14,-0.173,-0.23,-0.495,-0.242,-0.268,-0.125,-0.086,-0.213,-0.248,-0.193,-0.251,-0.207,-0.221,-0.134,-0.137,-0.068,-0.155,-0.173,-0.155,-0.134,-0.095,-0.098,-0.213,-0.498,-0.103,-0.121,-0.334,-0.398,-0.133,-0.091,-0.119,-0.162,-0.121,-0.049,-0.033,-0.493,-0.139,-0.117,-0.04,-0.495,-0.5,-0.5,-0.237,-0.5,-0.504,-0.411,-0.1,-0.056,0.025
80,"Jul 7, 2020",-0.022,-0.05,-0.048,-0.015,-0.036,0.002,-0.157,-0.04,0.022,-0.085,-0.051,-0.056,-0.058,-0.059,-0.05,0.011,-0.007,-0.05,-0.028,0.003,-0.019,-0.002,-0.004,-0.011,0.083,-0.023,-0.204,-0.022,-0.054,0.252,0.007,-0.04,-0.087,-0.068,-0.086,-0.01,-0.104,-0.049,-0.042,-0.055,-0.085,-0.055,-0.166,-0.249,-0.2,-0.111,0,-0.235,0.005,-0.028,-0.071,-0.042
81,"Jul 14, 2020",0.068,0.001,0.174,0.156,0.11,-0.339,0.007,0.002,0.05,0.019,0.052,0.044,-0.02,-0.003,0.022,0.056,0.051,0.108,0.053,0.045,-0.026,0.073,0.127,0.146,0.072,0.103,0.058,0.102,0.102,-0.333,0.135,0.102,0.177,0.045,0.088,0.112,0.045,0.072,-0.041,0.149,0.298,0.204,-0.046,-0.223,-0.499,0,0,0.169,0.095,0.288,0.17,0.275
82,"Jul 21, 2020",-0.02,-0.026,-0.117,-0.166,-0.008,-0.496,-0.171,-0.203,0.104,-0.04,-0.03,-0.002,-0.023,-0.025,-0.011,-0.013,0.102,0.058,0.079,0.044,0.037,0.095,-0.003,0.215,0.087,-0.009,0.094,-0.008,-0.113,-0.23,-0.142,-0.056,0.062,-0.03,-0.071,-0.048,-0.087,0.009,-0.332,-0.198,-0.149,-0.142,-0.5,-0.744,-0.749,-0.424,-0.5,-0.248,-0.27,-0.16,-0.192,-0.174
83,"Jul 28, 2020",0.06,-0.033,-0.142,-0.256,-0.025,-0.333,-0.223,-0.112,0.075,-0.104,-0.012,-0.034,-0.037,-0.022,-0.014,0.058,0.107,0.039,0.033,0.029,0.062,0.007,-0.029,0.243,0.117,-0.087,0.002,-0.007,-0.023,1.148,-0.112,-0.023,0.024,-0.019,-0.043,-0.013,0.003,0.035,-0.117,-0.143,-0.146,-0.112,-0.168,0.001,-0.117,-0.2,-0.143,-0.15,-0.119,-0.145,-0.147,-0.112
