Region,Codigo region,Comuna,Codigo comuna,Poblacion,2020-03-30,2020-04-01,2020-04-03,2020-04-06,2020-04-08,2020-04-10,2020-04-13,2020-04-15,2020-04-17,2020-04-20,2020-04-24,2020-04-27,2020-05-01,2020-05-04,2020-05-08,2020-05-11,2020-05-15,2020-05-18,2020-05-22,2020-05-25,2020-05-29,2020-06-01,2020-06-05,2020-06-08,2020-06-12,2020-06-15,2020-06-19,2020-06-23,2020-06-28,2020-07-01,2020-07-05,2020-07-10,2020-07-13,2020-07-17,2020-07-20,2020-07-24,2020-07-27,2020-07-31,2020-08-03,2020-08-07,2020-08-10,2020-08-14,2020-08-17,2020-08-21,2020-08-24,2020-08-28
Biobio,08,Quilaco,08308,4179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.9,71.8,119.6,119.6,143.6,167.5,239.3,263.2,263.2,287.2,287.2,358.9,358.9,382.9,382.9,454.7,478.6,574.3,598.2,646.1,646.1,670.0,670.0,670.0
Biobio,08,Quilleco,08309,10032.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,19.9,29.9,49.8,59.8,59.8,69.8,89.7,119.6,159.5,189.4,328.9,358.9,388.8,418.7,448.6,478.5,498.4,608.1,628.0,697.8,737.6,777.5,787.5,817.4,857.3
Biobio,08,San Pedro de la Paz,08108,145906.0,12.3,34.3,38.4,43.2,48.7,50.0,54.8,51.4,51.4,58.3,67.9,67.9,68.5,72.6,74.7,76.8,80.2,81.6,91.2,100.7,125.4,135.0,148.0,161.7,191.2,217.9,265.9,324.2,378.3,396.8,428.4,479.1,495.5,530.5,559.3,588.7,611.4,645.6,668.9,704.6,734.7,775.2,814.9,852.6,893.7,952.7
Biobio,08,San Rosendo,08310,3611.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.4,55.4,55.4,55.4,55.4,83.1,138.5,138.5,138.5,332.3,443.1,553.9,581.6,775.4,803.1,830.8,941.6,941.6,941.6,941.6,969.3,969.3,997.0,997.0,997.0,997.0,997.0,997.0,1024.6
Biobio,08,Santa Barbara,08311,14592.0,0.0,0.0,0.0,0.0,0.0,0.0,13.7,20.6,20.6,20.6,20.6,13.7,13.7,13.7,13.7,13.7,48.0,89.1,95.9,123.4,178.2,233.0,274.1,294.7,308.4,342.7,493.4,596.2,616.8,637.3,657.9,719.6,753.8,801.8,808.7,863.5,938.9,1014.3,1034.8,1048.5,1103.3,1123.9,1151.3,1213.0,1261.0,1295.2
Biobio,08,Santa Juana,08109,14779.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,20.3,27.1,54.1,108.3,142.1,304.5,358.6,419.5,419.5,453.3,480.4,493.9,507.5,568.4,581.9,581.9,581.9,609.0,615.7,636.0,663.1,683.4,703.7,730.8,832.3
Biobio,08,Talcahuano,08110,158345.0,0.0,14.5,18.3,22.7,28.4,29.1,35.4,51.8,53.7,61.3,56.8,60.0,65.0,68.8,74.5,80.2,85.9,90.3,101.7,105.5,119.4,130.1,154.1,165.5,182.5,197.7,266.5,328.4,387.8,417.4,453.4,534.9,569.6,611.3,637.2,702.9,761.6,825.4,853.2,928.4,977.0,1035.1,1095.7,1179.1,1247.3,1361.6
Biobio,08,Tirua,08207,11019.0,0.0,0.0,0.0,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,54.5,72.6,127.1,172.4,263.2,272.3,272.3,272.3,272.3,272.3,272.3,272.3,281.3,281.3,290.4,308.6,317.6,363.0,381.2,390.2,381.2,399.3
Biobio,08,Tome,08111,58729.0,6.8,10.2,15.3,42.6,51.1,51.1,63.0,63.0,63.0,69.8,85.1,85.1,85.1,83.4,85.1,107.3,114.1,120.9,124.3,127.7,134.5,144.7,163.5,182.2,229.9,246.9,366.1,442.7,509.1,527.8,541.5,563.6,567.0,585.7,597.7,635.1,653.9,706.6,769.6,854.8,926.3,1025.0,1110.2,1248.1,1329.8,1426.9
Biobio,08,Tucapel,08312,15205.0,,0.0,0.0,0.0,0.0,0.0,6.6,0.0,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,26.3,26.3,46.0,52.6,78.9,157.8,230.2,322.3,328.8,440.6,539.3,730.0,802.4,815.5,881.3,907.6,940.5,966.8,960.2,979.9,993.1,1026.0,1026.0,1039.1,1072.0,1085.2,1085.2,1131.2,1131.2
